Frame,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63,ROI64,ROI65,ROI66,ROI67,ROI68,ROI69,ROI70,ROI71,ROI72,ROI73,ROI74,ROI75,ROI76,ROI77,ROI78,ROI79,ROI80,ROI81,ROI82,ROI83,ROI84,ROI85,ROI86,ROI87,ROI88,ROI89,ROI90,ROI91,ROI92,ROI93,ROI94,ROI95,ROI96,ROI97,ROI98,ROI99,ROI100,ROI101,ROI102,ROI103,ROI104,ROI105,ROI106,ROI107,ROI108,ROI109,ROI110,ROI111,ROI112,ROI113,ROI114,ROI115,ROI116,ROI117,ROI118,ROI119,ROI120,ROI121,ROI122,ROI123,ROI124,ROI125,ROI126,ROI127,ROI128,ROI129,ROI130,ROI131,ROI132,ROI133,ROI134,ROI135,ROI136,ROI137,ROI138,ROI139,ROI140,ROI141,ROI142,ROI143,ROI144,ROI145,ROI146,ROI147,ROI148,ROI149,ROI150,ROI151,ROI152,ROI153,ROI154,ROI155,ROI156,ROI157,ROI158,ROI159,ROI160,ROI161,ROI162,ROI163,ROI164,ROI165,ROI166,ROI167,ROI168,ROI169,ROI170,ROI171,ROI172,ROI173,ROI174,ROI175,ROI176,ROI177,ROI178,ROI179,ROI180,ROI181,ROI182,ROI183,ROI184,ROI185,ROI186,ROI187,ROI188,ROI189,ROI190,ROI191,ROI192,ROI193,ROI194,ROI195,ROI196,ROI197,ROI198,ROI199,ROI200,ROI201,ROI202,ROI203,ROI204,ROI205,ROI206,ROI207,ROI208,ROI209,ROI210,ROI211,ROI212,ROI213,ROI214,ROI215,ROI216,ROI217,ROI218,ROI219,ROI220,ROI221,ROI222,ROI223,ROI224,ROI225,ROI226,ROI227,ROI228,ROI229,ROI230,ROI231,ROI232,ROI233,ROI234,ROI235,ROI236,ROI237,ROI238,ROI239,ROI240,ROI241,ROI242,ROI243,ROI244,ROI245,ROI246,ROI247,ROI248,ROI249,ROI250,ROI251,ROI252,ROI253,ROI254
0,14.14159,12.40143,12.35714,11.36667,12.66667,11.38554,13.75862,10.03846,17.22287,13.4,10.0303,11.58228,11.78378,13.42262,10.61111,15.71429,12.68627,10.07527,10.73394,10.88532,10.95918,9.2,15.17593,12.33721,9.32,10.5,10.32353,9.585366,17.55743,12.82143,10.90476,13.30682,11.86539,10.35,11.65823,10.34091,11.82609,11.22901,10.28571,12.80952,10.44444,10.96226,10.2,10.03448,20.52183,9.955556,19.33198,10.07042,10.44186,10.03922,11.2,8.842105,9.714286,18.26305,10.59259,13,11.7351,10.46369,10.23077,10.5625,10.35135,11.98893,9.042106,8.666667,11.87143,9.175,9.140351,10.54545,11.87705,10.27778,10.18803,11.30049,10.34043,10.09091,9.85,11.09735,15.70219,10.11475,15.75543,11.57353,12.51852,8,11.76543,12.01626,12.25,10.22535,10.2,9.228572,11.21429,13.59862,10.89535,10.98745,11.18056,12.08163,12.53521,12.75,12.1519,11.625,11.4125,10.89384,9.454545,11.64211,11.51087,10.18919,11.75,12.52012,13.25,11.35714,13.18045,9.891891,9.933333,9.590909,10,10.65329,8.7,8.977273,10.96429,9.848485,9.979591,12,10.3125,13.36364,9.637362,10.08889,9.87234,9.8,10.34375,9.380953,10.07407,9.912281,12.88268,10.06084,11.68056,21.11157,9.979167,11.54762,9.891304,9.6,18.6875,9.589286,11.6,9.590604,9.454545,9.083333,11.19556,42.42857,17.38618,14.79048,11.43114,10.02649,11.22053,10.30796,11.21053,9.25,7.75,9.695652,13.41981,11.35294,11.41935,10.1087,10.27222,10.43333,11.8,9.333333,9.25,11.22581,10.52846,10.45,9.556818,9.367347,9,9.886792,11.39547,10.93421,10.02326,10.26471,7.178571,9.860465,12.25,10.63551,12.25,11.16871,11.42105,11.40659,11,16.1928,14.02508,11.97674,9.352942,12.29428,11.36364,10.59341,9.736842,11.03846,11.89655,13.4633,14.60935,8.5,11.39446,9.846154,9.747127,9.518072,11.44604,11.75,12.09959,11.60194,9.333333,10,27.9453,10.03704,12.40196,10.88496,11.06154,10.38636,9,11.33333,9.76087,10.12766,9.619047,11,11.21154,11,9.711111,12.12162,9.826087,12.1579,9.648648,12.02333,16.07187,8.867256,12.33333,12.91566,11.4375,10.03774,14.3007,9.882353,8,10.0229,11.42308,9.932098,10.37037,10.03125,11.36552,9.194631,10.76316,11.59091,10.28333,9.764706,12.21429,11.45283,11.49123,25.108,13.76923,12.4188,9
1,14.84513,13.07168,12.71429,11.36667,11.74359,12.26506,16.06897,10.21154,17.73314,13.23333,11.90909,14.29114,12.81081,13.5119,11,18.57143,13.92157,11.24731,11.79817,10.81651,10.91837,13.8,17.09259,12,9.82,11,10.85294,11.68293,18.87838,13.63095,10.42857,13.59091,11.53846,12.94286,13.87342,12.97727,12.86957,12.77099,14.71429,12.57143,10.52381,13.03774,11.1,10.19828,21.09716,11.6,19.17409,11.14085,12.7907,11.14706,11.8,9.947369,12.71429,18.84551,13.37037,10.5,13.69536,12.36872,11.53846,11.60938,13.24324,12.45018,10.17895,8.888889,13.35238,9.725,9.631579,10.68182,13.47541,10.16667,11.39316,13.49754,14.23404,10.27273,10.55,13.19911,15.83699,10.62295,16.54891,14.63235,15.59259,12.66667,14.76543,12.04065,13.2,9.859155,12,10.68571,11.85714,12.91695,12.10465,10.89958,12.41667,12.97959,12.95305,12.75,13.17722,13.65,11.725,14.32534,10.36364,13.03158,11.34783,11.25225,13.25,12.50155,13.75,15.2381,13.35338,11.56757,10.13333,12.29545,9.555555,11.27737,10,9.954545,12.89286,12.36364,10.91837,14.28571,14.21875,13.09091,12.05494,13.66667,10.21277,12.36667,10.25,10.38095,10.96296,10.77193,13.43575,13.28517,15.75,22.7562,10.27083,11.52381,11.83696,9.8,21.53125,10.89286,11.4,10.68456,9.363636,8.566667,11.6,43.82744,17.67975,15.45714,11.79042,12.2649,11.27757,10.37716,13.26316,8.75,10,9.065217,18.03773,14.41177,13.10215,9.5,11.02222,10.1,13.90833,9.714286,8.815217,11.62366,10.60163,10.55,9.693182,10.08163,9,10.00629,11.94207,11.89474,10,12.20588,8.285714,11.65116,13.19886,10.91589,13.375,14.39877,14.26316,11.71429,13,16.71722,14.3605,13.69767,8.970589,11.79019,11.37273,11.52747,10.57895,10.96154,12.41379,13.32339,15.71192,8.6,11.17647,9.615385,11.17241,9.602409,14.45324,12.25,14.6722,13.50485,12.13333,12.2931,28.62412,11.56296,12.11275,11.0354,12.16923,10.22727,10.28571,9,11.57609,13.78723,12.85714,13,11.84615,12,9.911111,12.90541,10.04348,14.81579,11.48649,16.41667,16.29688,8.646018,19,12.86446,11.25,11.81132,14.16317,10.79412,10,12.01527,12.80769,9.401235,10.90741,10.17188,10.44828,11.33557,12.76316,12.72727,11.14667,11.60294,15.21429,14.61635,11.61403,26.388,13.97436,12.16239,7.666667
2,14.17699,13.15771,13.04762,10.7,11.73077,11.63855,16.84483,10.17308,17.34018,13.33333,12.15152,13.73418,13.47748,13.93452,12.11111,14.57143,14.11765,12.17204,11.23853,10.98624,9.979591,14.6,17.33642,11.36628,10.48,10.5,10.64706,11.39024,19.60473,14.47619,10.09524,13.61932,11.9359,13.9,14.20253,13.68182,12.82609,12.74046,13.85714,12.7619,11.38095,13.99057,10.6,10.42241,21.67576,11.84444,19.90283,11.52113,13.86047,11.47059,12.4,10.71053,10.71429,19.39248,12.44444,12,14.49007,12.92737,13.61539,9.9375,13.45946,12.32841,10.62105,10,13.92857,9.65,9.947369,11.13636,13.69262,12.11111,11.12821,13.76355,13.55319,9.727273,10.25,14.5531,16.61912,11.73771,16.56522,14.76471,15.59259,10.33333,14.65432,13.30081,12.75,10.19718,14.6,10.88571,12.19643,13.23875,11.75581,10.77406,12.48611,13.83673,13.11737,17.25,13.39241,15.8,11.73125,15.18151,9.181818,12.97895,11.82609,10.78378,12.25,12.79876,11.75,13.2381,14.1203,11.90991,10.85,12.47727,9.666667,10.98905,8.6,10.27273,14.35,13.21212,9.836735,12.85714,14.79688,15.13636,12.95604,12.64444,9.702127,14.23333,10.90625,10.66667,10.53704,11.33333,14.32402,15.03422,15.30556,23.19835,9,11.64286,13.18478,9.8,19.9375,10.32143,10.8,11.18121,11.72727,9.066667,11.85778,44.11881,17.89953,16.49524,11.54491,12.90066,11.19392,9.910034,13.94737,12.125,9.25,9.673913,18.75943,14.26471,13.18817,9.73913,11.83333,10.18333,14.89167,10.5,8.206522,11.2043,11.14634,11.15833,9.136364,10.46939,8.333333,10.72327,11.51134,11.92105,9.906977,11.82353,8.071428,11.81395,12.90909,10.96262,14.5,15.69632,14.26316,11.72528,12,16.79177,14.52821,14.46512,10.05882,12.12262,11.66364,12.62637,10.52632,12.03846,12.41379,13.79358,17.07089,9.9,11.35294,9.769231,10.74713,9.987952,15.6259,12.75,15.89212,12.26214,12.2,12,28.68303,10.82222,12.14216,10.9823,13.07692,10.31818,11.21429,10.33333,11.57609,13.87234,14.2381,14.25,12.11539,13.62821,10.62222,13.13513,9.26087,14.63158,12.48649,16.51667,16.425,8.663717,18.66667,13.37651,11.125,12.43396,14.36364,10.41177,9.5,12.26718,13.46154,9.864198,11.42593,10.00781,10.23448,11.58389,13,13.63636,11.84667,11.39706,15.42857,15.68553,12.14035,27.3,13.82051,13.06838,7.666667
3,14.27876,13.4767,13.07143,11.26667,12.08974,11.92771,16.43103,9.942307,16.61877,12.6,12.36364,13.03797,13.17117,13.54167,12.55556,16.42857,13.98039,11.19355,11.88991,10.6422,11.28571,14.2,17.55556,11.27907,10.32,11.5,10.41177,11.97561,19.26689,14.53571,10.97619,13.75,11.35897,14.46429,14.49367,13.81818,13.30435,12.06107,13.42857,15.19048,11.60317,14.84906,11.2,10.05172,21.59498,10.62222,20.24291,12.14085,12.18605,10.60784,11.6,10.89474,11.28571,19.34238,13.07407,13.5,13.93377,13.18436,13,9.859375,14.56757,12.67159,10.25789,8.888889,13.89048,8.875,9.473684,10.59091,13.91803,11.55556,11,13.16256,13.43617,11,10.25,14.89381,16.39969,12,16.57609,13.76471,14.62963,11.66667,13.82716,13,12.15,10.28169,13.4,10.6,13.60714,13.45329,11.54651,11.20502,12.06944,13.04082,13.29577,17.5,14.81013,16.825,11.9125,15.80479,8.454545,12.96842,11.31522,11.52252,10.25,12.66254,13.25,12.92857,13.72932,12.0991,11.2,11.90909,11,11.5219,9.2,12.04545,14.07857,13.87879,9.857142,13.57143,14.70313,15.04545,12.1978,12.35556,9.936171,13.76667,11.84375,10.09524,10.01852,10.64912,13.83799,15.23574,14.41667,23.42562,9.625,12.66667,13.16304,10.3,21.0625,10.51786,12,11.10738,10.54545,8.933333,12.08,43.32815,17.5887,16.40952,11.92814,12.88742,11.61597,9.955017,12,11.125,11.25,10,19.08491,14.67647,13.74731,9.152174,11.79444,10.36667,15.23333,11.69048,8.73913,12.02151,11.57724,11.475,9.068182,10.28571,9,11.04403,11.99496,11.39474,9.232558,12.73529,7.535714,10.86047,13.04545,10.83178,11.875,16.55215,12.57895,12.57143,17,16.94087,14.70846,14.34884,8.970589,12.17984,11.67273,12.1978,11.57895,12.61539,13.24138,13.58028,17.42081,12.2,11.23875,9.5,10.97701,10.43373,15.89928,11,15.77593,13.35922,13.8,13.62069,28.55961,11.81481,11.95588,10.22124,13.87692,11.77273,11.42857,13.66667,12.25,13.80851,12.33333,15,12.94231,13.01282,10.15556,14.48649,9.521739,14.44737,12.16216,15.60333,16.58125,9.353982,16.66667,13.5,11.125,12.80189,14.38928,11.08823,10,12.51908,13.19231,9.666667,10.86111,10.26563,10.6069,12.34899,13.74561,14.04545,12.27,12.01471,14.14286,15.72956,11.29825,26.64,13.29487,13.10256,9.333333
4,14.15044,13.17921,13.16667,11.5,11.55128,12.28916,17.39655,10.07692,16.61584,13.2,12.63636,13.06329,13.48649,13.85119,12.38889,15.42857,14.01961,11.41935,12.25688,10.92202,11.10204,12.8,17.34259,11.75581,9.86,12.5,10.47059,12.17073,19.09459,14.97619,11.33333,13.69886,11.60897,14.16429,14.67089,13.25,13.65217,13.0229,13.14286,14,12.15873,14.78302,10.5,11.17241,21.81114,10.8,20.02024,12.70423,12.93023,10.23529,13.8,10.47368,12.14286,19.17537,12.2963,10,14.41722,13.19553,14,10.0625,13.21622,12.89668,11.12632,9.666667,14.66667,9.675,9.929825,10.86364,14.34016,10.66667,11.51282,12.46305,14.05319,10.45455,9.9,14.90265,16.44044,12.06557,16.8913,12.14706,15.42593,9.666667,14.55556,13.57724,12.75,10.21127,14.8,10.91429,11.75,13.42214,12.74419,11.58577,13.47222,14.44898,13.20188,19,14.73418,17.275,12.4125,15.88699,9.363636,13.32632,11.51087,11.17117,12.25,12.91641,17.25,13.66667,14.11278,12.45045,11.38333,13.20455,10.55556,11.57664,11.2,11.54545,14.61429,12.0303,10.38776,13.28571,14.53125,13.72727,12.25275,13.04444,10.02128,12.73333,11.375,9.952381,10.2963,11.19298,13.9162,14.90494,14.94444,23.35124,10.41667,11.97619,13.27174,10.2,19.75,11.64286,13.2,11.30201,11.54545,9.283334,11.75556,44.36917,17.90581,16.93333,11.38922,13.0596,11.78707,10.47059,12.10526,6.875,9.75,9.108696,19.73585,14.58823,13.94624,10.91304,11.73889,10.43333,14.58333,10.80952,8.413043,11.46237,10.76423,11.25,9.340909,10.32653,10,10.92453,11.79597,12,9.674418,13,8.178572,11.44186,13.72727,10.35514,14.20833,16.12883,12.31579,12.42857,12,16.97686,14.40909,14.39535,9.352942,12.23706,12.43636,12.59341,12.05263,12.19231,13,13.60321,18.2549,14,11.41523,10.26923,11.27586,10.55422,16.01439,8.25,16.99585,12.62136,12.66667,13.94828,28.51753,11.60741,11.7402,10.06195,13.75385,11.86364,11.07143,8.666667,11.45652,13.34043,12.71429,12.25,12.38461,13.85897,9.688889,13.7973,9.391304,14.36842,12.7027,14.79667,17.03437,9.221239,16,13.58735,10.0625,12.11321,14.37762,11.61765,9,12.96183,12.65385,9.771605,11.30556,10.08594,10.51034,12.20805,13.39474,13.45455,12.68333,11.35294,14.57143,16.62264,12.12281,27.124,14.21795,12.95726,9
5,14.01327,12.86022,13.57143,11.3,11.5,11.31325,17.15517,10.07692,16.2434,12.13333,11.39394,12.64557,13.96396,13.02976,14.16667,15.28571,13.98039,10.76344,12.68807,10.42661,11.67347,15.2,17.57099,11.87791,10.06,10,9.441176,10.53659,18.80743,14.70238,11.92857,14.15909,12.05769,14.36429,14.46835,13.13636,12.69565,12.83969,15.57143,15.33333,12.2381,14.85849,12.3,10.26724,21.63428,10.55556,20.20243,12.46479,13.51163,10.17647,12,10.18421,11,18.95407,13.88889,12.5,14.98013,12.64804,13.23077,10.1875,13.67568,12.71218,10.81579,8.666667,15.01905,10.475,11.26316,10.93182,14.52459,12.55556,11.90598,11.73399,13.64894,11.27273,10.75,16.08407,16.73041,11.45902,16.33152,10.70588,14.37037,8.666667,13.40741,12.76423,13.55,10.11268,13.2,12.08571,11.46429,14.00346,12.59302,11.25941,13.48611,12.71429,13.5493,13.75,14.63291,17.925,11.99375,16.34247,8.727273,12.94737,11.73913,11.27928,11.5,12.82972,13.75,13.97619,14.6015,13.47748,10.75,13.15909,12.22222,11.64599,11.9,12.02273,15.37857,13.21212,11.77551,13.14286,15.07813,13.90909,12.21978,12.66667,9.659575,13.9,11.25,9.857142,11.07407,11.5614,14.2905,14.5019,15,23.67355,10.0625,11.19048,13.16304,10.5,20.8125,10.69643,12.1,11.20134,12.72727,8.566667,11.88889,44.15983,17.86656,16.42857,11.99401,13.65563,11.88213,9.698962,12.57895,10.5,12,8.934783,20.28302,13.94118,13.6129,10.8913,12.1,10.65,15.275,11.14286,8.98913,11.44086,11.05691,11.725,9.363636,10.30612,9,10.93711,12.01259,12.02632,9.232558,12.94118,7.642857,11.93023,12.60227,10.79439,13.33333,15.90184,12.10526,12.28571,16,17.11054,14.67555,14.18605,9.441176,12.34877,11.84545,12.71429,11.36842,12.30769,12.27586,13.58028,18.28808,12.2,11.71972,9.711538,10.50575,10.09639,15.91367,8.625,16.60581,13.31068,11.73333,12.89655,28.54278,11.8963,12.17157,10.60177,14.78462,11.27273,11.53571,12,12.15217,13.57447,13.04762,13,12.88461,12.84615,10.73333,13.58108,10.52174,13.36842,12.64865,14.63,17.3,9.752213,14.33333,14.21084,10.25,12.68868,14.87646,11.94118,10.5,13.70229,15.5,9.728395,11.13889,10.21094,10.82759,12.28859,14.00877,11.95455,13.11333,11.38235,14.85714,16.01258,11.33333,26.768,14.98718,13.17094,9
6,14.25664,13.32617,13.88095,11.43333,11.87179,11.60241,17.22414,11.13461,16.23167,12.8,11.75758,12.77215,13.5045,13.09524,14.16667,15.85714,14,10.54839,12.22936,10.50917,10.95918,13.4,17.5679,11.48837,9.4,9.5,10.11765,10.56098,18.71284,14.19048,13.14286,13.64773,11.98077,15.22857,14.68354,12.86364,14.69565,12.65649,12.14286,13.47619,13,15.61321,12.9,10.98276,21.6452,10.06667,19.66802,11.85915,12.86047,10.29412,14.4,11.5,11.14286,18.64927,13.03704,12,14.42384,12.49162,14.92308,10.4375,13.02703,12.6679,10.27895,8.888889,15.18095,9.85,10.10526,9.659091,14.86885,11.88889,11.02564,11.0197,13.76596,10.18182,11.75,15.83628,16.60501,11.26229,16.68478,10.39706,14.12963,12.33333,14.23457,13.15447,12.3,10.11268,12,10.45714,12.67857,13.6263,13.02326,11.15063,12.77778,14.22449,13.86854,16,14.70886,18.525,12.03125,16.07877,10.45455,12.24211,11.5,11.16216,11,12.82972,12.5,14.90476,14.37594,14.30631,10.15,12.95455,10,11.70438,11.6,12.5,15.59286,11.81818,9.816326,14.21429,14.3125,12.95455,12.40659,13.17778,9.765958,13.33333,11.65625,9.380953,10.62963,11.7193,13.83799,14.34221,13.83333,23.76859,11.08333,11.14286,13.44565,10.2,21.375,12.44643,11.6,11.65772,12.81818,8.65,12.16444,44.00707,18.2606,17.27619,11.91018,13.16556,11.68441,10.06574,12.73684,9.5,12.75,9.673913,19.85377,14.26471,13.82796,10.54348,11.96667,12.01667,15.14167,11.85714,8.717391,12.45161,10.73984,11.64167,9.886364,9.979591,9,10.60377,12.11083,12.13158,9.953488,12.47059,6.857143,11.88372,13.69886,10.68224,13.875,15.78834,10.31579,12.58242,13,17.28535,14.50784,14.48837,9.794118,12.19346,11.49091,12.53846,10.42105,12.65385,10.93103,13.8578,18.4721,13.5,11.79239,10.17308,10.74713,10.72289,15.46763,7.25,16.79253,13.05825,14.8,11.89655,28.39411,11.61481,11.76961,10.04425,14.23077,12.22727,11.03571,10,11.54348,12.59575,12.66667,13.5,13.19231,13.67949,10.48889,14,9.217391,12.8421,12.56757,14.22333,17.66562,9.929204,15.33333,13.93675,9.875,12.69811,14.59674,11.35294,11.5,13.05344,12.30769,9.648149,11.72222,10.49219,10.73103,12.86577,13.61403,13.63636,13.34333,11.89706,13.57143,15.74214,12.42105,26.732,14.79487,13.03419,8.333333
7,14.50443,12.42294,13.83333,11.03333,11.92308,12.33735,16.39655,10.26923,16.44575,13.5,11.90909,13.3038,13.2973,13.00595,11.94444,16.42857,13,10.8172,12.31193,10.34404,11.87755,9.6,17.26235,11.43023,8.86,11.5,10.58823,10.34146,18.41216,14.63095,12.35714,13.76705,11.04487,14.94286,14.67089,13.11364,12.47826,12.21374,11.42857,15.09524,12.9127,15.33019,11,12.11207,21.66376,10.2,19.46154,11.69014,12.34884,9.431373,13.2,10.97368,10,18.81628,12.59259,14,14.90728,11.98324,14.46154,10.5,12.54054,12.58303,10.84737,9.888889,15.1,9.35,10.52632,10.56818,14.79918,11.22222,12.1453,10.97537,13.31915,13.90909,10.25,15.37168,16.70533,12.04918,16.82065,10.33823,14.09259,10.66667,12.93827,12.88618,12.75,10.50704,14,12.85714,12.64286,13.92388,12.94186,11.30126,13.29167,13.42857,13.99061,15.25,15.94937,19.05,12.1125,15.65753,8.545455,12.90526,11.55435,11.64865,12.5,12.81734,15.25,12.88095,14.40602,13.72072,10.36667,12.06818,11,11.52555,10.8,11.65909,16.12857,12.90909,10.85714,14.92857,13.23438,12.45455,12.71429,13.88889,9.063829,14.86667,10.78125,10.28571,11.27778,11.03509,13.97207,14.12547,13.15278,23.19835,12.04167,11.71429,14.16304,10.7,20.28125,12.44643,11.1,11.69799,12.09091,9.45,12.58222,43.67751,18.12088,17.21905,11.71257,13.27815,12.23954,10.21799,13.26316,9.375,10.75,9.717391,19.91038,13.41177,12.87097,10.6087,12.15556,11.15,14.95833,11.52381,8.5,12.26882,11.41463,10.90833,9.965909,9.530612,8.666667,10.61635,12.25441,12.53947,9.744186,11.91177,6.571429,11.83721,13.89205,10.88785,14.08333,15.69939,11.05263,12.89011,9,16.53213,14.45925,14.27907,9.735294,11.97003,12.02727,11.72528,10.89474,12.53846,10.48276,13.87385,18.70136,13.6,11.84429,9.653846,10.7931,10.43373,15.58273,6.875,16.53527,13.03883,14.06667,11.41379,28.30435,12.19259,12.15686,9.991151,14.86154,13,11.03571,11,11.26087,12.76596,13.47619,15,12.42308,12.70513,10.04444,13.27027,10.3913,13.18421,11.7027,13.70667,17.19687,9.106194,12,14.51205,9.75,12.76415,14.80886,11.29412,9.5,13.26718,12.5,10.03086,12.50926,11.00781,10.63448,13.12081,13.46491,11.90909,14.04,11.42647,13.64286,15.84906,11.75439,27.62,14.67949,13.58974,7.666667
8,14.19027,12.86738,13.9881,11.06667,11.70513,12.01205,16.17241,10.19231,16.63636,13.03333,11.0303,12.36709,13.00901,14.11905,11.5,14,13.80392,10.84946,13.22936,10.69266,11.85714,9,17.33951,11.47674,9.5,10,10.41177,9.926829,18.55405,14.91667,12.64286,14.26705,12.08333,15.18571,14.27848,11.88636,12.73913,11.80916,14.57143,14.66667,12.86508,14.79245,11,11.23276,21.6714,9.466666,19.583,11.97183,12.81395,10.66667,14.2,9.894737,9.571428,18.68267,12.59259,12.5,14.40397,12.55307,11.84615,10.92188,13.86487,12.73801,10.97895,9.555555,15.39048,10.425,10.96491,10.86364,15.13525,11.61111,11.93162,10.87192,13.82979,12.81818,10.4,15.75664,16.4953,11.4918,16.45109,10,15.14815,10,13.59259,12.96748,11.5,9.971831,14.4,12.08571,12.53571,13.76125,13.61628,11.19665,13.41667,13.30612,13.67136,12.75,15.4557,18.825,12.4375,15.99658,9.272727,13.61053,11.42391,11.32432,12.25,12.43963,14.5,13.16667,14.54135,13.63063,10.61667,13.22727,10,11.9562,11.3,12.20455,16.10714,12.27273,11.10204,14.57143,13.51563,14.40909,12.20879,13.35556,10.08511,14.13333,11.90625,9.809524,11.66667,10.66667,14.54749,13.89354,13.84722,23.26446,11.97917,12.52381,14.23913,11.2,20.75,12.69643,12.2,12.32886,11.09091,8.816667,12.25778,43.92362,18.2967,16.62857,11.74251,13.82119,12.04183,10.14879,11.78947,8.5,9.5,9.478261,20.50943,13.14706,13.88172,10.56522,12.71111,11.36667,15.40833,11.88095,8.413043,11.80645,11.34959,11.01667,9.954545,9.918367,10.33333,10.90566,12.31738,12.21053,9.883721,11.17647,7.571429,10.86047,13.61932,10.42056,13.29167,15.3589,11.52632,13.46154,15,16.85861,14.69906,14.53488,10.88235,12.31063,12.13636,11.48352,11.31579,12.30769,11.86207,13.80505,19.00151,14.6,11.81315,9.711538,10.67816,10.12048,16.20863,10.25,16.27386,12.61165,12.93333,12.98276,28.04909,12.00741,12.06373,10.0708,14.33846,13.34091,10.85714,11.66667,11.57609,11.95745,12.28571,16.5,12.05769,13.42308,10.35556,13.10811,10.43478,12.89474,11.72973,13.32,17.24375,9.221239,19.33333,14.56928,9.5625,12.86792,14.8345,11.61765,10.5,13.0687,14.07692,10.25309,12.16667,11.08594,10.96552,13.30872,14.63158,13.59091,14.17667,11.77941,14.64286,15.54717,12.35088,27.212,13.97436,13.4359,9
9,14.02655,12.50896,13.2619,11.66667,11.64103,11.95181,16.31034,10.94231,16.62463,13.03333,11.51515,13.24051,13.2973,13.2381,13.05556,16.14286,14.31373,11,12.18349,10.74771,11.79592,13.8,17.45062,11.49419,9.72,8,11.47059,9.853659,18.60473,14.7619,12.71429,14.14773,12.41026,14.85,14.35443,13.13636,11.82609,11.9542,12.42857,14.52381,13.24603,15.34906,11,11.81034,21.82533,10.42222,19.39676,11.6338,12.48837,9.519608,13,10.13158,10.14286,18.66597,11.85185,12.25,14.0596,12.17877,14,10.46875,14.05405,13.04797,10.81053,10.44444,15.39524,9.325,11.66667,10.22727,15.14344,11.5,11.84615,10.64039,12.96809,11.63636,10.95,15.52655,16.31034,11.95082,16.27717,9.808824,13.92593,12.33333,12.62963,13.28455,12.25,10.4507,14.4,12.17143,12.75,13.6263,13.87209,11.93724,14.02778,14.18367,13.5493,16,14.8481,20.325,12.26875,16.25343,10.18182,13.33684,11.61957,10.98198,14,12.86378,14.75,13.28571,14.81203,13.17117,9.95,13.54545,11.33333,12.33577,10.3,12.04545,15.75,13.09091,11.30612,12.07143,12.64063,13.90909,12.48352,13.24444,10.51064,14.13333,12.0625,10.28571,11.14815,11.14035,14.2514,13.73004,13.56944,23.49174,13,11.38095,13.61957,10.4,20.15625,13.14286,13.3,12.43624,11.72727,8.733334,12.50222,43.86422,18.13972,16.84762,11.72455,13.70199,12.13688,10.20415,11.63158,10.25,12.75,9.217391,20.13679,13.08823,12.81183,10.84783,12.34444,12.13333,14.95833,12.11905,8.804348,12.30107,11.14634,11.33333,9.545455,9.204082,9,10.98742,12.64736,12.02632,10.44186,11,7.678571,10.90698,13.55114,11.14953,13.08333,15.72393,12.78947,12.97802,13,16.92031,14.76489,14.5814,10.29412,11.83924,11.92727,11.2967,10.68421,11.30769,12.03448,14.16972,18.92308,14.5,11.83737,10.03846,10.74713,10.90361,15.72662,8,16.49378,13.30097,14.26667,11.67241,28.39832,11.92593,12.20098,10.17699,14.50769,13.29545,10.85714,9.666667,11.3587,13,10.52381,14,13.26923,13.30769,9.622222,13.78378,10.17391,12.89474,11.54054,13.24,17.125,9.628319,16.66667,14.91566,11.125,12.66038,14.92308,12.23529,8,13.15267,12.38461,10.2716,12.75926,11.05469,11.17931,13.79866,14.13158,12.31818,14.57,11.35294,15.64286,15.5283,11.82456,26.972,13.16667,13.62393,9
