Frame,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63,ROI64,ROI65,ROI66,ROI67,ROI68,ROI69,ROI70,ROI71,ROI72,ROI73,ROI74,ROI75,ROI76,ROI77,ROI78,ROI79,ROI80,ROI81,ROI82,ROI83,ROI84,ROI85,ROI86,ROI87,ROI88,ROI89,ROI90,ROI91,ROI92,ROI93,ROI94,ROI95,ROI96,ROI97,ROI98,ROI99,ROI100,ROI101,ROI102,ROI103,ROI104,ROI105,ROI106,ROI107,ROI108,ROI109,ROI110,ROI111,ROI112,ROI113,ROI114,ROI115,ROI116,ROI117,ROI118,ROI119,ROI120,ROI121,ROI122,ROI123,ROI124,ROI125,ROI126,ROI127,ROI128,ROI129
0,15.66667,17.33333,16.25,18.83333,16.16522,16.48551,15.86957,17.6,17,15.54545,15.57143,15.83654,14.66667,17.19679,20.80079,15,15.05,17,16.96227,14.71429,20,15.34,14.90909,15.11111,14,15.69149,44.78497,15.36,15.71613,13,15.85185,16.34,12.42857,13.33333,16.44404,15.38,16.22034,17.625,20.33333,15.33333,18.76344,15.09091,15.875,15.54717,27.46036,13,17.10738,16.65801,14.3,18.42857,16.82051,17.90909,26.41602,18.10067,15.22222,16.3,14,17.83871,16.1,20.11165,16.57895,16.1,17.12791,17.38857,18,16.54359,24.68417,14.30769,19.62585,16.01667,15.46809,16.84946,16.30769,16.31818,16,16.71739,18.75745,16.39744,16.90659,16.80412,16.0102,15.9661,16,15.63636,18.02321,17,17.725,16.72857,17.79167,17.89831,17.62162,15.71429,18.86901,18.49091,18.78631,19.8125,18.00602,19.6555,16.80556,16.12,17.55556,17.35526,17.05932,15,16.5,18.47273,26.57815,16.10612,17.44,16.40566,17.40602,16.46018,18.58955,16.66337,15.38235,16.59184,16.46154,16.2,15.58333,16,16.08333,16.25532,17.45783,17.02429,14.33333,15.85,15.71311,14.33333,17.18571,15.26471
1,14.33333,13.33333,13.375,17.33333,15.36522,16.72464,12.95652,13.6,10,14.40909,11,14.83654,15.33333,17.17671,20.97069,14,14.15,13.5,16.16038,15.97143,12,14.98,13.09091,15.22222,21.5,14.94681,44.00666,13.52,16.79355,12,12.57407,15.125,13.14286,14,15.74729,12.78,14.97175,18.875,12.33333,12.38889,17.40215,13.54545,15.21875,14.66038,26.86701,16,15.55034,15.51948,12.8,17.78572,15.79487,15.63636,25.63672,15.97315,14.7037,14.6,14.28,17.74194,15.2,19.47961,14.88722,14.06667,15.61628,17.21714,14.77273,16.74872,23.96195,14.84615,18.60771,15.28333,15.61702,16.13979,14.15385,15.04545,13,14.67391,18.25532,16.01282,16.57692,16.83505,15.27551,16.26271,15,15.45455,17.90717,16.30636,17.155,17.71428,16.375,18.13559,17.10811,13.14286,18.87327,18.47273,18.79461,19.71875,17.11446,19.21531,15.47222,16,15.33333,16.73684,16.82203,12.4,14,19.2,26.2807,16.00816,16.44,16.64151,16.93233,15.79646,18.54104,15.89109,14,16.53061,17.11539,15.8,12.41667,12.18182,15.66667,14.65957,17.03313,17.04049,14.66667,13.1,14.61475,11.33333,16.88095,15.67647
2,17.33333,11.66667,14.625,16,14.91304,17.0942,13.78261,13.86667,12,15.63636,11.71429,15.73077,12.33333,16.6506,20.55986,10.5,11.95,13.75,16.63208,14.77143,12,14,17.63636,14.22222,14,14.41489,44.12369,12.88,15.1871,11,13.07407,15.41,13,10,14.81227,11.78,14.31073,18.75,16,13.22222,17.34839,12,11.71875,14.39623,27.05627,14,16,15.72727,11.8,14.57143,15.85897,15,25.13672,15.2953,14.25926,13.4,13.92,15.90323,16.8,19.36796,15.37594,15.33333,15.67442,16.99429,15.25,16.1641,24.03653,13.38461,18.56463,15.48333,14.29787,16.52688,13.84615,15.04545,9,14.26087,18.25106,15.14103,16.37912,16.85567,15.14286,14.91525,18.33333,16.63636,17.67722,16.52023,17.505,16.47143,15.70833,18.42373,17.5,15.42857,18.97444,19.67273,18.64938,19.1875,17.3012,19.45215,15.84722,16.76,18.33333,16.11842,16.75424,13.2,13,18.87273,26.31419,14.77959,14.36,15.92453,16.50376,15.53982,18.5709,16.9703,13.67647,17.4898,15.65385,15.76,12.41667,11.72727,15.5,15.82979,17.54217,17.04049,15.83333,13.55,15.26229,11,16.72381,15.45098
3,15.33333,15,14.125,15.33333,16.32174,17.41304,12.30435,13.33333,16,13.40909,14.42857,14.66346,12.33333,17.48193,20.68157,15.5,11.55,12.25,16.95283,15.05714,21,13.66,17.81818,11.55556,17,14.26596,44.99715,12.44,15.41935,13,13.01852,14.52,13.57143,11.5,15.1083,11.94,14.28249,19.25,14,12.38889,17.44301,14.45455,13.4375,14.60377,26.76726,11,15.34228,16.11255,13.7,14.42857,16.51282,17.36364,25.60742,15.84564,13.40741,14.4,14.68,16.90322,13.8,19.04854,15.23308,15.23333,16.22093,16.78286,16.95455,16.03077,24.56469,14,19.13152,15.25,13.53191,16.26882,14.84615,14.04545,13,14.36957,18.17447,15,17.08791,16.62887,15.79592,16.14407,13.66667,14.63636,17.37764,16.27746,16.985,16.82857,16.20833,18.81356,17.93243,19.57143,18.66028,19.05455,18.41286,19.71875,17.63253,19.49761,14.72222,15.88,15.88889,16.81579,16.98305,14.8,15.5,18.67273,26.44179,14.97143,15.8,15.77359,16.31579,15.30089,18.93657,15.28713,13.38235,16.06122,15.38461,15.44,11.16667,11.36364,16.08333,13.97872,17.38554,16.59919,15.83333,14.1,14.93443,12,17.19048,14.59804
4,12,15.33333,13.75,16,15.58261,16.65942,13.43478,11.93333,9,13.27273,12.57143,15.66346,12.33333,17.55422,20.3696,12,12.1,11.5,16.72956,13.25714,9,14.84,16.54545,13.55556,15,14.73404,45.14558,13.6,15.21935,9,13.55556,14.985,11.71429,10.66667,15.16245,12.9,14.15819,18.25,13.66667,12,17.36129,12.72727,12.65625,15.26415,26.91049,11.5,14.75839,15.91775,10.6,14.71429,14.73077,18,25.37695,15.84564,13.40741,14.9,12.88,18.19355,18,19.30874,14.43609,15.26667,14.5814,16.81429,16.25,15.78974,24.20167,14.15385,18.71428,14.11667,14.46809,16.37634,14.92308,16.18182,14,14.34783,17.76596,14.5641,16.53297,17.30928,14.82653,16.29661,14.66667,16.72727,17.49789,15.39306,17.76,17.17143,15.79167,17.37288,16.86486,13.57143,18.85942,18.90909,18.39419,18.84375,16.65663,19.17225,15.65278,16.72,18.44444,15.80263,16.13559,12,12.5,18.94545,26.10606,14.82857,16,15.60377,16.45865,15.02655,18.97015,15.79208,13.97059,16.55102,15.69231,16.44,13.41667,11.63636,13.75,15.02128,17.39458,17.07287,15.83333,12.95,15.17213,12.83333,16.62381,15.02941
5,13.66667,15.66667,12.375,15,15.50435,16.94928,12.13043,12.26667,14,13.68182,11,15.93269,14,16.5502,20.35917,16,12.45,12.5,16.87421,14.11429,17,14.24,14.90909,13.44444,15,14.75532,45.15224,14.28,16.13548,11,13.61111,15.195,15.14286,12.5,15.2852,11.34,14.83616,19.75,11.33333,12.72222,17.45591,12.81818,11.75,14.90566,26.68542,16,15.52349,16.2987,13.7,16.21428,15.79487,16.54545,25.48242,15.52349,14.55556,14.8,14.44,17.12903,14.4,19.67379,13.93985,15.13333,15.60465,16.73143,16.38636,15.31795,23.89726,12.84615,18.46939,15.66667,14.40425,16.3871,13.46154,14.54545,13,13.19565,18.36596,14.5641,16.58791,16.26804,15.5,15.42373,15.66667,16,17.50844,15.77457,16.8,18.38571,15.41667,19.40678,16.91892,15.85714,18.70181,17.49091,18.24066,19,16.4759,19.17943,15.54167,15.64,17.11111,16.26316,16.00847,13,13,19.09091,26.4362,14.37551,15.88,15.59434,15.73684,15.79646,18.98881,15.24753,12.97059,16.11225,16.88461,15.48,13.58333,12.27273,15.33333,14.21277,17.25602,16.71255,17.16667,13.7,14.51639,10.83333,17.02857,14.48039
6,14.33333,15.66667,14.75,15.5,16.13043,16.28261,13.08696,13.4,11,14.22727,12.14286,14.96154,11.33333,16.93173,20.56384,12,12.95,12.75,16.71698,14.74286,9,14.3,14.63636,11.55556,19,14.7234,46.08659,13.12,15.5871,10,13.03704,15.22,12.85714,16.16667,14.9639,12.06,14.07345,17.75,12.66667,14.83333,17.38065,14.18182,12.375,15.15094,26.77749,13.5,15.71141,15.35498,13,14.14286,16,14.36364,25.66406,15.36242,15.62963,14.8,13.88,17.48387,15.9,19.99223,14.61654,16.76667,16.60465,16.53143,16.11364,15.95385,24.23896,13.30769,18.50567,14.08333,14.21277,16.13979,15.23077,14.22727,13,13.30435,17.68085,14.97436,16.64835,16.84536,15.18367,15,10.66667,15.54545,17.52321,15.56069,16.75,15.97143,15.08333,17.64407,16.21622,15.71429,18.52929,18.50909,18.61826,18.65625,16.68675,18.70335,14.45833,14.6,19.11111,15.94737,16.92373,12.4,14.5,18.60909,25.91467,14.15918,15.28,15.12264,15.8797,14.73451,18.5597,16.10891,13.23529,15.58163,15.26923,14.6,13.25,12.90909,13.16667,13.68085,17.21084,17.01619,18,15,15.20492,10.66667,17.49524,15.17647
7,11.66667,15.66667,13.875,16.16667,16.16522,17.76812,12.04348,12,11,14,11.42857,15.53846,13,17.16867,20.48535,15,13.95,12.75,16.58491,14.34286,18,15.24,13.54545,12.11111,14.5,14.87234,45.99144,13.2,15.59355,12,13.74074,15.135,14.14286,12.5,15.76173,12.7,14.55367,17,15.66667,14.22222,17.3871,12.27273,12.9375,15.84906,27.33759,11,15.30872,16.07792,12.8,14.85714,15.37179,19.81818,25.61914,15.36242,14.33333,13.9,14.88,15.41935,16.7,19.81359,15.24812,15.6,15.51163,16.77143,16.06818,15.57436,24.28539,15.30769,19.09524,13.85,13.97872,16.56989,15.38461,14.59091,15,14.26087,18.49787,15.28205,17.0989,16.90722,15.08163,16.27966,15.66667,17.45455,17.76371,15.35838,17.01,16.51429,18.125,17.9322,17.55405,14.14286,18.48882,18.07273,18.09336,17.34375,17.27711,18.84211,14.70833,15.2,15.77778,16.47368,16.28814,13,11,18.62727,26.32536,13.90612,15.72,15.5283,16.45865,15.63717,18.46269,15.07921,14.14706,16.12245,16.46154,13.92,12.66667,12.27273,14.41667,14.76596,17.66566,16.7166,17.5,13,14.83607,13,16.77619,15.33333
8,13.66667,13.66667,15,15.83333,15.38261,17.02174,13.91304,13.73333,16,12.72727,14.42857,15.04808,17.66667,16.65462,20.46746,16.5,11.8,11,16.78931,15.08571,9,13.98,12.63636,11.44444,17.5,14.18085,45.43958,13.44,15.77419,13,13.40741,15.62,13.85714,13,15.51264,13.28,13.88136,18.75,10.33333,12.38889,17.49462,11.72727,12.71875,14.16981,27.00256,13.5,15.22819,15.64069,13.4,15.78571,15.29487,16.63636,25.77148,16.16107,14.11111,15.4,14.48,17.22581,16.2,19.27184,15.38346,15.53333,15.15116,16.78286,15.72727,15.86667,24.4551,14.15385,19.05215,14.15,14.21277,16,14,15.31818,11,13.43478,17.8766,14.29487,16.58242,16.63918,15.07143,16.02542,11.66667,15.81818,17.48523,14.48555,17.005,18.02857,18.20833,19.22034,16.54054,13.57143,18.66454,18.61818,18.55602,18.84375,16.46386,18.96651,14.38889,16.2,19.33333,16.71053,15.88136,10.4,14,18.41818,26.55343,14.1551,15.12,15.85849,16.20301,15.9469,18.6194,15.67327,12.61765,16.02041,16.11539,15.32,12.66667,10.36364,16.75,13.87234,16.96988,17.10931,19.16667,12.4,15.04918,12.5,17.26667,15.91177
9,13.66667,13.33333,14.375,15.66667,15.61739,16.71014,12.6087,13.93333,13,15.59091,11.28571,15.26923,13.33333,16.74297,20.4004,15,12.7,12.5,16.69811,14.54286,12,14.64,15.45455,13.88889,11.5,14.51064,44.76689,13.24,15.74194,11,12.77778,15.395,12.71429,15.33333,14.90614,13.58,13.57062,20.5,14.66667,13.72222,17.68387,11.54545,12.0625,14.0566,26.65473,11,15.38926,16.05195,11.9,14.64286,15.19231,15.09091,25.68945,16.14765,12.03704,15.3,13.32,17.19355,16.4,18.93592,14.95489,16.63333,15.46512,17.06857,16.68182,15.65128,23.79909,14.76923,18.35374,14.85,14.21277,15.35484,16.23077,13.90909,19,14.36957,17.62553,15.28205,16.57692,17.06186,15.03061,15.38136,12.33333,16.72727,17.87764,14.60694,17.175,16.98571,15.625,18.0339,16.08108,13.57143,18.86688,17.94545,18.1888,19.1875,16.66867,18.51435,16.65278,15.44,15.11111,17.09211,16.33051,10,16,18.27273,26.4992,13.93878,16.92,15.93396,16.65413,16.0708,19.20522,16.70297,13.32353,15.90816,15.57692,14.8,12.5,13.27273,14.33333,13.76596,17.87952,17.31984,17.83333,14.2,15.05738,13.33333,16.59048,15.40196
