Frame,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63,ROI64,ROI65,ROI66,ROI67,ROI68,ROI69,ROI70,ROI71,ROI72,ROI73,ROI74,ROI75,ROI76,ROI77,ROI78,ROI79,ROI80,ROI81,ROI82,ROI83,ROI84,ROI85,ROI86,ROI87,ROI88,ROI89,ROI90,ROI91,ROI92,ROI93,ROI94,ROI95,ROI96,ROI97,ROI98,ROI99,ROI100,ROI101,ROI102,ROI103,ROI104,ROI105,ROI106,ROI107,ROI108,ROI109,ROI110,ROI111,ROI112,ROI113,ROI114,ROI115,ROI116,ROI117,ROI118,ROI119,ROI120,ROI121,ROI122,ROI123,ROI124,ROI125,ROI126,ROI127,ROI128,ROI129,ROI130,ROI131,ROI132,ROI133,ROI134,ROI135
0,5.023256,4.836735,11.55481,7.340314,5.440367,5.666667,4.75,4.833333,5.701389,5.414063,4.661765,26.30926,18.64396,27.5918,5.547369,6.604167,5,4,4.1,4.62963,4.765432,5.270588,4.014706,5.204545,4.436364,5.160714,5.45,5.25,6.583732,4.573529,5.378378,5,5,5.42963,4.25,5.208333,5.336735,4.3,5.222222,4.560345,5.111111,5.128572,6.7,4.857143,4.578948,5.176923,5.804348,26.80795,5.456693,4.582278,4.875,5.314286,22.2487,5.64,9.302238,5.384615,4.770115,5.176166,5.343284,4.772727,5.205128,8.782609,4.666667,7.514019,4.758621,6.103448,6.542373,4.822222,6.113636,5.541667,6.426295,5.550296,6.858093,5.222222,21.58191,6.854369,6.148148,6.692914,5.75,8.33617,5.053333,5.5,5.75,4.461538,19.92927,5.765625,5.845455,5.796992,5.523438,6.072727,5.456897,6.095652,7.1,6.820106,5.729167,5.69378,7.669643,6.898809,6.42953,6.852941,7.128378,5.189189,9.807693,6.6,6.487805,6.814815,6.971698,5,5,6.666667,5.68504,6.376812,4.910714,4.347826,5.873874,5.294117,5.514852,4.827586,5.945946,5.421052,5.733333,6.366667,5.362903,7.771218,5.068182,5.162162,5.194445,7.516026,5,4.967742,5.4,6.444445,5.814607,5.666667,5.255556,4.7
1,5.72093,4.530612,11.70917,7.680628,5.761468,6.111111,4.625,4,5.743055,5.460938,4.661765,26.39955,18.74303,27.76827,5.589474,6.901042,4,3,4.7,4.37037,5.098765,5.435294,4.102941,4,4.309091,3.875,6.25,4.25,6.76555,4.352941,5.459459,4.894737,4.710526,5.651852,3.75,4.680555,5.352041,4.181818,4.722222,4.25,5.555555,4.2,6.7,4.107143,4.105263,4.930769,6.007246,26.34768,5.448819,4.392405,4.382813,5.314286,22.6658,5.84,9.440298,6.384615,4.701149,5.341969,5.089552,5.477273,5.162393,8.634783,4,7.658878,3.982759,5.931035,6.338983,4,5.545455,5.625,6.358566,5.698225,6.725055,6.555555,21.69927,6.92233,6.62963,6.952756,5.865385,8.651064,5.186666,5.5,5.3125,4.384615,19.77317,5.960938,5.763637,5.616541,5.203125,6.236363,5.586207,6.043478,6.1,6.624339,5.989583,5.722488,7.473214,6.886905,6.2349,7.617647,7.094594,5.851351,10.07343,6.4,7.219512,6.746913,6.698113,5.2,6.5,6.666667,5.480315,6.246377,5.589286,4.217391,5.207207,4.970588,5.336634,4.189655,5.054054,4,5.678788,6.361111,5.096774,7.822878,4.602273,5.621622,5.416667,7.291667,4,5.387097,5.428571,5.777778,6.157303,5,4.866667,4
2,4.790698,4.816327,11.62864,7.6911,5.100917,4.925926,4.6,3,5.416667,5.804688,4.235294,26.26749,19.14241,27.80392,5.968421,6.604167,4,4,4,3.87037,4.703704,5.164706,5.029412,4,4.527273,5.017857,4.45,5.875,6.583732,4.764706,5.364865,5.894737,4.552631,5.651852,4,4.847222,5.311224,4.363636,4.574074,4.172414,4.962963,4.057143,6.7,4.232143,4.447369,4.969231,5.15942,26.43046,5.346457,4.620253,4.210938,4.428571,22.46114,5.72,9.231343,6.923077,4.678161,5.414508,5,5.590909,4.726496,8.882608,5,7.266355,4.103448,5.965517,6.610169,4,6.534091,5.9375,6.286852,5.692307,6.980044,5,21.48655,7.038835,6.259259,7.244094,5.980769,8.468085,5.746666,6,5.4375,5.230769,19.44634,5.953125,6.027273,5.87218,5.476563,6.018182,5.534483,6.295652,7.3,6.783069,6.416667,5.373206,7.486607,7.136905,6.087248,7,6.912162,5.513514,9.965035,6.8,6.487805,6.648148,6.537736,5.8,5.5,6.166667,5.622047,5.608696,6.178571,4.130435,5.765766,4.058824,5.405941,4.586207,4.837838,4.578948,5.684848,5.972222,5.177419,7.649446,4.977273,5.324324,5.611111,7.423077,4.470588,5.435484,5.542857,6.814815,5.803371,4,5.611111,4
3,5.488372,4.67347,11.6689,7.759162,5.678899,6.851852,4.475,5,5.854167,5.203125,4.647059,26.30023,18.18576,27.77005,5.821053,6.791667,4,4,3.9,3.777778,4.024692,5.176471,4.014706,4,4.163636,4.946429,5.15,5.25,6.162679,4.397059,5.297297,4.368421,4.31579,5.051852,3.75,4.888889,5.306122,4.745454,4.842593,4.189655,4.962963,4.928571,6.5,4.160714,4.236842,4.953846,5.876812,26.5894,5.409449,4.303797,4.84375,5.114286,22.3342,5.24,9.298508,6.692307,4.574713,5.129534,5.149254,5.181818,4.897436,8.717391,4,7.74299,4.431035,5.965517,5.474576,4.355556,5.272727,5.541667,6.498008,5.56213,7.090909,5.888889,21.78973,6.912621,5.481482,7.216536,5.980769,8.421277,5.013333,5,5.25,4.846154,19.6561,5.84375,6.045455,5.571429,5.320313,6.2,5.491379,6.434783,6.5,6.592593,6.385417,5.976077,7.303571,7.035714,6.161074,7,7.060811,5.77027,9.937063,5.8,6.878049,6.82716,6.943396,5,6.5,6.583333,5.401575,6.115942,5.089286,4.695652,5.918919,4.705883,5.405941,4.655172,4.945946,4,5.484848,6.161111,5.169355,7.745388,5.022727,4.891892,5.333333,7.285256,4,5.306452,6.142857,6.814815,5.994382,5.666667,4.944445,5
4,5.395349,4.632653,11.67562,7.73822,5.412844,4.925926,4.975,4.333333,5.506945,5.367188,4.176471,26.38713,18.35604,27.78431,5.663158,6.71875,4,4,3.85,4,4.876543,5.211765,5.147059,4,4.072727,4.678571,5.5,5.875,6.521531,4.573529,5.5,4.894737,3.526316,5.511111,4.5,4.902778,5.316327,4.545455,4.796296,4.448276,4.925926,4.242857,6.4,4.035714,4.657895,5.076923,5.246377,26.9702,5.393701,4.012658,4.328125,4.642857,22.57254,5.52,9.507463,5,4.735632,5.331606,5.283582,5.431818,5.273504,8.773913,4,7.415888,4.465517,5.793103,5.525424,3.933333,5,5.416667,6.430279,5.171597,6.91796,5.888889,22.21271,6.898058,6.518518,6.972441,6.192307,8.357447,5.066667,5.5,5.9375,4,20.17805,5.984375,5.954545,5.421052,5.976563,5.872727,5.706897,6.426087,7.3,6.84127,6.052083,5.894737,7.321429,7.119048,6.275168,7.852941,7.263514,5.283784,9.751748,8.2,7.121951,6.796296,6.481132,4.9,5.5,4.75,5.291338,6.391304,5.714286,5.782609,5.927928,5.088235,5.376237,4.793103,5.297297,4.789474,5.066667,6.066667,5.177419,7.811808,5.147727,5.594594,5.611111,7.583333,5,5.483871,5.485714,6.111111,6.123596,5.666667,4.877778,4
5,4.395349,4.142857,11.59284,7.795812,5.486238,5.62963,4.45,4,6.381945,5.679688,4.397059,26.05869,18.43963,27.74153,5.736842,6.947917,4,4,3,4.314815,4.814815,5.164706,4.911765,3.954545,4.036364,5.196429,5.45,5.875,6.636364,4.691176,5.567567,5.31579,4.710526,5.170371,4.25,4.625,5.505102,4.627273,4.944445,4.767241,4.962963,4.371428,7.1,4,3.947368,4.823077,5.681159,26.68543,5.535433,4.594937,4.75,5.357143,22.38601,5.76,9.291045,5.923077,4.735632,5.430052,5.044776,5.25,4.700855,8.721739,4.333333,7.420561,4.258621,5.965517,6.372881,4,5.159091,5.1875,6.454183,5.420118,6.89357,5.333333,21.96333,6.669903,6.333333,6.944882,5.903846,8.604256,5.106667,4,5.8125,4.076923,20.15854,5.945313,5.809091,5.586466,5.367188,6.254546,5.293103,6.304348,7.3,6.656085,6.1875,5.655502,7.59375,6.851191,6.261745,7.323529,7.114865,5.081081,9.856644,7.2,6.292683,6.728395,6.716981,5,4,5.75,5.629921,6.463768,5.446429,4.478261,6.027027,5.794117,5.534654,4.689655,4.702703,5,5.10303,6.383333,5.475806,7.642066,5.102273,5.135135,5.027778,7.326923,4,4.983871,5.714286,6.592593,6.101124,4.5,4.977778,5.7
6,5.697674,4.428571,11.62864,7.638743,5.660551,5.555555,4.425,4,5.930555,5.445313,4.132353,26.39165,18.56037,27.93405,5.221053,6.526042,3,4,3,4.777778,4.839506,5.152941,5,3.772727,4.163636,5.410714,5.65,5.875,6.655502,4.588235,5.472973,4.421052,3.947368,5.059259,3.75,4.666667,5.270408,4.590909,4.305555,4.232759,5.185185,4.171429,6.7,4.375,4.289474,4.715384,5.731884,26.78808,5.448819,4.278481,4.429688,5.271429,22.32902,5.64,9.358209,5.923077,4.712644,5.502591,5.104477,5.545455,4.837607,8.752174,4.333333,7.53271,4.051724,5.862069,5.79661,3.866667,5.352273,4.9375,6.338645,5.786982,7.062084,5.555555,21.95599,6.961165,4.481482,7.248032,5.826923,8.519149,5.626667,5,6,4.076923,20.07805,6.007813,5.854546,5.93985,5.828125,6.236363,5.672414,6.452174,6.1,6.915344,6.25,5.569378,7.214286,6.934524,6.087248,7.264706,7.060811,5.027027,9.905595,6.6,6.878049,6.876543,6.216981,4.7,5.5,5.75,5.645669,5.550725,5.767857,4.695652,5.765766,4.558824,5.435644,4.655172,5.891892,4.578948,4.769697,6.461111,5.233871,7.778598,4.840909,5.297297,5.472222,7.301282,4,5.225806,5.114286,6.296296,6.134831,5.666667,4.777778,4.7
7,4.744186,4.571429,11.62864,7.837697,5.715596,5.185185,4.875,4,5.951389,5.648438,4.75,26.41084,18.47988,27.6328,5.610526,6.276042,4,4,3,4.111111,4.790123,5.305882,5.102941,4,4.090909,5.107143,5.75,5.875,6.732058,4.514706,5.202703,4.210526,4.578948,5.088889,4.5,4.986111,5.515306,4.509091,4.740741,4.439655,5.444445,4.771429,6.7,4.214286,4.052631,5.007692,5.652174,27.10265,5.133858,4.278481,4.34375,5.028572,22.41451,5.64,9.529851,6,3.816092,5.321243,4.134328,5.272727,4.820513,8.791305,4.666667,7.327103,3.931035,5.689655,6.423729,4,5.125,5.416667,6.701195,5.633136,6.891353,6.888889,21.90954,6.592233,4.888889,6.88189,5.903846,8.489362,4.72,4.5,5.125,4.692307,19.94878,5.59375,5.772727,5.917293,6.039063,6.090909,5.586207,6.008696,6.3,6.730159,6.145833,5.746411,7.419643,7.125,6.060403,7.235294,7.317567,5.378378,9.77972,4.4,6.926829,6.962963,6.660378,5.2,5.5,4.75,5.574803,6.231884,6.053571,4.521739,5.315315,5.088235,5.247525,4.741379,4.972973,5,5.036364,6.127778,5.217742,7.808118,5.113636,5.135135,5.333333,7.272436,4,5.354839,5.714286,6.555555,6.022472,4,5.311111,4
8,5.674418,4.142857,11.68233,7.65445,5.80734,5.296296,4.35,5,5.986111,5.796875,4.661765,26.25056,18.50464,27.92692,5.621053,6.6875,4,4,3,3.981482,4.82716,5.305882,4.985294,4.363636,4.163636,4.625,5.3,5.25,6.54067,4.470588,5.013514,4.421052,3.105263,5.096296,3.75,4.638889,5.260204,4.681818,4.138889,4.155172,4.925926,4.171429,6.5,4.232143,4.552631,4.823077,5.289855,26.57285,5.244094,4.493671,5.179688,5,22.52332,5.6,9.171641,6.923077,4.609195,5.393783,4.716418,5.568182,4.709402,8.304348,4,7.780374,4.465517,5.517241,5.779661,3.933333,5.204545,4.9375,6.406374,5.745562,7.011086,5.555555,22.24205,6.805825,5.333333,6.838583,6.557693,8.217021,5.773334,5.5,5.5625,4.769231,19.85122,5.78125,5.7,5.669173,6.109375,6.327273,5.37931,6.504348,7.3,6.645503,6.229167,5.985646,7.4375,7.029762,6.375839,7.382353,7.141892,5.121622,10.0035,6.8,5.609756,6.635802,6.528302,5,6.75,6.083333,5.362205,5.652174,5.625,4.782609,5.594594,6.294117,5.465346,4.689655,5.864865,4.526316,4.775758,6.027778,4.887097,7.678967,4.625,5.135135,6.083333,7.637821,4,5.193548,5.8,6.666667,6.078652,6.166667,5.188889,4.7
9,4.860465,3.918367,11.61521,8.026178,5.174312,5.888889,4.325,4,5.694445,5.664063,4.176471,26.11964,18.6935,27.90374,5.6,6.260417,4,4,3,4,4.864198,5.352941,5.073529,4,4.109091,5,4.8,5.25,6.425838,4.529412,5.067567,5.263158,3.815789,5.414815,4.25,4.888889,5.081633,4.609091,4.083333,4.301724,5.222222,4.114286,6.5,4.089286,4.289474,4.6,5.442029,26.61921,5.188976,4.21519,4.398438,5.4,22.1943,5.68,9.279851,6.923077,4.747127,5.26943,4.164179,5.181818,4.487179,8.66087,4,7.271028,4.793103,5.793103,5.59322,4.355556,5.022727,5.520833,6.513944,5.556213,6.984479,5.888889,21.94132,6.805825,6.074074,7.035433,6.134615,8.625532,5.186666,5.5,5.625,4.615385,19.94634,5.710938,6.3,5.766917,5.898438,6.145454,5.775862,6.243478,6.1,6.78836,6.0625,5.894737,7.227679,6.880952,6.604027,7.558824,7.006757,5.135135,9.874125,5.6,6.487805,6.641975,6.54717,4.9,4.75,5.75,5.598425,5.724638,5.892857,4.217391,6.081081,4.794117,5.306931,3.862069,4.972973,3.894737,4.993939,6.4,5.387097,7.594096,4.465909,4.972973,6.472222,7.471154,4,5.274194,6.085714,6.518518,6.123596,6.166667,5.188889,4
