Frame,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63,ROI64,ROI65,ROI66,ROI67,ROI68,ROI69,ROI70,ROI71,ROI72,ROI73,ROI74,ROI75,ROI76,ROI77,ROI78,ROI79,ROI80,ROI81,ROI82,ROI83,ROI84,ROI85,ROI86,ROI87,ROI88,ROI89,ROI90,ROI91,ROI92,ROI93,ROI94,ROI95,ROI96,ROI97,ROI98,ROI99,ROI100,ROI101,ROI102,ROI103,ROI104,ROI105,ROI106,ROI107,ROI108,ROI109,ROI110,ROI111,ROI112,ROI113,ROI114,ROI115,ROI116,ROI117,ROI118,ROI119,ROI120,ROI121,ROI122,ROI123,ROI124,ROI125,ROI126,ROI127,ROI128,ROI129,ROI130,ROI131,ROI132,ROI133,ROI134,ROI135,ROI136,ROI137,ROI138,ROI139,ROI140,ROI141,ROI142,ROI143,ROI144,ROI145,ROI146,ROI147,ROI148,ROI149,ROI150,ROI151,ROI152,ROI153,ROI154,ROI155,ROI156,ROI157,ROI158,ROI159,ROI160,ROI161,ROI162,ROI163,ROI164,ROI165,ROI166,ROI167,ROI168,ROI169,ROI170,ROI171,ROI172,ROI173,ROI174,ROI175,ROI176,ROI177,ROI178,ROI179,ROI180,ROI181,ROI182,ROI183,ROI184,ROI185,ROI186,ROI187,ROI188,ROI189,ROI190,ROI191,ROI192,ROI193,ROI194,ROI195,ROI196,ROI197,ROI198,ROI199,ROI200,ROI201,ROI202,ROI203,ROI204,ROI205,ROI206,ROI207,ROI208,ROI209,ROI210,ROI211,ROI212,ROI213,ROI214,ROI215,ROI216,ROI217,ROI218,ROI219,ROI220,ROI221,ROI222,ROI223,ROI224,ROI225,ROI226,ROI227,ROI228,ROI229,ROI230,ROI231,ROI232,ROI233,ROI234,ROI235
0,30.28572,28,28.7,27.33333,28.9,32.6,25.83333,34.28571,30.85714,29.77419,26.22222,34,28,29.80702,30.3718,50,30.09091,25.71428,30.70345,30.66667,30.47368,32.3369,29.74194,23.36364,36.44203,32.66667,37.93437,23,31.33333,30.82353,29.66667,31.77778,27.72222,28.33333,28.73333,26.70909,25.71428,22,27.42308,30.225,28.0625,25.09091,27,29.66667,29.23529,30.65089,34.2,34.33333,32.85,30.41221,28.91837,32.34211,26.67769,30.95238,32.78947,33.46154,40,20,35.92035,35.91912,29.44118,29.36364,30.35714,42.05203,27.88235,26.90476,31.75,33.89474,28.7,24.42857,29.74419,51.66581,28.75862,50.2653,26.8125,28.97778,34.59524,29.35294,28.76923,34.2,29.2,31.72881,37.6875,47.34739,42.625,26.84211,31.32927,38.8245,34.85915,31.6,35.5,30.14286,28.67442,29.97273,29.5,33.42105,26.53846,28.11111,28.26667,36.76923,31.64706,43.66667,29.8,41,27.96296,28.5,30.42236,26.25,26.88571,30,27.5,29.09091,29.03333,35.4,28.33628,29.36667,30.81633,29.27778,30.84314,28,33.36232,33.43478,30.94828,26.95652,31,28.98,36.9902,29.92593,27.91304,30.03572,27.80357,25.23529,27.65517,29.19231,31.5,27.42857,26.63636,28.6,27,30.75926,28.32143,36,26.51515,28.21428,31.36842,31.72727,35.19919,30.82609,30.64583,29.61905,27.6,28.41936,25.75,30.0396,29.04167,26.11111,35.66667,29.4,31.45455,28.5,32.75,31.11461,34.49198,36.88424,28.55556,31.32031,34.5,25.2,28.9375,26.82857,21.75,58.59248,30.83673,29.90526,21.33333,30.88461,29.5,25,27.25,28.09091,28.3,29.66667,32.61765,30.81818,31.32558,34.9403,32.53098,30,32.94286,28.9,32.92308,30.69231,28.07547,30.13636,28.5,26.78378,28.77778,30.68421,28.64706,31.46667,32.73913,33,31.33333,32.33712,38,31.21875,30.89091,32.20313,37,29,31.2973,38.34,31.58824,30.98507,33.47368,43.77551,25,42,39.9133,45.50168,49.5,28.5,32.88889,48.09697,43.87082,32.88235,29.14286,28.14286,31.19737,21,36.96907,26.92308,34.91304,34,30.54545,34.0198
1,29.42857,23.16667,24.9,27.16667,29.4,32.8,27.5,25.14286,38,27.06452,28.5,36,24,28.21053,28.08974,36,28.30303,24.42857,29.77931,28.72917,28.29825,31.92513,26.29032,25.09091,36.70652,32.70833,38.05354,28,19,26.88235,28.76923,25.77778,27.55556,26,29.8,25.58182,27.42857,27.33333,22.92308,24.825,31.3125,21.81818,25.51852,25.5,26.17647,29.66272,22.8,34.48634,30.25,30.85496,23.34694,32.97368,25.79339,30.85714,34.57895,27.61539,34.23809,21,35.45575,36.09559,31.61765,28,25.92857,42.59105,28.41176,23.71428,30.875,30.10526,23.7,26.71428,24.88372,50.27506,27.62069,50.02296,23.8125,24.44444,32.45238,27.07843,29.23077,25,29.8,29.35593,36.58333,47.18381,41.5,22,29.52439,37.80132,35.71831,30.62857,28,26.71428,27.04651,28.74545,21.5,32.89474,23.73077,23,24.26667,29.69231,28.88235,38.66667,26.4,20,28.58025,25.18182,28.38509,22.125,26.11429,29,26.1,27.63636,27.16667,27.2,27.23894,25.93333,29.91837,23.38889,30.4902,28,33.08696,30.13043,27.56897,22.86957,28,23.66,38.47059,28.14815,30.13043,26.53572,27.83928,24.11765,26.68966,22.92308,30.59375,25.64286,26.54545,27.8,21,27.57407,28.82143,23,26.27273,26.07143,26.78947,32.27273,35.8374,26.65217,28.47917,26.87302,26.6,25,27.5,28.10891,29.375,23.11111,26,28,30.05534,23.4,29,29.3553,34.42513,35.52412,26.51852,30.10938,25.5,33.4,25.875,23.17143,22,58.76489,30.57143,29.56316,24,30.84615,23.8,22.5,25.125,29.45455,24.8,25.16667,31.02941,24.72727,29.88372,36.09702,31.53982,25.875,32.37143,29.8,24.76923,28.83333,26.26415,31.86364,22.53572,26.08108,26.66667,29.43421,28.58824,28.33333,27.3913,30.44444,25.53333,31.58333,21,30.0625,27.23636,32.21875,30.42857,26.78125,29.57658,38.74572,29.81176,28.55224,27.78947,42.03061,18,41,40.75723,44.79461,47.39474,27.62162,31.38272,48.33333,42.7127,27.70588,28.71428,25.07143,27.84211,25,39.52577,22.76923,35.19565,24.83333,27.31818,30.92079
2,29.14286,25.66667,25.9,26.5,26.6,27.6,21.66667,30.71428,37.71429,26.3871,25.83333,20.5,22,29.2193,30.03846,25,31.30303,24,30.0069,30.10417,27.57895,31.44385,26.41936,26.54545,36.28261,33.25,38.05872,26,27.5,25.70588,29.05128,24.66667,25.11111,30.33333,24.13333,25.81818,25.57143,20,24.26923,29.9,23.625,23.90909,24.85185,27.5,26.82353,30.94083,28.8,33.95082,30.725,32.86259,23.71428,32,25.12397,25.90476,31.73684,26.61539,35.23809,21,35.43363,35.27206,28.94118,27.93182,26.46428,42.60978,28.23529,24,33.75,31.31579,24.2,27.28572,25.65116,49.68895,26.82759,50.1301,25.25,28.02222,32.71429,25.98039,28.53846,24.2,20.8,31.23729,36.61806,47.34907,41.78571,27.10526,29.60976,37.52649,34.76056,29.95714,22,27.71428,27.51163,30,31,32.7193,23.30769,22.55556,26.4,29.53846,28.17647,27.33333,25.8,19,27.5679,27.36364,28.86335,25.5,23.25714,24,27.1,25.54545,30.6,28.8,26.62832,26.5,30.91837,24.05556,29.64706,25,32.24638,30.13043,27.60345,26.04348,30,26.28,38.43628,31.03704,24.69565,26.89286,27.125,28.52941,25.96552,24.34615,30.84375,27,28.09091,30.6,22,28,27.17857,22,25.0303,25.57143,25.68421,34,35.30894,25.65217,27.6875,29.31746,23.4,24.25806,27.08333,28.79208,27.25,24,24.33333,27.4,30.06324,23.9,23.25,30.34384,34.2246,36.37942,26.2963,30.07031,30.5,33.6,26.125,24.68571,25.25,59.30564,30.02041,29.89474,26.33333,28.80769,25.7,21.5,22.625,27.81818,22.7,23.66667,31.12745,28.45455,30.70155,35.22388,32.29203,23.0625,32.87143,29.66667,27.84615,27.9359,26.24528,33.13636,22.5,27.08108,27.22222,28.39474,28.17647,27.53333,27.78261,31.44444,26.53333,31.6553,23,30.3125,26.01818,31.42188,31.57143,26.46875,29.20721,37.8,28.96471,29.38806,27.73684,42.60204,32,59,40.18497,46.23569,49.37719,28.91892,32.76543,48.57273,43.61024,25.29412,26.42857,23.71428,26.72368,26,39.10309,24.92308,34.52174,24.5,29.54545,34.11881
3,29.28572,25,22.5,28,24,24.8,24.66667,27.57143,35.57143,27.3871,26.88889,21,19,29.38597,28.79487,23,26.24242,25.85714,29.81379,27.35417,27.64912,31.82353,28.12903,25,36.86232,30.875,38.23316,33,28.16667,27.64706,27.61539,27.77778,24.5,25.33333,29.46667,25.72727,24.42857,28.33333,25.38461,26.975,24.625,24.09091,25.18518,24.83333,26.58824,29.66272,20.4,34.44262,30.425,31.00763,25.57143,32.97368,25.28099,33.33333,31.05263,32.53846,37.38095,21,35.15929,36.28677,30.20588,28.29545,29.32143,41.70655,26.17647,25.09524,27.75,31.94737,27.2,30.14286,27.53488,51.7635,28.57471,50.53061,30.3125,26.31111,32.73809,26.66667,28.92308,23.4,21.8,30.52542,35.59722,48.20573,43.07143,22.57895,29.5122,38.22517,33.88733,30.25714,20,24.28572,27.5814,30.7,27,31.46491,26.5,24,20.13333,28.92308,28.47059,25,27.2,31,28.59259,24.56818,29.28572,24.625,24.28572,32,24.6,26.45455,30.33333,27.8,27.84071,26.06667,30.22449,25.27778,30.47059,18,30.68116,30.34783,26.53448,23.86957,27,25.32,38.45588,28.88889,25.47826,28.96428,26.30357,22.35294,25.75862,26.30769,30.09375,28.14286,27.63636,26.6,26,27,30.03572,17,26.84848,26.5,26.73684,26.81818,36.03659,25.17391,28.45833,27.73016,25.8,23.51613,27.5,29.73267,27.5625,23.11111,32,29.5,30.73913,23.6,31.25,28.84814,34.2246,37.0418,24.59259,30.25,25.25,32,27.8125,23.94286,23.5,58.10345,30.16327,28.27368,27.33333,28.5,30,31,20.75,26.90909,25.3,30.33333,30.2549,26,30.7093,34.65672,30.45133,27.5,32.17143,29.1,28.38461,31.51282,26.07547,31.95455,24.17857,26.48649,27.55556,28.73684,29.11765,25.53333,29.34783,26.44444,25.06667,31.07576,30,32.71875,26.14545,32.01563,30.14286,29.5625,29.15315,37.70572,29.23529,29.73134,27.68421,43.66837,25,56,39.55491,44.85522,47.13158,26.35135,32.55556,47.71818,43.2294,24.76471,27.07143,24.78572,26.63158,23,38.63918,26,34.44565,22,28.86364,33.0297
4,26.14286,31.16667,22.8,28.16667,26.8,24.6,26,28.57143,31.28572,28.64516,28,20.5,34,28.64035,29.94872,29,24.45455,20.85714,31.33793,28.5,28.54386,30.73262,27.70968,27.63636,36.0616,31.125,36.5354,31,24.5,26.88235,30.10256,28.66667,25.66667,26.66667,29.33333,26.25455,25.14286,29.66667,24.19231,28.6,27.0625,25,26.58025,26.16667,25.94118,30.97042,26.6,34.68306,28.125,31.22137,24.73469,33.21053,25.47108,28.80952,31.26316,25.69231,39.14286,28,34.76549,35.99265,27.47059,27.63636,26.35714,41.72425,28.35294,25.42857,32.125,29.51316,21.3,23.28572,27,49.90231,27.4023,50.30357,26.3125,29.35556,31.42857,27.17647,25.76923,22.2,24.4,29.28814,34.70139,47.35244,42.10714,23.63158,28.65854,38.25166,35.02817,29.97143,24,28.71428,27.39535,28.5,22,32.96491,27.69231,28,23.53333,27.46154,29.23529,37,22.8,20,26.75309,25.06818,29,24.625,22.8,45,29.8,26,29.9,33.2,28.12389,24.96667,31.53061,23.5,30.29412,26,31.84058,28.13043,27.93103,25.30435,32.5,25.56,38.29412,30.48148,25.65217,26.71428,25.64286,26,27.06897,26.69231,26.96875,25.42857,27.36364,31.4,22,25.88889,28.10714,26,24.36364,25.21428,24.31579,33.63636,35.37805,26.69565,27.22917,28.46032,23.7,23.19355,28.5,30.52475,29.0625,25.33333,24.66667,29.7,29.90514,23.3,28.5,30.24355,32.81284,34.08039,24.03704,28.77344,27.25,25.4,25.21875,24.91429,26.25,57.74922,28.46939,29.54737,24.33333,26.96154,28.3,27,22.625,25.09091,25.9,27.83333,31.51961,29.54545,30.37597,34.00746,31.53982,25.4375,31.38571,27.33333,24.92308,29.79487,26.20755,32.86364,25.10714,28.72973,26.11111,29.01316,23.41176,25,27.69565,28,28.26667,31.18939,26,29.15625,27.83636,31.07813,32.28571,29,29.61261,37.94286,27.62353,27.95522,28.36842,41.64796,26,42,39.96532,44.45118,47.2193,26.81081,30.09877,48.48788,43.45434,26.17647,24.07143,24.14286,28.07895,28,37.05155,23.46154,34.68478,28.5,29,32.08911
5,28.28572,23.5,26.4,32.33333,28.2,22.8,23.83333,23.85714,33.42857,28.41936,24.61111,32.5,22,27.57895,29.20513,20,28.72727,24,29.44828,30.08333,29.36842,31.45989,26.77419,24.54545,35.41667,36.16667,37.05182,23,20.83333,27.70588,29.46154,27.22222,28.05556,25.33333,26,22.27273,24,23.33333,24.92308,26.325,24.4375,25.63636,25.18518,27.33333,28.11765,29.27219,24.4,32.71038,28.625,30.9771,24.16327,31.28947,24.56198,28,31.89474,33.46154,35.28571,21,33.80531,35.47794,28.14706,26.29545,25.78572,41.63163,24.52941,24.23809,31,30.22368,25.8,24.57143,24.39535,49.56041,25.51724,50.50255,25.5,26.93333,31.45238,26.35294,28.38461,25,24.8,29.32203,35.27778,46.6543,40.17857,20.57895,29.58537,37.31457,37.21127,30.85714,32,23.85714,25.81395,28.68182,24,32.76316,27.57692,26.11111,23.46667,28.15385,25.82353,23,30.8,24,27.37037,24.09091,27.31056,26,23.94286,21,23.1,25.45455,30.8,34.8,27.22124,25.86667,28.06122,24.16667,30.5098,22,30.56522,27.65217,28.22414,24.58696,31,26.02,36.92157,29.81482,27.30435,30.25,24.33928,23.23529,27.89655,26.03846,25.9375,26.64286,23.81818,28.1,23,26.87037,27.42857,23,23.78788,25.85714,25.94737,28.27273,35.53659,25.30435,26.89583,29.04762,25.8,24,25.91667,28.58416,25.75,24.66667,22.66667,23.1,30.6917,22.6,21,29.3553,33.50802,35.90675,25.2963,29.65625,25.75,34.6,24.34375,22.54286,20.25,57.89499,29.7551,29.11053,22,29.53846,28.9,24,22.875,26.72727,24.8,26.16667,31.42157,26.63636,31.43411,34.94776,31.31858,24.25,30.91429,28.83333,26.61539,29.53846,25.37736,33.86364,25.5,25.94595,28.88889,27.88158,28.70588,26.6,29.73913,26.77778,27.73333,31.51136,23,30.28125,28.29091,30.53125,30.42857,29.90625,30.18018,37.86,28.6,28.70149,31.52632,42.33163,27,39,39.7341,45.56902,47.77193,26.09459,32.14815,48.55455,42.70156,25.35294,28.57143,25.64286,26.56579,28,38.60825,28.23077,35.36956,25,28.77273,32.43564
6,29,21.5,22.4,30.16667,25.2,26,27.33333,25.28572,30.57143,27.74194,28.94444,26.5,28,29.33333,27.97436,28,26.57576,25.42857,29.56552,29.02083,26.61403,31.11765,26.54839,26,35.90217,35.625,35.87219,37,23,25.76471,29.05128,25.77778,23.72222,24.33333,26.93333,25.58182,22.28572,26,22.07692,28.65,23.25,26.90909,23.92593,26.5,27.41176,28.83432,26,33.99454,29.575,29.89313,23.30612,34.55263,25.76859,31,30.10526,29.23077,37.14286,31,34.65487,35.69118,28.55882,25.63636,27.92857,41.82414,25.58824,28,36.25,30.5,29.6,24,27.02326,49.41131,27.68966,50.58163,23.6875,27.08889,33.69048,25.84314,29.30769,24.2,20,30.01695,34.8125,47.72513,44.51786,23.84211,27.91463,37.69537,34.88733,31.17143,22.5,23,28.13953,28.48182,20.5,32.33333,21.38461,24,24.13333,27.92308,26,27.66667,27.8,27,27.46914,23.65909,29.3913,24.625,21.88571,37,27.9,26.09091,27.5,29.6,26.97345,24.3,30.34694,23.55556,30.72549,28,31.89855,31.47826,26.22414,24.45652,28,24.9,37,26.2963,26.86957,26.35714,26.57143,25.52941,26.34483,22.07692,26.5625,21.57143,26.27273,22.7,20,26.46296,26.89286,21,23.72727,24.42857,24.52632,28,35.02032,26.69565,29.875,28.20635,22.3,24.70968,29.58333,28.28713,27.27083,24.11111,21,23.9,30.43478,22,25,29.15186,34.14439,35.49518,26.11111,30.24219,32.75,29.2,24.84375,22.05714,21.5,59.04859,28.40816,28.1,23.33333,30.5,28.7,28,22.25,27.09091,24.1,27.83333,30.78431,27.45455,30.98062,36.42537,31.53097,25.5625,32.68571,27.96667,27,29.01282,26.45283,31.86364,23.21428,25.78378,27.88889,29.77632,28.35294,25.73333,27.78261,27.11111,29.06667,31.04545,24,30.15625,26.94545,31.54688,31.28572,25.8125,28.8018,37.83714,28.10588,27.70149,27.84211,41.9898,25,28,41.19075,45.08754,49.37719,27.28378,30.88889,48.78788,41.86414,28.35294,23.71428,25.07143,27.61842,19,39.18557,24.46154,34.04348,23.66667,28.72727,31.09901
7,27.57143,25.5,26.3,33,24.6,28,25.5,27.85714,34.71429,28.67742,26.83333,39.5,23,30.7807,29.41026,23,27,27.14286,31.71724,29.75,28.52632,31.3369,28.6129,24.18182,36.98551,33.04167,37.07254,33,26.33333,28.82353,32.20513,24.88889,25.83333,36.66667,27.93333,23.6,22.57143,29,22.92308,30.3,25.3125,26.36364,24.8642,25.16667,23.88235,29.30769,25.6,33.25683,30.525,32.06107,24.93878,34.71053,26.04132,27,32.21053,29.76923,37.09524,24,34.74336,35.04412,28.41176,26.61364,26.96428,42.28096,26.94118,25.80952,33.375,30.46053,24.2,28.42857,25.4186,51.11568,26.10345,49.90051,26.125,26.75556,33.19048,27.82353,28.92308,23.6,20.2,32.69492,35.15972,47.40303,43.58929,21.57895,26.84146,37.15894,34.70422,30.2,21,25.57143,27.32558,29.55455,20,33.54386,26,27.33333,25.26667,26.07692,30.05882,28.33333,23.6,21,27.1358,21.95455,28.18012,20.125,25.74286,30,23,30.27273,29.06667,31.4,26.30973,25.23333,30.73469,21.88889,31.72549,23,31.47826,30.69565,26.74138,24.56522,27.5,25.88,38.77941,30.14815,27.30435,25.03572,27.05357,25.23529,22.62069,24.46154,25.6875,25.42857,28.45455,32.3,21,26.55556,28.03572,22,23.9697,25.64286,28.36842,33.36364,36.09756,25.95652,30,28.66667,23.5,22.6129,24.66667,28.06931,28.14583,23.66667,23.33333,25.9,31.56126,20.1,31,29.11461,34.3262,35.29261,26.40741,29.50781,21.5,34,24.03125,23.82857,24.75,58.88401,26.30612,28.08947,25,30.03846,25.8,19.5,25.125,28.81818,25.3,28.5,32.73529,30.09091,30.68992,34.80597,31.31858,29.25,32.14286,28.96667,27.92308,30.01282,27.5283,30.45455,24.10714,28.59459,26.22222,29.90789,26.41176,30.4,27.52174,27.11111,27.4,31.91288,19,33.96875,29.54545,32.34375,32.71429,27.4375,29.74775,37.36572,28.65882,26.8806,26.26316,41.64286,28,50,39.2948,44.29966,47.84211,25.56757,32.55556,47.23333,42.5323,26.29412,24.57143,28.5,27.69737,22,39.8866,24.76923,33.65217,22,28.31818,33.54456
8,31.71428,23,27,30.66667,26.7,25.8,23.5,26.85714,34.71429,26.6129,26.55556,28,26,28.62281,30.01282,20,30.51515,25.28572,30.46207,31.0625,29.63158,32.37968,26.16129,26.36364,36.27174,33.58333,36.54231,22,21.83333,29.41176,27.46154,27.66667,27.72222,25.33333,28.13333,23.87273,25.14286,24.66667,23.5,27.55,25,24,24.74074,24.16667,26.52941,30.36686,25.8,32.90164,29.85,31.14504,24.53061,31.10526,24.66116,26.14286,31.78947,29.30769,36.09524,21,34.15487,34.29412,27.47059,27.65909,28.10714,42.01769,26.23529,25.23809,27.5,30.36842,23.3,27,28.86047,50.65296,27.17241,50.2551,26.3125,27.2,33.02381,27.64706,27,24.2,23.4,30.45763,32.94444,47.76897,43.21429,23.31579,29.97561,37.37748,33.98592,30.3,24.5,24.14286,25.02326,29.65454,24.5,32.87719,24.07692,25.22222,22,25.61539,30.82353,29.33333,29.2,31,27.17284,24.47727,28.47205,26.75,23.62857,21,23.1,25.36364,28.63333,30.6,27.0531,25.7,25.97959,24.5,29.70588,19,31.4058,27.78261,28.25862,23.82609,37,25.6,38.45098,28.2963,25.17391,26.35714,28.39286,25.23529,27.48276,26.34615,27.96875,28.5,22.90909,26.5,25,27.48148,30,29,24.81818,23.28572,26.21053,26.72727,35.74797,24.65217,27.47917,28.68254,26.7,24.74194,29.83333,28.38614,28.3125,24.22222,36.66667,23.2,30.86166,26.7,21.5,29.81662,34.03476,34.96785,27.85185,30.29688,28.5,32,25.875,25.97143,26.5,58.13793,27.38775,29.46316,23.33333,30.46154,29.5,29,22.625,27.81818,26.9,26.83333,32.57843,27.90909,30.46512,34.20895,32.36283,27.375,32.04286,30.5,27.23077,28.60256,27.41509,35.27273,23.67857,29.24324,27.22222,29.38158,27.11765,27.53333,24.82609,25.66667,25,30.59848,31,32.125,25.85455,31.53125,28.85714,26.15625,29.48649,36.83714,27.89412,27.31343,27.68421,41.40816,24,57,38.39885,44.40067,48.75439,26.37838,30.74074,48.65454,43.22272,24.35294,26.42857,27.64286,27.68421,27,37.91753,21.07692,34.46739,26.33333,28.59091,31.31683
9,25.85714,22.5,21.8,27.16667,25.9,28.2,23.5,27.42857,32.71429,26.03226,24.61111,26.5,22,30.00877,28.61539,44,28.48485,25.71428,30.51035,30.16667,27.57895,31.14973,26.87097,26,35.51449,32.79167,36.07599,23,21.33333,26.23529,29.23077,26.66667,26.16667,31,27.6,25.25455,28,28.66667,23.80769,28.05,24.8125,25.27273,26.71605,23.33333,23.94118,30.50887,22.8,32.83607,31.875,30.69466,24.63265,32.02632,25.90909,30.33333,29.94737,27.30769,36.66667,17,34.35841,34.71323,27.35294,27.81818,28.75,41.80541,22.82353,23.52381,30.25,29.35526,26.7,26.42857,26.97674,49.48072,28.54023,49.72704,24.625,23.82222,31.69048,27.62745,28.07692,24.2,24.4,29.77966,33.32639,47.25295,41.58929,23.68421,27.92683,36.67881,35.16901,26.68571,32.5,26.57143,26.65116,28.44545,20,32.86842,25.5,25.55556,21.2,29.46154,28.29412,35.33333,34.2,19,27.35802,23.34091,28.49689,24.5,24.28572,25,20.7,20.90909,32.36666,26.2,27.68142,26.36667,31,23.11111,27.45098,23,30.78261,27,27.68966,24.15217,28,25.98,37.88235,30.44444,28.73913,26.21428,25.69643,26.35294,26.37931,23.30769,28.46875,24,25.72727,31.1,24,26.87037,25.10714,16,26.75758,21.21428,25,30.72727,34.95935,23.04348,25.35417,27.44444,30.3,23.09678,28,27.21782,28.125,21.11111,23,26.8,30.50988,23,24.75,28.53295,32.87433,34.8746,30.11111,29.66406,28.25,30.2,25.625,23.57143,23.75,58.62696,28.44898,29.03684,25.33333,29.92308,26.2,28.5,24.5,28.54545,27.4,25.16667,29.70588,26.09091,30.51938,33.6194,30.88496,25.8125,32.75714,30.16667,25.84615,30.53846,24.88679,30.45455,23.92857,26.75676,28.11111,28.92105,25.47059,26.66667,28.47826,29.77778,25.2,31.15909,28,32.25,26.69091,32.98438,30.42857,27.40625,29.86486,37.56,27.63529,27.89552,27.05263,40.61224,21,45,40.18497,44.47812,47.68421,26.78378,32.7037,47.70606,42.5412,23.29412,24.85714,25,26.56579,18,39.49485,23.46154,34.42391,22.66667,28.63636,32.92079
