Frame,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63,ROI64,ROI65,ROI66,ROI67,ROI68,ROI69,ROI70,ROI71,ROI72,ROI73,ROI74,ROI75,ROI76,ROI77,ROI78,ROI79,ROI80,ROI81,ROI82,ROI83,ROI84,ROI85,ROI86,ROI87,ROI88,ROI89,ROI90,ROI91,ROI92,ROI93,ROI94,ROI95,ROI96,ROI97,ROI98,ROI99,ROI100,ROI101,ROI102,ROI103,ROI104,ROI105,ROI106,ROI107,ROI108,ROI109,ROI110,ROI111,ROI112,ROI113,ROI114,ROI115,ROI116,ROI117,ROI118,ROI119,ROI120,ROI121,ROI122,ROI123,ROI124,ROI125,ROI126,ROI127,ROI128,ROI129,ROI130,ROI131,ROI132,ROI133,ROI134,ROI135,ROI136,ROI137,ROI138,ROI139,ROI140,ROI141,ROI142,ROI143,ROI144,ROI145,ROI146,ROI147,ROI148,ROI149,ROI150,ROI151,ROI152,ROI153,ROI154,ROI155,ROI156,ROI157,ROI158,ROI159,ROI160,ROI161,ROI162,ROI163,ROI164,ROI165,ROI166,ROI167,ROI168,ROI169,ROI170,ROI171,ROI172,ROI173,ROI174,ROI175,ROI176,ROI177,ROI178,ROI179,ROI180,ROI181,ROI182,ROI183,ROI184,ROI185,ROI186,ROI187,ROI188,ROI189,ROI190,ROI191,ROI192,ROI193,ROI194,ROI195,ROI196,ROI197,ROI198,ROI199,ROI200,ROI201,ROI202,ROI203,ROI204,ROI205,ROI206,ROI207,ROI208,ROI209,ROI210,ROI211,ROI212,ROI213,ROI214,ROI215,ROI216,ROI217,ROI218,ROI219,ROI220,ROI221,ROI222,ROI223,ROI224,ROI225,ROI226,ROI227,ROI228,ROI229
0,9.5,9,10.6,11.4,10.92308,11.11765,9.233334,7.5,11.68824,10.42857,10.09756,10.42268,10.61487,11.2,10.38806,10.65686,10.8662,10.63333,9.738095,9.969697,9.903226,10.2406,10.10345,10.2,10.35294,11.75,9.666667,12.33333,9.26087,28.48603,9.890625,11.38636,14.59766,10.71429,10.92157,11.28571,9.34,10.79508,18.44262,10.664,10.79121,9.75,11.18462,11.6,10.84783,10.33333,12.125,9.291667,10.30233,11.36,12.35294,10.16667,11.44545,10.4,10.24242,11.57143,11.52632,10.64865,11.94059,11.36364,9.481482,10.86758,10.63529,12.50785,10.91667,13.75,8.625,9.75,11.03226,9.6,10.88889,9.491228,10.51546,10.632,10.48276,11.35915,11.96078,11.15464,10.38095,25.3154,12.15385,10.46667,13.25,23.585,10.625,10.30769,9.636364,10.72917,13.44944,10.125,10.95294,8.6,11.00746,11.21739,10.14286,9.909091,9,10.57317,9.727273,11.08333,11.94702,10.44578,10.21488,8.863013,9.35,9.321428,9.325301,9.546875,10.09091,10.24242,10.05556,10.06849,10.22857,11.03448,11.8,12.16327,11.85714,11.59596,11.18493,11.75,8.576923,10.75536,14.01149,10.16667,12.60627,13.19263,11.34101,9,9.444445,13.56923,9.555555,9.341463,9.970589,10.92647,10.71687,11.3983,9.962687,8,9.90625,9.6,10.82353,12.41584,11.77778,8.411765,10.53846,8.5,10.56164,11.09302,8.962264,9.272727,9.333333,10.86667,10.5,10.45283,11.17514,9.74,10.35664,9.387096,10.97826,10.5,12.53125,10.71264,14.25,8.5,8.571428,9,14.13218,10.40964,7.875,11.1859,10.96027,11.66864,14.42829,10.14679,9.902439,10.6,12.51479,12.54902,10.11111,11.52917,10.76923,10.4,10.71429,13.30649,8.6,11.91667,12.62712,11.96154,11.8,17.79939,12.39695,11.1579,11.13393,13.16667,11.57143,11.2963,10.73333,12.41667,11.03478,11.09259,11.52273,25.20199,12,10.125,15.83807,11.40678,10.45,11.02083,13.46729,10.08333,11.3964,12,15.97978,9.75,19.78618,9,11.16216,10.77778,45.82441,11,11.84615,11.65385,11,10.58065,23.04819,13.08,11.79167,11.41667,11.75,13
1,7,10,8.4,10.2,11.30769,12.19118,10.1,6,12.61471,9.142858,11.06098,10.84536,10.06081,9,9.761194,10.69608,9.690141,9.666667,9.428572,9.30303,10.93548,9.736842,8.413794,10.552,10.32353,10.5,9.2,11.66667,9,28.61173,7.90625,9.681818,14.13672,10.11607,11.59804,10.42857,10.12,10,17.70492,9.856,10.87912,8.785714,10.76923,10.54,10.08696,7,9.5,9.833333,10.68605,10.2,12.48235,10.58333,10.72727,8.8,9.727273,10.71429,10,10.47297,11.96535,9.909091,7.62963,10.83562,10.70588,11.48691,10.75,9.75,9,8.083333,11.51613,9.236363,7.666667,9,9.56701,10.712,9.732759,10.66901,12.09804,10.80928,9.119047,25.23961,11.73846,9.422222,11.5,23.1625,9.375,11,8.090909,9.770833,13.47191,7.75,11.44706,7.8,10.14179,12.26087,9.558441,9.672728,7.5,10.04878,10.95455,7.833333,12.19205,10.03614,10.38017,9.479452,8.7,9.928572,10.25301,8.71875,8.242424,10.30303,10.1875,9.876713,10.8,8.137931,10.68889,11.77551,6.714286,10.9495,11.18493,9.75,8.423077,10.27039,14.63218,9.958333,12.39721,13.36544,11.58525,9,8.866667,13.64231,8.518518,9.365853,9.686275,10.56618,10.89759,10.42373,9.216418,10.23333,9.03125,9.215384,9.941176,12.65347,10.33333,8.352942,9.307693,8.75,9.739726,11.21512,9.396227,8.333333,8.444445,9.733334,9.35,10.60377,11.08475,10.29,10.44755,9.354838,10.66667,12.75,13.67188,9.78161,16.875,8.5,9.642858,8,14.21264,9.036144,8.625,10.46154,11.00662,10.79882,14.6531,8.541285,10.82927,12.8,11.67456,10.21569,9,11.16667,8.730769,12.5,10.85714,12.96883,9,9.5,12.57627,11.69231,9.333333,17.38298,11.41221,11.52632,10.83036,10.83333,10.9898,9.444445,10.73333,11.33333,10.38261,10.77778,9.340909,24.84106,9.5,8.75,15.96875,11.66102,11.15,9.770833,13.48598,8.416667,10.44144,11,16.0382,9,19.76316,11.66667,10.91892,10.33333,45.95187,12,11.07692,10.07692,11.6,9.741936,22.84337,11.64,9.75,9,10.25,10
2,6,8,8.9,11.4,10.46154,12.08823,9.533334,10,12.47353,8.785714,10.10976,10.42268,10.27027,10.6,10.07463,10.10784,10.53521,9.266666,7.738095,9.242424,10.62903,9.43609,9.275862,9.728,10.32353,10.5,10.3,9,10.69565,28.51397,9.0625,9.136364,13.88672,10.07143,11.27451,10.42857,10.08,10.37705,18.57377,10.216,10.81319,7.678571,10.69231,11.12,9.391304,7.777778,9.25,8.75,10.54651,10.64,12.45294,10.55556,10.92727,9,9.69697,10.67857,8.947369,11.12162,12.09406,8.727273,7.833333,10.23288,11.37647,11.56021,10.86111,10.5,10.75,9.041667,11.16129,9.745455,7.777778,9.824561,10.18557,9.96,10.15517,11.11972,12.44444,10.97423,10.69048,25.30318,12.26154,8.755555,10.5,23.2475,9.375,10.07692,7.727273,10.39583,13.50562,9.75,11.78824,7.6,10.58209,10.17391,10.07792,10.36364,8.5,10.95122,8.181818,9.583333,12.57616,9.349398,10.47107,9.082191,9.45,8.428572,9.048193,10,8.545455,9.848485,10.52083,9.397261,9.685715,7.827586,11.33333,11.32653,7.857143,10.35354,11.30137,11.5,7.346154,9.819742,14.65134,10.16667,12.29617,13.01983,11.95392,9.923077,8.488889,13.66538,9.333333,8.097561,10.09804,10.28677,10.51807,11.33051,10.20895,9.2,8.65625,9.384615,9.45098,12.25743,10.94444,10.11765,8.615385,8,10.08219,11.4593,8.679245,8.242424,8.222222,9.8,10.15,10.24528,11.61017,10.26,10.3007,9.387096,10.67391,8,12.04688,9.850574,16.3125,8,9.857142,8,14.47126,9.674699,8.125,10.96154,11.40397,11.28402,14.70543,9.018349,10.21951,9,12.02959,11.11765,7.444445,10.44583,8.538462,13.6,9,12.88831,7,9.083333,12.1017,12.05385,11.06667,17.01216,10.62595,10.73684,9.973214,10.41667,10.95918,10.85185,9.066667,10.45833,10.75652,10.75926,11.13636,24.79139,11.5,8.25,16.27841,11.54237,9.7,10.29167,13.03738,8,10.53153,10,15.83595,9.5,20.03618,11.25,12.05405,8.833333,46.40881,12,10.5,10.65385,12.6,9.129032,23.53012,12.15,9.333333,10.125,7.875,9.5
3,8.5,8,8.7,10.8,11.61539,12.86765,9.966666,7,12.40294,8.571428,10.15854,10.51546,9.972973,10.2,9.731343,10.44118,10.53521,9.1,9.142858,9.878788,10.82258,9.75188,9.034483,9.488,10,9.5,9.9,12.33333,9.086957,28.48324,9.1875,10.34091,14.25391,9.3125,11.17647,9.071428,9.14,10.19672,18.55191,10.032,9.978022,8.428572,11.07692,10.98,9.73913,7.888889,10.375,9.333333,10.84884,9.72,12.67647,10.19444,10.94545,9.6,8.636364,10.39286,8.684211,11.55405,12.20297,10,8.074074,11.02283,11.02353,11.75393,10.86111,9.75,10.5,7.958333,11.35484,8.654546,8.555555,8.964912,10.04124,11.024,9.551724,10.75352,11.84314,10.49485,9.523809,25.22983,11.58462,10.86667,11.25,23.4375,9.5,9.076923,9.181818,10.14583,13.21348,10.25,11.70588,8.8,10.95522,10.52174,10.15584,10.23636,11,10.34146,8.5,8.833333,12.54967,9.180723,9.578512,9.328767,7.9,8.785714,9.771085,8.546875,7.636364,10.39394,9.826389,9.356164,9.628572,7.758621,10.62222,11.34694,7,10.34343,11.77397,8.5,7.269231,9.845493,14.35249,9.5,12.21951,12.73938,11.72811,9.769231,8.311111,13.51923,8.851851,8.878049,9.813725,11.36765,10.30723,10.99153,10.38806,9.666667,8.5625,10.49231,10.17647,12.24753,10.5,8.823529,9.230769,10.5,9.657535,11.2907,8.660378,7.575758,6.888889,9,9.25,10.69811,11.32768,10.05,10.42657,8.903226,10.07246,8.75,12.73438,9.333333,16.8125,8.5,8.571428,8.5,14.29885,9.602409,9.375,10.85897,10.45695,10.98817,14.42636,8.697248,8.829268,8.4,12.74556,10,9.222222,10.8,8.230769,10.9,11,13.66753,9,8.75,12.01695,12.46154,10.6,17.98784,11.22901,10.31579,9.785714,10.75,12.08163,9.703704,9.2,10.70833,10.26957,11.12963,9.590909,24.80464,11,9.125,15.65341,11.50847,9.85,10.02083,13.52336,9.083333,10.1982,11,16.03146,7.75,19.36842,10.5,11.48649,9.166667,46.08542,11,11.84615,10.69231,11.2,10.25806,23.61044,11.38,9.25,10.75,8.375,12
4,6.5,8,7.1,10.6,9.538462,12.13235,10.73333,10,11.86471,8.714286,10.68293,10.93814,10.27027,12,10.10448,9.823529,9.922535,9.966666,8.904762,9.69697,11.95161,9.225564,8.620689,9.232,10.38235,9.5,9.033334,10.33333,8.130435,28.03073,8.0625,10.11364,13.94141,10.22321,11.03922,11.14286,9.68,10.82787,19.02732,9.608,10.53846,8.678572,10.27692,11.42,9.73913,9.666667,11.75,9.583333,10.9186,10.28,12.72353,10.44444,10.49091,6.6,9.515152,10.85714,9.157895,10.06757,12.48515,8.909091,7.962963,10.53881,10.69412,11.6911,10.91667,7.5,9,8.708333,11.54839,9.6,7.444445,10,10.24742,10.416,9.663794,10.44366,12.77778,10.82474,9.380953,25.49144,12,10.06667,11,23.48,10.125,10.61539,7.818182,10.3125,13.42697,7.5,11.76471,10.2,10.59702,12.69565,9,9.272727,8,10.12195,9,8.666667,13.06623,10.60241,10.00826,8.890411,9.65,8.321428,10.04819,8.140625,8.30303,10.63636,10.09722,9.849315,10.08571,9.310345,10.2,12.10204,8.142858,10.37374,11.28082,10.25,7.153846,10.19742,14.3295,10.29167,12.62369,12.92918,11.85714,9.076923,8.733334,13.34231,8.444445,8.536586,10.52941,10.99265,10.4759,11.24576,9.246268,9.566667,8.3125,9.630769,10.68627,13.07921,9.722222,8.235294,8.615385,9,9.493151,11.06395,9.113208,7.848485,8.333333,7.866667,9.05,10.16981,11.53672,10.67,10.79021,9.096774,10.69565,10,12.17188,9.574713,14.4375,8,9.071428,10.5,14.58046,9.012048,9.125,10.72436,10.80132,11.34911,14.28101,9.33945,9.634147,11,12.00592,10.62745,7.222222,10.65417,8.692307,10,10.71429,12.69091,8.8,10,12.69491,11.87692,11.26667,17.75076,11.1145,12.57895,10.4375,12.41667,11.5,8.925926,8.933333,11.70833,10.4087,11.42593,11.20455,24.38079,9.25,9.0625,15.84943,9.966102,10.45,10.34375,13.98131,6.416667,9.864865,10,16.02472,11,19.46053,10.16667,11.94595,9.944445,46.37627,13,10.92308,10.92308,11.2,11.32258,23.40964,12.09,9.333333,11.20833,8.875,9
5,8.5,9,7.5,8.8,9.230769,11.86765,9.333333,7,11.92941,9,10.63415,10.28351,9.5,11.4,8.880597,9.852942,10.42958,10.23333,8.285714,8.727273,11.37097,9.105263,9.862069,9.608,9,8.75,8.2,8.333333,7.521739,28.53073,8.65625,9.113636,14.10938,9.642858,11.13725,7.285714,10.14,10.55738,18.45355,10.008,10.62637,9.035714,10.96923,12,8.913043,7.222222,8.25,8.208333,10.01163,8.8,12.22941,10.27778,11,8,9.787879,12,8.263158,11.32432,12.05941,10.63636,7.37037,10.89498,10.97647,11.40838,11.77778,12.5,8.375,8.166667,11.6129,8.872727,8.444445,8.263158,10.07216,11.064,10.09483,10.87324,12.23529,10.98969,9.761905,25.82152,11.50769,9.288889,9.75,23.6,9.75,8.153846,7.363636,9,13.07865,8.375,11.71765,9.2,11.29851,10.73913,10.06493,9.636364,8.5,10.92683,9.181818,10.25,12.55629,9.722892,10.20661,9.054794,9.6,9.714286,9.493976,9.234375,8.878788,10,10,9.232877,9.057143,7.758621,10.77778,11.02041,6,10.52525,10.78767,10.75,6.576923,10.18455,14.11494,9.666667,13.25784,13.13598,11.9447,9.538462,8.111111,13.85385,7.814815,7.97561,9.578431,10.58088,9.740964,10.6017,9.044776,9.033334,9.71875,9.661538,11.52941,12.78218,10.55556,9,8.692307,7.75,9.712329,11.37209,8.924528,8.030303,9.777778,8.266666,11.4,10.18868,11.84746,10.1,10.23077,9.967742,10.63768,9.5,11.95313,9.413794,17.6875,9.5,10.57143,7,14.25575,9.554217,8.875,10.92949,10.71523,11.04142,14.85853,9.174312,10.04878,8.6,12.52071,10.54902,9.777778,10.95417,8.269231,10.8,12,12.73247,8.4,9.583333,12.45763,11.88461,10.6,17.40122,11.28244,10.94737,10.35714,10.41667,11.36735,11.03704,7.933333,12.125,10.30435,11.51852,10.52273,24.81457,10.25,10.8125,15.4858,11.30509,9.3,10.54167,13.1215,7.25,10.00901,11,16.06966,7.25,19.06908,10.41667,10.56757,10.5,45.71322,10,10.19231,9.769231,11,9.903226,22.96787,11.51,8.416667,9.625,8,13.5
6,8.5,7,8.1,9.6,11.15385,11.80882,9.4,7.5,11.82059,8.928572,9.695122,10.31443,9.959459,10.6,10.40298,10.29412,9.725352,9.066667,7.238095,8.909091,9.629032,9.067669,9.655172,9.232,9.058824,9,9.183333,9,8.695652,28.4581,9.125,9.363636,14.17969,9.517858,10.7549,10.85714,10,10.01639,18.60109,10.064,10.17582,7.75,10.13846,11.24,8.673913,7.333333,8.125,9.708333,10.51163,10.04,12.87647,10.88889,11.42727,11.6,9.030303,12.28571,8.105263,11.25676,11.92079,11.18182,7.796296,10.21918,10.15294,11.72251,10.91667,10.25,9.125,8.125,10.6129,9.090909,9.888889,8.543859,10.23711,10.84,10.5431,10.74648,12.29412,10.98969,9.285714,25.88998,13.09231,10.8,7.75,23.64,8.125,11.07692,8.181818,9.583333,12.77528,7.875,11.61176,10.4,10.55224,12.86957,9.324676,9.845454,8,10.5122,9.318182,7.666667,12.28477,9.638555,9.867768,7.849315,9.15,8.392858,9.771085,8.828125,8.272727,10.30303,9.777778,9.328767,10.11429,9.103448,11.13333,11.06122,6,10.12121,11.19863,11,7.884615,9.862661,14.19923,9.875,12.07666,13.0255,11.6682,8.461538,7.866667,13.49231,9.037037,7.878049,9.833333,11.40441,10.6988,10.58475,9.291045,9.5,8.5625,10.06154,10.21569,12.32673,10.22222,9.647058,8.230769,9,10.10959,10.98837,9.056603,7.666667,7.333333,9.466666,9.5,10.96226,11.77401,10.83,10.26573,8.903226,10.65942,8,12.5625,8.666667,16.0625,11.5,10.5,8,14.57471,8.843373,8.375,10.61539,10.69536,10.86982,14.02907,8.733945,9.097561,9.6,12.46746,11.70588,7.444445,10.87083,8.038462,9.6,12.57143,13.20779,9.4,9.5,12.55932,12.11539,10.53333,17.22796,10.76336,10.1579,10.34821,9.416667,11.17347,9.518518,9.8,9.958333,10.2087,11.2037,11.02273,24.95033,11.5,9.5,15.94034,11.42373,9.95,9.854167,13.42991,7.833333,10.07207,13,16.20225,8,19.5625,10.58333,10.24324,10.44444,46.03661,16,9.961538,10.80769,11.4,10.51613,23.25301,11.05,9.5,11.25,7.5,9
7,9,10,9,9.6,10.46154,11.76471,9.933333,8.5,11.56471,9.857142,10.34146,10.2732,9.371622,8.4,10.1194,9.392157,9.718309,10.03333,8.785714,8.636364,10.90323,8.87218,8.517241,9.784,9.382353,8.25,8.05,9,8.173913,28.22067,8.140625,9.227273,14.14844,9.928572,11.27451,8.142858,9.68,10.13115,18.17486,9.808,9.560439,7.964286,10.55385,12.44,8.782609,9.111111,7.625,8.25,9.94186,9.36,12.41765,9.666667,10.77273,7.6,8.969697,11.14286,9.368421,10.59459,11.9604,9.272727,8.574074,10.40639,10.98824,12.19372,12.19444,11,9.625,8.25,10.45161,8.418181,8.444445,9.22807,10.17526,10.288,10.35345,10.09155,11.98693,11.01031,9.214286,25.45477,12.33846,9.044444,9.5,23.555,11,11.46154,8.272727,10.125,13.05618,8.125,11.43529,9.4,11.22388,11.43478,9,9.236363,13,9.865853,10.04545,9.083333,12.9404,9.783133,9.710744,9.383562,8.75,9.214286,9.73494,8.71875,7.575758,10.33333,9.743055,9.479452,10.11429,9,10.57778,10.95918,7,10.32323,11.22603,9.5,7.230769,9.875537,13.66284,8.833333,12.10105,13.16997,11.64516,9.615385,8.866667,14.12308,8.962963,9.658537,10.19608,11.27941,10.43976,11.23729,10.21642,9.533334,8.59375,9.861539,9.862745,12.95049,10.55556,8.411765,8.230769,10,8.890411,11.07558,8.528302,7.454545,8.111111,8.666667,9.75,9.603773,11.38983,10.1,9.468532,8.806452,10.76087,9.5,12.20313,9.367816,14.75,9.5,8.857142,9,14.50575,9.337349,8.75,10.70513,10.70199,10.87574,14.45155,8.788991,9.878049,8,12.18935,10.05882,8.111111,9.883333,8.923077,13.9,9.428572,12.99481,9,8.666667,12.0678,12.59231,9.533334,17.51976,10.51908,10.47368,9.839286,10.91667,10.33673,10.25926,9.466666,11.66667,11.08696,11.11111,9.181818,24.84768,9.75,9.3125,16.06818,10.62712,10.6,9.979167,13.36449,9,10.59459,11,15.80674,8,20.03618,12,11.32432,10.05556,45.94508,10,11.19231,11.23077,10.6,10.45161,23.18876,11.55,9.916667,10.45833,9.625,9
8,7,10,6.7,8.3,9.769231,12.82353,9.066667,7,11.57941,8.571428,10.29268,10.56186,9.486486,8.8,9.462687,9.323529,10.11268,10.4,8.452381,8.212121,10.56452,8.255639,9.206897,9.144,8.441176,7,8.583333,8,8.652174,28.81006,8.421875,9.522727,13.67578,9.660714,11.61765,8.214286,10.04,10.63934,18.17486,10.224,9.318682,7.892857,10.76923,11.08,8.847826,7.222222,7.5,8.791667,10.55814,9.44,11.55882,9.138889,11.70909,9.6,8.939394,11.39286,9.368421,9.986486,11.78713,10.72727,7.666667,9.83105,11.08235,12.05759,11.36111,7.75,11,7.708333,11,8.436363,7.888889,9.017544,9.845361,10.6,10.22414,10.26056,11.91503,10.80928,9.285714,25.28117,12.27692,9,8.5,22.8375,10.25,10.61539,7,10.66667,12.25843,7.875,11.09412,8.8,11.17164,10.43478,9.233767,9.427273,8,9.768292,8.909091,9.833333,12.38411,10.20482,9.247934,8.041096,9.65,9.142858,9.433735,9.140625,8.454545,9.909091,10.20139,10,10.45714,8.172414,10.37778,10.97959,6.857143,11.37374,11.05479,10,7.615385,9.695279,13.56322,9.5,12.29268,13.04816,11.79724,9.846154,8.755555,14.18846,8.592592,8.195122,10.08823,11.23529,10.71084,11.14407,10.17164,8.4,9.1875,9.4,10.13725,12.74257,9.444445,8.823529,8.692307,9,9.684932,10.84302,9.396227,8.575758,7,8.266666,9.9,9.566038,11.55367,9.62,9.909091,8.83871,10.57246,10,12.84375,9.517241,16,8.5,9.357142,8.5,14.51437,9.036144,8.625,10.32051,10.91391,10.51479,14.56202,9.018349,9.292683,7.8,12.3787,10.90196,7.666667,9.804167,8.153846,11.9,9.857142,13.12987,9,9.5,11.55932,11.40769,9.666667,17.32523,10.25954,10.36842,10.50893,10.08333,10.83673,9.148149,9,11,10.75652,11.33333,10.09091,25.05298,9.5,8.375,16.16477,10.52542,10.15,10.60417,13.36449,7.25,9.90991,10,16.26292,8.75,19.70395,11.91667,12.08108,10.66667,45.85559,10,9,10.42308,11.6,9.612904,22.751,11.78,9.125,10.08333,7.875,12
9,5.5,9,7.9,11.8,10.38461,12.04412,10.43333,10.5,11.36471,10.5,10.2439,10.37629,9.506757,8.6,8.880597,9.852942,9.084507,8.8,9.071428,7.818182,10.25806,9.015038,9.931034,8.888,10.14706,11.75,8.816667,10,8.391304,29.03073,7.96875,9.136364,14.21484,10.125,11.83333,7.642857,9.5,9.754098,18.5082,10.024,9.813187,7.571429,10.16923,11.82,9.782609,6.444445,12.375,11,10.5,9.48,12.64706,9.416667,10.88182,8.2,8.151515,12.46429,8.263158,10.58108,11.95545,10.18182,8.092592,10.27854,10.48235,12.21466,11.19444,8,10.5,6.833333,10.45161,8.509091,9.333333,8.385965,9.958763,11.032,9.422414,10.19718,11.43791,10.73196,9.190476,25.54523,12.56923,9.666667,9.75,23.2225,9.875,9.153846,8.727273,8.895833,12.80899,10.5,10.70588,9.6,10.44776,12.26087,9.220779,9.218182,10,10.64634,9.681818,9.333333,12.45695,10.26506,10.44628,8.136987,9.25,8.357142,9.686747,9.03125,8.151515,10.06061,9.826389,9.068493,10.62857,8.137931,10.71111,11.28571,8.285714,11.23232,11.82192,10.75,7.730769,10.26609,13.90421,8.708333,12.40418,13.00567,11.75576,8.538462,7.133333,13.78462,10.18519,8.04878,9.509804,11.58823,10.16867,11.16949,10.06716,9.133333,9.5,10.32308,10.35294,13.20792,11.72222,10.05882,8.076923,9,9.520548,11.5407,9,9.121212,7.666667,7.8,9.4,9.735849,11.44633,10.17,11.01399,10.03226,10.51449,8.5,13.34375,9.862069,17,8.5,9.785714,7,14.53448,9.891566,7.375,10.89103,11.55629,10.95858,14.54651,9.46789,8.95122,8,12.1361,10.45098,8.333333,9.879167,7.884615,10.8,11.28571,13.2026,7.6,10.41667,11.91525,12.01538,9.8,17.74164,10.67939,10.36842,10.32143,9.333333,10.93878,9.925926,9.6,10.875,10.72174,10,9.636364,24.87417,9.5,9.625,15.7983,12.22034,10,10.52083,13.8785,9.083333,10,11,16.08539,8.75,19.91118,10.91667,11.81081,9.611111,45.89424,9,10.65385,9.846154,8.8,9.935484,23.16867,11.64,10.25,10.95833,8.375,13.5
