Frame,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63,ROI64,ROI65,ROI66,ROI67,ROI68,ROI69,ROI70,ROI71,ROI72,ROI73,ROI74,ROI75,ROI76,ROI77,ROI78,ROI79,ROI80,ROI81,ROI82,ROI83,ROI84,ROI85,ROI86,ROI87,ROI88,ROI89,ROI90,ROI91,ROI92,ROI93,ROI94,ROI95,ROI96,ROI97,ROI98,ROI99,ROI100,ROI101,ROI102,ROI103,ROI104,ROI105,ROI106,ROI107,ROI108,ROI109,ROI110,ROI111,ROI112,ROI113,ROI114,ROI115,ROI116,ROI117,ROI118,ROI119,ROI120,ROI121,ROI122,ROI123,ROI124,ROI125,ROI126,ROI127,ROI128,ROI129,ROI130,ROI131,ROI132,ROI133,ROI134,ROI135,ROI136,ROI137,ROI138,ROI139,ROI140,ROI141,ROI142,ROI143,ROI144,ROI145,ROI146,ROI147,ROI148,ROI149,ROI150,ROI151,ROI152,ROI153,ROI154,ROI155,ROI156,ROI157,ROI158,ROI159,ROI160,ROI161,ROI162,ROI163,ROI164,ROI165,ROI166,ROI167,ROI168,ROI169,ROI170,ROI171,ROI172,ROI173,ROI174,ROI175,ROI176,ROI177,ROI178,ROI179,ROI180,ROI181,ROI182,ROI183,ROI184,ROI185,ROI186,ROI187,ROI188,ROI189,ROI190,ROI191,ROI192,ROI193,ROI194,ROI195,ROI196,ROI197,ROI198,ROI199,ROI200,ROI201,ROI202,ROI203,ROI204
0,5.309091,4.571429,5.16,5.291667,3.333333,5,5.166667,7.552995,5.473684,6,7.090226,10.27647,10.8125,7.817518,10.25,5.929577,5,5.090909,5.114754,4.5,4,4,6.794117,5.449275,4.925926,6,5.904109,4.826087,10.62871,5.359375,4.76,4,4.5,13.50263,5.523809,5.342593,4.666667,4.3125,4.444445,4.9,3.5,4.666667,5.5,5.868571,7.911392,6.677966,4,4.592593,4,4,4.821429,4,4.555555,4.636364,4,4.543478,4.592593,4,5.566176,4,4.533333,5,5.09434,6.360169,4.8,5.130435,8.213017,9.838542,4.5625,6.704698,6.632911,4.851064,4.538462,7.153153,4.142857,4.648148,4.193548,4.785714,4.588235,4,5,4,4.666667,4.873684,5,12.81308,4.625,4.5,8.938005,5.225352,4.117647,7.546468,5,16.16,5.96,7.176471,4,5.666667,4.934783,8.889862,6.532374,4.5,14.70531,9.067857,9,7.222222,21.94615,10.88461,7.933333,6.173333,7.039548,14.14113,4.55,5.214286,4,5.522522,4,7.247191,8.122616,4,4.175,5.116279,4.529412,5.206897,4.85,5.308725,4.780488,4.969697,5.677686,5.277778,7.014925,4.4,4,32.79955,37.03448,5.592233,5.791667,6.28,13.22857,27.46154,5,5.154545,4,5.68421,5.65,10.5565,5,5.663366,6.321678,5,14.17143,6.716418,4.568627,4.5,7.333333,5.511364,6.652174,5.365217,8.448484,7.141079,11.95848,7.25,12.15441,5.107843,5.328125,14.53797,5.284091,6.078432,5.27451,5.198529,10.70576,4.978724,8.011495,5.090909,5.681481,5.102273,5.310345,4.6,5.578616,6.744361,6.428571,4.5,7.236948,5.363636,5.188679,5.944445,5.651742,6.038462,7,6.375,4.964912,5,6.0875,5.491526,5,5.854167,7.5,5.28125,11.80115,10.30152,5.028572,4.787879,5.372549,5.178571,8.84
1,5.672727,4,4.32,5.25,4,3.714286,5.047619,7.930876,4.736842,6,7.067669,10.27059,11.10096,8.116788,9.86875,5.577465,3.666667,4.872727,5.114754,4.026316,4,4,7.007353,5.130435,3.333333,5,5.452055,4,10.88119,5.109375,3.92,5,4,13.58289,5.222222,4.509259,3,3.25,4,4.4,3.5,4,4,5.645714,7.613924,7,4,4,4,4,4.678571,3.875,3.666667,4.818182,4,4.195652,5.012346,3,5.029412,3.482759,4.866667,4,5.584906,6.165254,3.5,4.25,8.568048,10.05208,4,6.557047,7.189873,5.170213,2.923077,7.45045,3.857143,4.314815,4,3.428571,3.764706,4,4.666667,3.9,4,5.010526,4,12.63551,4,4.25,9.291105,5.859155,3.941176,7.6171,6,16.11,5,7.521008,3.6,5.75,5.086957,9.29662,6.388489,3.5,14.85024,9.314285,8,6,21.91923,10.5989,7.766667,6.553333,6.943503,14.33871,3.9,5.767857,4,5.234234,4,7.280899,7.942779,4,3.775,4,4,5.275862,4.7,5.127517,4.097561,5.333333,6.330578,5.222222,7.716418,4.8,4,33.00891,37.28879,5.252427,5.984375,6.2,13.1,27.68671,4,5.136364,4,5.842105,6.291667,10.77684,3.5,5.920792,6.727273,4,14.45714,6.701492,4.627451,4,7.271605,6.079545,6.543478,5.547826,9.109091,7.86722,11.98616,7.675,12.3125,5.117647,5.15625,14.50949,5.284091,5.921568,5,5.066176,10.72921,5.021276,7.712644,4.272727,4.407407,4.829545,5.551724,5.133333,5.647799,6.800752,5.214286,4.25,6.855422,4.818182,4.735849,4,5.477612,6,6,5.975,5.157895,4.631579,5.4625,5.084746,5.740741,5.520833,7.546667,5.65625,11.46654,10.29501,4.485714,6.151515,5.215686,4.892857,8.32
2,5.090909,4,4,4.125,4,4,5.119048,7.543779,4.947369,6,6.924812,10.18235,10.80769,8.642336,10.2125,5.464789,3.333333,5.218182,4.950819,3.921053,4,3.875,7.176471,5.057971,3.777778,5,5.438356,4,10.5,5.359375,4.2,4,4,13.55658,5.571429,4.694445,4,4,3,4.057143,3,4,4,5.48,7.132911,6.644068,4,3.888889,3.5,4,4.928571,4,4,4.727273,3,4,4.345679,3.285714,5.095588,3.517241,4.888889,4,5.35849,6.152543,4,4.293478,8.372781,9.833333,4,6.489933,6.481013,4.468085,4,6.711712,4.571429,4.574074,3.354839,4,4,4,4.333333,4,4,5.494737,4.666667,12.8271,3.625,4,9.080863,5.478873,4,7.695167,4,16.345,5.76,7.277311,4,6.388889,4.586957,9.142678,6.251799,4,14.57005,9.282143,7.5,5.888889,22.05385,10.48352,7.966667,6.306667,7.531074,14.14919,3.9,5.732143,3.714286,5.288288,4,7.533708,8.059945,4,3.85,4.209302,3.470588,5.643678,5.05,5.315436,3.634146,5.575758,6.008265,5.055555,7.358209,4,4,32.5902,37.23707,5.194175,5.677083,6.12,13.02857,27.56224,4,4.927273,3.333333,5.736842,6.016667,10.64124,3.5,6.356436,6.727273,3,14.32698,6.492537,4.509804,3.25,7.5,6.272727,6.826087,5.217391,8.957576,7.356846,12,7.76875,12.43015,4.931373,4.71875,14.56013,4.761364,6.029412,4.039216,4.808824,10.8145,4.829787,7.804598,4,5.170371,5.056818,5.034483,5.022222,5.35849,6.759398,5,4.208333,6.738956,4.090909,5.245283,4.888889,5.074627,5.846154,6.5,5.875,4.877193,4.947369,4.9875,4.711864,4.962963,5.1875,8.186666,5.453125,11.4283,9.937094,4.8,5,5.284314,4.821429,8.12
3,5.690909,3.142857,4.6,4.583333,4,3.714286,4.666667,7.599078,4.368421,5,6.68421,9.929412,11.26923,8.087591,10.0375,5.338028,4,5.090909,5.770492,3.736842,3.0625,4,7.169117,4.927536,3.925926,5.8,5.164383,3.956522,10.71782,4.765625,4.52,4,4,13.58816,5.476191,4.638889,3.333333,3.3125,4.222222,4.5,3,3.5,4,5.194286,7.5,6.40678,3,4.222222,4,3,4,4,4,4.272727,4.714286,4.869565,4.358025,3.285714,5.308824,4,4.533333,4,5.226415,6.377119,4,4.304348,8.869823,9.755208,2.8125,6.416107,6.329114,4.744681,3.461539,7.009009,4.428571,4.574074,4,4,4.235294,3,5,3.9,3.761905,4.926316,4.333333,12.71028,3.375,4,9.185984,5.591549,4,7.721189,4.428571,16.21,5.92,7.226891,4,5.916667,4.565217,9.171464,6.625899,3,14.90338,9.517858,8,6.222222,21.80385,10.31868,8.866667,6.44,7.293785,13.67742,3.75,5.5,4,5.36937,4,7.606741,8.158038,4,3.4,4.139535,3.970588,5.494253,4.35,5.134228,4.170732,5.969697,6.421488,5.648148,6.835821,4,4,32.56347,36.76293,5.135922,6.109375,7.32,12.85714,27.66434,4,4.8,4,4.368421,5.691667,10.62429,4,6.485148,6.657342,3.5,14.4127,6.708955,4.254902,4,7.512346,6.136364,6.57971,5.295652,8.709091,7.829875,12.22491,7.60625,12.36397,5.04902,4.9375,14.40506,4.897727,5.823529,4.686275,4.897059,10.73348,4.93617,7.83908,4.090909,5.281481,4.943182,6,4.466667,5.383648,6.921052,5.071429,3.958333,6.811245,4.909091,4.377358,4.277778,4.781095,6.115385,7.5,6,4.754386,4.68421,5.9625,4.966102,4.37037,5.1875,7.88,5.28125,11.55067,10.29718,4.8,5.636364,4.872549,4.946429,9.12
4,5.818182,4,4.88,5.25,4,3.142857,5.142857,8.023042,5,5,6.225564,10.31765,11.58654,7.905109,9.9625,5.323944,3.333333,4.654545,5.262295,4.18421,3.875,3.875,6.875,5.130435,3.666667,5,5.150685,3.73913,10.68812,5.375,4.28,4,3,13.53421,5.492064,4.694445,3.666667,3.3125,3,4.4,3,3.333333,4,5.24,7.512658,6.542373,3,4,3.5,6,4.678571,3,4,3.545455,3.142857,4.043478,4.395061,3.285714,5.477941,4,4.666667,5,4.113207,6.381356,3.8,4.478261,8.751479,9.854167,3.6875,6.543624,6.974684,5.106383,4,7.09009,5,4.203704,3.774194,4,3.823529,4,4.333333,3,3.333333,4.894737,5,12.75234,3.625,4.75,9.037736,4.464789,2.529412,7.750929,5,16.26,5.44,7.579832,4,6.194445,4.695652,8.97622,6.280576,3.5,14.62319,9.396428,7.5,6.222222,21.45769,10.23077,7.533333,6.626667,6.949152,13.97177,3.2,4.928571,4,5.585586,4,7.808989,8.215259,4,3.875,3.651163,4,5.264368,5.25,5.201342,4.756098,5.242424,6.115703,4.944445,7.044776,4.6,4,32.82851,36.91379,5.019417,5.723958,6.96,13.31429,27.65454,3,4.827273,4,5.052631,6.325,10.28531,3.5,6.405941,6.769231,4,14.26032,6.783582,4.54902,4,7.185185,6.409091,6.702899,5.4,8.860606,7.514523,12.10035,7.73125,11.95221,5.039216,4.8125,14.5538,4.568182,6.04902,4.764706,5.426471,10.6226,4.702127,7.413793,4.045455,4.992593,4.806818,5.034483,5.111111,5.421384,6.932331,5,3.875,7.016064,4.545455,4.113207,4.111111,4.835821,5.346154,7,6.575,5.245614,5.157895,5.875,5.322034,4.851852,5.041667,7.3,5.75,11.65966,10.21041,4.771429,5.212121,5.058824,4.75,9.32
5,5.618182,4,5.6,4.75,4,3.142857,5.190476,7.230415,5.421052,4,7.157895,10.50588,10.86058,8.087591,10.09375,5.042253,4,5.090909,5.573771,3.710526,3,3.125,7.080883,5.173913,4.240741,5.4,5.328767,4,10.93564,5.1875,4.4,4,4,13.73026,5.079365,4.648148,3.666667,3.6875,4,4.371428,4,4,4,5.154286,7.620253,7.576271,3,4,4,4,4.607143,4,4,4.818182,2.428571,3.847826,4.222222,4,5.448529,3.931035,4.644444,4,5.35849,5.944915,4,4.326087,8.467456,10.11458,4.25,6.718121,6.962025,4.744681,3.461539,6.720721,5.714286,4.351852,3.225806,3.785714,4,4,5,3,4.238095,5.473684,4.666667,12.99065,3.625,4,9.490566,5.929577,4,7.687732,4,16.18,5.8,7.210084,3.7,5.611111,4.586957,9.046308,6.071942,3.5,14.82126,9.585714,9.5,5,21.75385,10.49451,8.133333,6.52,7.141243,14.50403,4,5.5,4,6.018018,4,7.202247,8.384196,4,3.65,4.046512,3.941176,5.356322,4.8,5.302013,4.121951,5.545455,6.446281,5.333333,7.074627,4,2.952381,33.02895,36.97845,5.398058,5.958333,6.88,13.47143,27.33566,3,5.054545,3.666667,4.578948,5.383333,10.5113,4,6.138614,6.902098,3,14.31111,6.559701,4.823529,4,7.493827,5.704545,6.782609,5.347826,8.703031,7.3361,11.9135,7.3625,12.36765,4.882353,5.15625,14.35127,4.863636,6.068627,4.941176,5.316176,10.81663,4.638298,7.551724,4,4.451852,4.784091,4.689655,4.733333,5.484277,7.082707,5,3.875,6.919679,4.181818,4.245283,4.388889,4.661692,5.923077,6,5.825,4.631579,4.736842,5.225,4.661017,4.814815,5.020833,7.54,5.515625,11.47801,10.48156,4.742857,4.969697,5.147059,4.732143,9.48
6,5.709091,4,4.68,4.875,3.666667,4,5.333333,7.543779,4.68421,6,6.932331,10.04118,11.28365,8.248176,9.86875,5.661972,3.666667,5.163636,4.983606,3.657895,4,3.6875,7.397059,5.231884,3.833333,4.2,5.082192,4,10.89109,5.140625,4.16,4,4,13.52763,4.920635,4.694445,4,4.1875,3,4.1,4,4,4,4.965714,7.56962,6.949152,2,4.148148,3,4,4.642857,3,3.555556,4.727273,3.142857,4,4.234568,3.285714,5.477941,3,4.377778,4,4.490566,6.538136,4,4.532609,8.87574,9.973958,4,6.348993,6.468354,4.851064,4,7.171171,5.714286,4.296296,3.83871,3.785714,4,4,4.333333,3.4,4,4.663158,5,12.63551,4,4,9.493261,5.830986,4,7.654275,5.428571,16.1,5,7.294117,3.6,6.611111,4.673913,9.04756,6.359712,4.227273,14.51208,8.992857,8.5,5.666667,21.86923,10.69231,7.733333,6.733333,7.677966,14.21371,4,5.107143,4,5.351351,4,7.292135,8.076294,4,3.25,4.069767,3.529412,5.091954,4.95,5.322148,4,5.469697,5.652893,5.555555,6.925373,5,3,32.96882,37.46121,5.864078,6.067708,7.04,13.68571,27.49231,4,5.245454,4,4.947369,5.525,10.93503,4,6.217822,6.797203,4,14.6127,6.649254,4.254902,4,7.444445,6.488636,6.652174,5.634783,9.175757,7.340249,12.48097,7.2,12.40441,5.088235,4.296875,14.29747,4.613636,5.911765,4.803922,5.455883,11.02559,4.978724,7.425287,4,5.281481,4.818182,5.551724,4.777778,5.377358,6.838346,5,4.75,6.855422,4.727273,4.45283,4.166667,4.80597,6.384615,5,5.3,5.087719,5.789474,5.875,4.627119,4.62963,5.645833,7.26,5.359375,11.5392,10.3167,4.628572,4.969697,4.852941,4.642857,9.08
7,5.254546,3.571429,4.88,5,3.666667,3.714286,5.190476,7.921659,5,6,6.864662,10.07647,11.09135,8.430657,10.30625,5.704226,4.333333,5.327273,5.180328,3.894737,4,4,7.433824,5.376812,3.777778,5,5.150685,4,10.77723,5.453125,4.04,4,4,13.43947,5.063492,4.537037,3.333333,3,3.555556,4.357143,4,3.166667,3.7,5.051429,7.594937,6.932203,4,3.703704,3.5,3,4.571429,4,4,3.636364,3,3.76087,4.234568,3,5.316176,3,4.111111,4,5.603774,5.588983,4,4.847826,8.698225,10.08854,4,6.610738,6.43038,5.425532,3.846154,6.576577,5.714286,4.296296,3.225806,3,4,3,4.666667,3.9,4.190476,4.621053,4.666667,12.79907,3.625,5,9.283019,5.732394,3.882353,7.773234,5,15.85,6.16,7.168067,3,6.666667,4.76087,9.072591,6.021583,3.5,14.46377,9.310715,9,6.888889,21.66923,10.57692,7.333333,6.313334,7.039548,14.72177,4,5.446429,3,5.603604,4,7.511236,8.111716,3.333333,4,4.232558,3.941176,5.091954,4.6,5.154362,4.073171,5.484848,6.107438,5.518518,7,4.4,3.476191,32.75724,37.10345,5.76699,5.765625,6,13.21429,27.62518,4,4.7,3.333333,4.947369,5.433333,10.51412,3.5,6.495049,6.447553,4,14.50794,6.850746,4.254902,3.5,7.487654,5.863636,6.971014,5.356522,8.993939,7.327801,11.97578,7.6125,12.44853,5.264706,4.890625,14.54114,4.761364,6.313725,4.666667,5.404412,10.90192,4.680851,7.735632,4,5.503704,5.034091,5.551724,4.688889,5.283019,7.033834,5.285714,4.625,6.935743,3.909091,4.45283,4.5,4.915423,5.692307,6.5,5.7,5.052631,5.368421,5.3125,4.805085,5.444445,5.395833,7.446667,6.40625,11.6979,10.11063,5.171429,4.848485,5.04902,4.732143,9.92
8,5.545455,4,5.48,4.291667,3,3.571429,5.071429,7.608295,5.68421,6,6.654135,9.982353,10.94231,8.328467,9.94375,5.422535,4,5.345455,5.131147,3.631579,2.4375,3.875,7.022059,4.898551,4.259259,5.2,5.082192,4,10.67822,4.53125,4.56,4,4,13.58684,4.936508,4.472222,3.666667,4.3125,4,4.142857,3,4,4,4.885714,7.253165,6.677966,3,4,3.5,6,4.535714,3,4,4.454545,3.571429,4.130435,4.950617,4,4.875,4,4.533333,4,4.264151,6.152543,4.1,4.815217,8.87574,10.10417,4,6.872483,6.265823,5.12766,3.461539,7.216216,5.285714,4.166667,3.935484,4,3.529412,3,5.666667,4,4.476191,4.905263,4.333333,12.54673,4,4,9.250674,5.056338,4,8.092937,5.714286,16.24,5.84,8.008404,3.9,6.194445,4.586957,9.107635,6.172662,4,14.65217,9.378572,9,7.111111,21.98462,10.62088,7.8,6.44,7.457627,14.31048,4,5.589286,4,5.504505,4,7.08427,8.059945,4,3.95,3.906977,3.470588,5.563219,4.9,5.201342,4.146341,5.045455,6.380165,5.166667,7.358209,4,4,32.98664,37.65948,5.796116,5.817708,7.36,13.14286,27.66993,2,4.863636,4,4.947369,5.733333,10.75141,3,5.940594,6.559441,4,14.47619,6.552239,4.529412,4,7.728395,5.875,7.021739,5.4,9.133333,7.688797,12.02076,7.50625,12.23162,4.990196,5.296875,14.51899,5.25,6.215686,5,5.279412,10.58422,4.893617,7.83908,3.681818,4.940741,4.613636,4.689655,4.933333,5.396226,6.714286,5,3.875,6.931727,4,4.45283,4,4.308458,6,6,4.975,4.929824,5.473684,5.2875,4.889831,5.555555,5.541667,7.193333,5.8125,11.56788,10.39262,4.514286,4.969697,5.352941,4.464286,9.08
9,4.309091,4.285714,5.2,4.875,3.333333,4.142857,5.380952,7.336406,4.947369,5,6.518797,10.41177,11.35096,8.167883,10.05,5.577465,3.333333,5.527273,4.770492,3.342105,3,3.9375,6.845588,5.217391,3.87037,5.4,5.931507,4,10.89604,5.265625,4.04,4,4,13.69079,4.936508,4.268518,4,3.375,3.444444,4.328571,4,4,4,5.114286,7.455696,7,3,4.111111,3.5,5,4.178571,3,4,4,2.857143,4,4.691358,4,4.992647,3.517241,4.577778,4,4.396226,6.18644,4,4.25,8.615385,9.651042,4,6.651007,6.64557,4.531915,4,6.603604,6.714286,4.203704,3.709677,3.428571,4,3,4,3,3.952381,4.894737,4,12.76168,3.625,4,8.924528,5.309859,4,7.944238,5,16.35,5.52,7.02521,2.6,6.166667,4.434783,8.986233,6.57554,3.5,14.66667,9.228572,9,4.777778,21.93846,10.2967,7.9,6.18,7.180791,14.51613,4,5.392857,4,5.54955,4,7.370787,8.111716,3.666667,3.825,4.186047,4.029412,5.287356,5.35,5.322148,4.146341,5.151515,6.115703,5.62963,7.238806,4,3,32.47439,36.72845,5.145631,5.6875,7.12,13.11429,27.47832,3,4.809091,3.666667,4.68421,5.525,10.63559,3.5,5.930693,6.741259,3,14.63175,6.223881,4.647059,4,7.580247,6.159091,6.942029,5.634783,9.254545,7.630705,11.98962,7.56875,12.39706,4.941176,5.109375,14.27848,5.204545,6.45098,4.686275,4.985294,10.99147,4.829787,7.632184,4,5.244444,4.795455,5.551724,4.466667,5.106918,6.924812,5,4.5,6.626506,4.545455,4.830189,4.833333,4.562189,6,6,5.45,4.754386,5.68421,5.9625,4.567797,4.444445,5.625,7.133333,5.296875,11.69981,10.21692,5.028572,4.636364,5,4.785714,9.6
