Frame,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63,ROI64,ROI65,ROI66,ROI67,ROI68,ROI69,ROI70,ROI71,ROI72,ROI73,ROI74,ROI75,ROI76,ROI77,ROI78,ROI79,ROI80,ROI81,ROI82,ROI83,ROI84,ROI85,ROI86,ROI87,ROI88,ROI89,ROI90,ROI91,ROI92,ROI93,ROI94,ROI95,ROI96,ROI97,ROI98,ROI99,ROI100,ROI101,ROI102,ROI103,ROI104,ROI105,ROI106,ROI107,ROI108,ROI109,ROI110,ROI111,ROI112,ROI113,ROI114,ROI115,ROI116,ROI117,ROI118,ROI119,ROI120,ROI121,ROI122,ROI123,ROI124,ROI125,ROI126,ROI127,ROI128,ROI129,ROI130,ROI131,ROI132,ROI133,ROI134,ROI135,ROI136,ROI137,ROI138,ROI139,ROI140,ROI141,ROI142,ROI143,ROI144,ROI145,ROI146,ROI147,ROI148,ROI149,ROI150,ROI151,ROI152,ROI153,ROI154,ROI155,ROI156,ROI157,ROI158,ROI159,ROI160,ROI161,ROI162,ROI163,ROI164,ROI165,ROI166,ROI167,ROI168,ROI169,ROI170,ROI171,ROI172,ROI173,ROI174,ROI175,ROI176,ROI177,ROI178,ROI179,ROI180,ROI181,ROI182,ROI183,ROI184,ROI185,ROI186,ROI187,ROI188,ROI189,ROI190,ROI191,ROI192,ROI193,ROI194,ROI195,ROI196,ROI197,ROI198,ROI199,ROI200,ROI201,ROI202,ROI203,ROI204,ROI205,ROI206,ROI207,ROI208,ROI209,ROI210,ROI211,ROI212,ROI213,ROI214,ROI215,ROI216,ROI217,ROI218,ROI219,ROI220
0,8.8,7.5,7,8.111111,7.65641,7,7.2,6.160714,7.801724,9.809524,9.423358,10.23684,7.513514,7,7.284153,9.407317,7.444445,7.186047,8.309091,7.266667,9.2,5.85,8.647058,9.526316,8.093023,8.472973,7.218391,8.111111,5.643564,8.463414,8.217391,7.31356,7.548387,7.947369,6.725275,8.066667,7.454545,5.972222,9.041667,8.333333,9.755245,7.810241,7.871795,9.517241,8.820339,8.5,8.938775,6.064103,11.85933,9.089068,8.895833,8.264516,9.379311,9.327586,7.768116,10,8.419753,9.043825,9.777778,7,8,7.5,7.9875,11.26531,11.59827,10.17241,5.933333,11.14423,9.711712,9.756098,9.857142,8.111111,8.733334,8.435484,8.818182,9.801105,9.727749,8.357142,10.36028,8.215517,7,10.53755,9.447369,6.666667,8.140625,9.269841,9.266666,10.45882,7.705883,8.511905,7.523809,7.930818,6,8.636364,7.615385,8.732674,7.174603,8.142858,8.8,8.018867,7.138889,8.965278,9.821086,8.275721,7.725275,8.834863,8.460784,9.25,6.75,7.5,7.949367,8.057143,7,8.595238,6.459459,8.125,8.426036,7.755102,9.25,8.385185,7.833333,10.65517,8.314607,8.811966,5.81356,7.65,8.940909,10.00847,7.882353,8.149322,8.897959,8.333333,9.185185,8.328125,9.709459,8,9.5,9.057971,9.6276,13.52254,7,8,9.656109,9.08,10.50605,9.540146,8.459017,11.1,9.356164,9.430622,10.71144,9.827586,7,9.801724,8.654546,9.167786,7.663043,8.337838,8.175439,7.5,8,7.642857,31.17143,6,7.59375,8.555555,8.078947,9.514124,8.933333,9.759346,10.45785,6.2,9.615385,8.92,8.6,7.826087,8.107142,7.195122,8.75,9.030303,9.5502,8.16279,8.161904,7.125,6.25,11.39688,29.23098,9.658416,8.80303,9.166667,8.663043,8.305555,8.443902,8.619047,8.2125,8.666667,8.1,7,8.561644,10.8,7.157895,7.333333,10.5,6.833333,7.5,8,7.652174,8.673913,8.242424,8.571428,9.671329,9.08,8.230769,9.342857,8.151515,10,7.333333,8.095238,9.073171,8.277778,9.9
1,7.8,6.25,4.5,8.777778,7.338461,6,6,5.839286,8.112069,8.666667,9.335767,9.894737,7.864865,7,6.961749,9.582927,6.444445,7.209302,7.736363,5.2,8.6,7.05,8.398693,10.10526,6.953488,7.716216,6.298851,8,5.792079,7.95122,7,7.271186,7.903226,7,6.230769,8,8.181818,5.916667,8.3125,7.333333,9.811189,7.400602,7.666667,8.310345,8.237288,8.642858,7.571429,5.525641,11.78005,8.882591,9.041667,8.251613,9.217241,8.775862,6.971014,12.4,7.851852,9.163346,10.44444,8.5,8,6.388889,7.35,9.653061,11.61561,9.793103,7.133333,11.23077,9.621622,8.743902,9.485714,7.5,8.2,7.83871,8.954545,9.243093,9.078534,7.428571,10.50808,7.172414,6.6,9.992095,8.842105,5,7.453125,8.68254,9.333333,10,7.455883,8.857142,6.968254,7.125786,5.5,8,6.307693,9.069307,5.746032,9.571428,6.4,8.396227,6.833333,9.201389,10.14377,8.255144,7.428571,7.844037,8.269608,5.5,6,7,7.177215,5.771429,7.105263,7.797619,6.162162,7.96875,8.591716,7.867347,9.28125,7.851852,6.851852,9.711206,8.853932,8.666667,5.525424,6.15,9.063637,9.598305,6.705883,8,8.530612,6.416667,8.962963,7.484375,8.790541,6,6,8.576087,9.304348,13.48414,6.965909,7.424242,8.995475,9.56,10.40678,9.372263,7.918033,9.6,8.732877,9.220096,9.751244,8.793103,8,9.74138,8.327272,9.409396,7.043478,7.554054,7.245614,6.333333,7.333333,6.571429,31.74286,6,7.34375,8.259259,7.657895,9.338983,8.777778,9.586449,10.43802,6,8.538462,8.696,9.6,7.891304,6.964286,6.487805,7.875,9.363636,9.630522,8.534883,7.180953,6.75,6.375,11.35938,29.38043,9.252475,8.984848,8.666667,7.945652,7.916667,8.22439,7.928571,8.5125,7,7.9,6.633333,8.493151,10.26667,6.543859,5.939394,8.5,7.125,7.5,5.25,6.391304,8.054348,7.858586,8.142858,9.703962,8.8,7,7.6,8.30303,7,7,7.928571,9.365853,9.722222,9.5
2,9.8,7.5,4,7.666667,7.625641,8.5,5,5.892857,8.181034,8.666667,9.905109,10.21053,7.324324,10,6.814208,9.668293,6.488889,7.186047,8.018182,7.2,8.2,5.85,8.581699,10.36842,8.023255,7.716216,6.149426,6.555555,6.009901,7.121951,6.347826,7.898305,7.741935,6.578948,6.714286,6.866667,7.454545,4.888889,8.916667,7,9.293706,7.581326,6.769231,8.034483,8.376271,7.428571,7.551021,5.192307,11.23018,8.910932,8.458333,7.935484,9.296552,8.275862,7.318841,9.2,7.444445,9.59761,10.33333,7.25,5,6.777778,7,9.959184,11.5578,10.06897,6.533333,10.87981,9.531531,8.817073,9.834286,8.388889,9.466666,7.435484,7.636364,9.320442,9.361257,8.714286,10.26559,7.362069,8,10.35573,9.131579,4.666667,7.046875,8.698413,10,10.18431,7.941176,9.071428,7.682539,7.213837,5.5,8.545455,7.153846,8.722773,6.142857,8.857142,6.2,8.339622,6.611111,9.3125,9.70607,8.144032,7.527472,8.100918,7.985294,6,5.5,7,7.518987,5.914286,6,7.392857,6.135135,7.90625,8.526628,7.071429,9.135417,7.318519,6.833333,9.982759,8.606742,8.709402,5.559322,6,8.468182,9.767797,6.470588,8.040724,8.77551,7.25,10.18519,7.1875,8.72973,5.25,7,8.905797,9.440454,13.53589,7.125,7.454545,9.298642,9.16,10.72397,8.437956,7.557377,9.9,9.034246,9.248804,9.940298,8.586206,8,9.551724,7.690909,9.14094,7.826087,7.918919,7.175438,5.166667,7.833333,6.428571,31.00571,5,7.28125,8.537037,8.236842,9.158192,7.711111,9.745327,10.89752,5.2,8.076923,9.024,7.8,8.173913,6.392857,6.02439,7.5,9.454545,9.562249,8.395349,7.009524,7.4375,6.75,11.09375,29.66848,9.138614,8.909091,8.5,7.673913,7.416667,8.658537,7.630952,7.925,8.333333,7.8,6.483333,9.027397,10.26667,7.631579,6.939394,9,7.166667,7.181818,8,7,7.880435,7.515152,8.2,9.913753,8.08,8.192307,7.914286,6.818182,8,6,9.214286,8.634147,8.055555,10.3
3,8.4,7.5,3.5,6.555555,7.438461,7.5,5,5.625,7.827586,8,9.562044,11.07895,7.621622,6.5,6.825137,9.629269,6.155556,7.046512,7.836364,6.266667,8,5.75,7.797386,9.578947,7.953488,8.121622,5.83908,8.222222,5.930693,7.121951,7.391304,6.872881,6.774194,5.894737,5.89011,6.866667,7.454545,5.777778,8.125,8.133333,9.587413,7.518072,7,8.482759,8.461017,7.714286,7.469388,5.282051,11.61125,9.19838,8.270833,7.825807,9.317242,8.396552,6.594203,10,8.209877,9.410358,10.11111,8,6,6,6.975,10.12245,11.26012,9.75862,6.733333,10.64904,10.03604,8.963414,9.422857,8.222222,8.6,7.064516,8.727273,9.618785,9.439791,9.357142,10.22864,7.37931,6.4,9.98419,8.236842,5.333333,7.53125,8.793651,10.33333,9.568627,7.544117,8.428572,6.634921,7.301887,6,7.363636,6.192307,8.70627,6.15873,8.142858,6.6,7.603774,7.027778,9.048611,9.785942,8.061728,7.340659,8.449541,7.965686,9.25,7,7.75,7.189873,5.914286,6,8.119047,5.918919,7.1875,8.278107,7.581633,9.151042,7.348148,6.259259,9.327586,7.696629,8.717949,5.474576,5.6,8.559091,9.661017,6.764706,8.009049,8.836735,6.5,9.814815,7.125,9.304054,6,6,8.471014,9.304348,13.38397,6.431818,7.121212,9.298642,9.36,10.36562,8.773723,7.557377,9.1,8.616438,9.220096,10.0796,8.844828,6,9.379311,8.781818,9.275167,7.054348,8.5,7.649123,6,6,6,30.91809,6,7.1875,8.185185,7.421052,8.559322,8.422222,9.649532,11.02149,5.6,8,8.592,9.2,8.195652,7.321429,6.219512,6.375,9.454545,9.381526,8.197675,7.209524,8,6.25,11.21875,29.27446,8.861386,8.651515,8,7.608696,8.694445,8.351219,8.047619,8.6875,7.333333,7.9,6.7,8.20548,11,6.947369,7.090909,6.666667,7.416667,6.863636,6,6.826087,7.706522,7.69697,8.228572,9.820513,9.12,8.192307,8.314285,7.636364,9,7.833333,7.476191,7.439024,7.333333,10.2
4,8.4,7.375,4,7.777778,7.402564,7.5,5.2,5.660714,7.87069,8.523809,9.956204,9.947369,7.675676,6,7.147541,9.580488,6.422222,6.72093,8.036364,6.733333,7.7,6.5,7.751634,9.210526,7.046512,7.837838,6.08046,7,5.544554,7,6.347826,6.923729,7.193548,6.105263,6.021978,7.133333,7.727273,5.333333,8.770833,7.066667,9.300699,7.521084,6.923077,8.517241,8.074576,7.571429,7.530612,5,11.39642,8.870445,8.395833,7.767742,9.265517,8.482759,6.550725,8.4,8.098765,9.50996,8,7.5,7,6.166667,7.425,9.734694,11.32659,8.862069,6.533333,10.96635,10.2973,9.256098,9.497143,7.388889,8.266666,7.225806,7.454545,9.342542,9.575916,7.642857,10.2194,7.474138,6.8,10.25692,8.157895,6.333333,6.421875,8.126985,8.733334,9.815686,7.117647,8.369047,6.809524,7.490566,7,8.727273,6.230769,9.023103,6.365079,8.714286,5,7.707547,6.805555,9.638889,10.03195,8.246914,7.351648,7.972477,8.014706,7,6,7,7.379747,6.657143,7.105263,7.238095,5.675676,6.84375,8.715977,7.602041,8.833333,7.385185,6.777778,9.655172,8.786517,8.51282,5.389831,5,8.345454,9.361017,6,8.253394,7.77551,6.5,8.814815,7.6875,9.087838,6,6,8.768116,9.119093,13.38731,6.954545,6.333333,9.190045,8.56,10.16707,8.759124,7.114754,11.6,8.780822,8.842105,9.945273,9.275862,9,9.146552,8.090909,9.006711,7.554348,8.054054,7.491228,6.333333,7.666667,6.714286,30.8,4.666667,7.0625,8.722222,7.539474,9,7.755556,9.799066,10.4876,5,8.153846,8.976,8.6,8.326087,7.642857,6.04878,7.5,9.393939,9.261045,8.244186,7.07619,7.1875,6.375,11.31875,29.42391,8.559406,8.909091,8.333333,7.945652,8.166667,8.239024,7.654762,8.525,6.333333,7.4,6.083333,7.753425,9.6,6.842105,6.242424,10.16667,7.708333,7.318182,5.75,7.521739,8.304348,7.181818,8.571428,10.01632,8.12,7.807693,7.685714,8.242424,7,6.25,8.571428,8.243902,6.722222,9.3
5,6.8,5.75,4,7.444445,7.076923,7,6,5.5,8.043103,8,9.773723,9.552631,7.594594,7,6.530055,9.165854,6.422222,7.604651,7.672727,6.733333,8.5,6.45,8.431373,9.052631,7.697674,8.527027,5.873563,7.333333,5.722772,6.804878,7.043478,6.847457,7.354839,7.473684,5.835165,7.4,8.636364,5.416667,8.020833,8.6,9.083916,7.551205,6.769231,8,8.230509,8.357142,8.040816,5.025641,11.38363,8.842105,9.020833,7.993548,9.210345,7.603448,7.086957,10.8,8.049383,9.796813,8.888889,8,7,7.111111,6.8875,9.387755,11.39884,9.206897,6.866667,10.22115,9.243243,8.52439,9.268572,8.222222,8.4,7.225806,8.363636,9.011049,9.397905,8.214286,9.799076,7.215517,7,9.715415,9.026316,7,7.703125,7.952381,8.133333,9.768627,7.073529,8.630953,7.84127,7.144654,5.5,7.545455,6.076923,8.861386,6.253968,7.642857,5.6,7.45283,6.611111,9.236111,10.31949,8.057613,7.054945,7.880734,7.769608,6.5,6.75,7,6.78481,5.971428,6.105263,7.714286,5.189189,7.40625,8.307693,8.306123,8.484375,7.251852,7.12963,8.922414,7.966292,8.777778,5.508474,6.1,7.977273,9.4,5.764706,7.954751,8.979591,6,9.037037,7.53125,9.162162,6,7,8.82971,8.916824,13.25042,7.045455,7.242424,9.085973,9.4,9.992736,8.481751,7.901639,9.4,7.958904,8.818182,9.900497,8.344828,7,8.564655,7.981818,9.040269,6.923913,8.297297,6.736842,7.833333,7.5,6.857143,30.14095,5,6.15625,7.907407,7.81579,8.819209,7.777778,9.21028,10.60661,5,8.692307,8.488,8,8.173913,6.75,6.682927,8.375,9.212121,9.742971,8.453488,7.752381,7.9375,5.625,11.21562,29.50272,8.742575,8.227273,9.666667,6.923913,7.472222,8.034146,7.428571,8.5625,7.333333,7.1,6.383333,7.452055,9.466666,6.31579,6.212121,7.5,7.375,7.045455,6.25,7.043478,7.51087,7.323232,9.028571,9.552447,9.12,7.846154,8.142858,7.212121,8,7.333333,8.166667,7.731707,7.111111,8.3
6,7.8,7.75,4,6.222222,7.202564,7,6,5.357143,7.818965,8.095238,9.350365,9.131579,6.918919,7,6.923497,9.387805,6.666667,6.488372,7.745454,6,8.6,6.95,8.019608,10.10526,8.093023,7.391892,6.022988,7.666667,5.732673,6.682927,6.521739,6.711864,6.548387,7.105263,6.054945,7.333333,7.818182,5.944445,8.208333,7,8.573426,7.177711,6.307693,7.310345,7.861017,7.071429,7.979592,5.25641,10.93862,8.882591,8.0625,8.083871,8.831035,8.189655,6.521739,10.4,7.432099,9.390438,7.888889,8.25,6,6.055555,6.625,9.367347,10.95954,9.310345,5.533333,10.02885,9.486486,8.414634,8.622857,8.444445,7.266667,6.967742,7.454545,8.685082,9.513089,8,10.02079,8.293103,7.6,9.450593,8.105263,7,6.78125,8.063492,8.533334,9.835294,6.514706,8.357142,6.285714,7.226415,6.5,6.454545,7.307693,8.283829,5.936508,9.071428,5.6,7.679245,6.5,8.979167,9.884984,7.390946,6.703297,8.119267,8.220589,6,7.25,7,6.797468,5.942857,6.631579,7.452381,5.702703,6.90625,8.094674,7.948979,8.911458,7.474074,7.037037,8.913794,8.775281,7.982906,5.016949,6.1,8.522727,9.098305,5.647059,7.61086,7.979592,5.333333,8.407408,8.046875,9.101352,5,6,8.916667,9.090737,13.07679,6.454545,7.515152,8.886878,8.72,9.728813,9.021898,7.950819,8.1,7.904109,8.645933,9.61194,8.120689,7,8.387931,7.509091,8.516779,6.858696,7.824324,7.263158,5.333333,6.333333,7,29.76952,6,6.28125,8.259259,7.736842,8.615819,7.622222,9.205607,10.46116,5,7.461538,8.456,7.8,7.73913,7.035714,6.439024,7.375,9.242424,9.216867,8.33721,7.619048,7.1875,6.75,11.14063,28.86957,8.059406,8.106061,9.833333,7.565217,7.333333,8.512196,7.464286,8.375,7.333333,7.7,6.65,8.30137,9.733334,6.438597,6.363636,7.333333,7.166667,7.272727,7,7.304348,7.217391,7.727273,8.028571,9.547786,7.88,7.846154,8.114285,7.090909,9,6,8.357142,7.536585,6.5,10.7
7,5.6,5.625,4,7.444445,6.894872,6.5,6,5.892857,7.681035,7.428571,9.452555,10.10526,7.783784,8.5,6.360656,9.160975,6.666667,7.441861,7.581818,6.6,9.6,6.4,8.124183,8.894737,7.348837,7.878378,6.091954,6,5.960396,7.04878,6.826087,6.644068,7.483871,8.684211,5.582417,6.266667,7.636364,5.138889,7.729167,6.4,8.706294,7.304217,6.769231,7.551724,7.867796,7.5,7.163265,5.179487,10.8133,8.935223,7.8125,7.490323,8.682758,7.982759,6.753623,7.6,7.283951,8.888446,9.222222,9.25,9,5.388889,7.0375,9.122449,10.62428,8.965517,5,9.908654,8.693694,8.231708,8.577143,7.722222,8.066667,6.258065,7.727273,8.674033,9.183246,7.357143,10.07852,6.793103,7.8,8.588933,8.315789,5,6.328125,7.222222,9.066667,9.678432,6.514706,8.107142,7.079365,7.710692,5,8.090909,7.115385,7.844884,6.079365,8.428572,7,7.575472,6.638889,8.354167,9.591054,7.382716,7,7.80734,7.931373,6.25,6.75,5.75,6.987342,5.971428,6.210526,8.107142,5,6.8125,7.911242,6.928571,8.494792,6.466667,6.981482,8.581897,7.977528,8.40171,5.18644,5,7.918182,8.883051,5.235294,7.705883,8.32653,6,7.592593,8.0625,8.952703,5,7,8.547101,8.720227,12.92488,6.306818,6.484848,8.660633,8.04,9.828087,8.744526,7.540984,9.2,8.246575,8.899522,8.815921,7.293103,6,7.693965,7.927273,8.778523,6.945652,7.635135,7.140351,4.833333,6.666667,6.714286,29.5619,6,6.1875,8.351851,7.894737,9.593221,7.977778,8.528037,10.41984,5.4,8,8.216,7.8,8.217391,6.892857,6.268293,8.25,8.242424,9.224899,8.104651,7.2,7.25,7.25,10.74687,29.1875,7.851485,7.848485,8.166667,7.173913,8,8.165854,7.202381,8.6125,6.666667,6.4,6.383333,7.60274,11.73333,6.789474,6.181818,7.666667,5.791667,8.045455,6,6.043478,7.326087,7.929293,7.942857,9.177156,7.52,7.384615,7.971428,7,8,7.333333,7.380952,7.634146,7.055555,8.9
8,7.2,7,3.5,6.222222,6.9,7,5.6,5.142857,7.491379,7.142857,9.357664,9.763158,6.702703,6.5,6.065574,9.009756,6.2,6.162791,6.809091,7.733333,9,5.9,7.712418,9.736842,7.069767,7.675676,5.126437,5.444445,6.039604,6.585366,6.086957,6.31356,6.741935,7.894737,5.43956,6.666667,7.545455,4.888889,7.458333,6.533333,7.734266,6.966867,6.589744,7.586207,7.620339,8.285714,7.081633,5.294872,10.30179,7.829959,7.333333,7.677419,8.234483,7,5.884058,8.2,8.160494,8.601594,9.666667,8.25,6,6.222222,6.725,9.22449,10.07514,9,5.933333,9.057693,8.495496,8.036586,8.308572,6.166667,7,6.435484,8.545455,8.044199,8.649215,7.285714,8.886836,6.491379,7,7.948617,8.342105,4.333333,6.3125,7.079365,7.866667,8.905882,6.5,7.464286,6.15873,7.08805,6,5.818182,5.923077,7.435644,5.412698,6.571429,6.6,7.179245,5.777778,8.395833,9.29393,7.497942,6.615385,7.422019,7.431373,6,5.5,6,6.468354,5.628572,6.631579,7.5,4.918919,6.75,8,6.765306,8.328125,7.014815,6.537037,7.99569,7.325843,7.615385,4.271186,5,7.445455,8.447457,5.588235,7.457014,8.142858,4.833333,8.222222,7.09375,8.135135,5,6,8.043478,8.274102,12.76795,6.045455,6.424242,8.972851,7.04,8.72155,8.182482,7.245902,8.4,7.184931,8.995215,7.800995,7.275862,8,7.534483,7.327273,8.04698,6.619565,7.324324,6.859649,5,7.166667,6,29.19619,5.333333,5.75,8.333333,6.868421,9.367231,7.044445,8.114486,10.07934,4,7.692307,7.648,8.8,7.869565,6.785714,5.682927,7.875,7.757576,8.610442,7.790698,7.019048,7.1875,5.25,10.50313,28.79348,7.386138,7.969697,8.666667,6.913043,7.416667,8.370731,7.595238,8,6.333333,7.5,6.066667,7.739726,12,6.421052,6.69697,8,6.666667,6,5,6.608696,6.934783,7.565657,7.142857,9.240093,7.28,7.923077,7.514286,6.121212,9,6.75,7.452381,6.609756,6.833333,10.2
9,7.6,5.5,4,5.444445,6.748718,5,5,5.928571,6.775862,7.047619,8.60584,7.68421,6.594594,5,6.10929,8.421951,5.8,6.232558,7.045455,5.6,9.3,5,7.633987,7.210526,6.395349,7.027027,5.597701,6.333333,5.267327,6.097561,6.347826,6.584746,6.225806,7.210526,5.494505,5.666667,5.545455,4,7.0625,6.4,8.111888,6.406627,5.820513,6.758621,7.084746,6.714286,6.653061,5.282051,10.07161,7.364372,7.354167,7.283871,7.72069,6.913793,7.072464,7.4,7.222222,7.860558,9,7.25,5,5,7.075,8,9.476878,7.655172,6,8.346154,7.954955,7.073171,7.748571,6.611111,6.466667,5.774194,7.727273,7.955801,7.528796,5.928571,8.214781,6.646552,5.4,7.245059,7.5,5.666667,6.375,6.698413,7.866667,8.101961,5.573529,6.738095,5.936508,7.125786,5,6.727273,5.115385,6.745874,5.015873,7.785714,5,6.773585,5.222222,7.652778,8.661342,7.012346,6.307693,6.770642,7.034314,6.25,5,6.25,5.962025,5.485714,5.052631,7.440476,5.135135,6.6875,7.905325,6.72449,7.494792,6.451852,5.962963,7.681035,7.179775,7.102564,4.18644,4.25,6.695455,7.715254,4.117647,7.429864,8.612245,5,7.592593,6.546875,7.344594,4.75,5,7.492754,7.928166,12.53756,6.125,5.333333,8.416289,7.24,8.130751,8.109489,7.803279,8.9,7.938356,8.961722,7.587065,7.017241,8,7.008621,8.072727,8.302013,6.108696,7.364865,6.666667,5.333333,7.5,5.571429,29.08381,5.666667,5.09375,7.574074,7.118421,8.830508,7.044445,7.628505,9.522314,4,7.153846,7.528,6.6,7.413043,6.964286,4.707317,6.125,7.30303,8.718876,8.174418,6.67619,5.875,5.25,10.27188,29,7.059406,8.136364,7.833333,6.532609,7.305555,7.912195,7.464286,7.5,5.666667,7.1,6.116667,7.150685,8.466666,6.333333,6.090909,9,6.125,6.636364,6.25,6,6.521739,7.222222,7.342857,8.729604,7.44,7.653846,7.371428,6,8,6.333333,8.023809,6.804878,7.111111,8.3
