"","RFLU","sample","plate","well","time"
"1",29314.3333333333,"Epi_0.5",1,"B01",48
"2",53215.3333333333,"Mito_0.1",1,"B02",48
"3",50557.3333333333,"Veh_0.01",1,"B03",48
"4",21605.3333333333,"Epi_05",1,"B04",48
"5",39796.3333333333,"Veh_10",1,"B05",48
"6",47736.3333333333,"Mito_0.5",1,"B06",48
"7",40847.3333333333,"Daun_01",1,"B07",48
"8",50494.3333333333,"Tras_05",1,"B08",48
"9",36711.3333333333,"Doxo_0.5",1,"B09",48
"10",3976.33333333333,"Daun_05",1,"B10",48
"11",48644.3333333333,"Mito_0.05",1,"B11",48
"12",41612.3333333333,"Tras_10",1,"B12",48
"13",711.333333333334,"Doxo_50",1,"C01",48
"14",3067.33333333333,"Daun_05",1,"C02",48
"15",54974.3333333333,"Epi_0.05",1,"C03",48
"16",55939.3333333333,"Veh_0.05",1,"C04",48
"17",-604.666666666666,"Mito_50",1,"C05",48
"18",56087.3333333333,"Empty Blank",1,"C06",48
"19",55007.3333333333,"Empty Blank",1,"C07",48
"20",59601.3333333333,"Veh_10",1,"C08",48
"21",20661.3333333333,"Epi_10",1,"C09",48
"22",-697.666666666666,"Mito_50",1,"C10",48
"23",44758.3333333333,"Tras_0.5",1,"C11",48
"24",19462.3333333333,"Epi_10",1,"C12",48
"25",60230.3333333333,"Empty Blank",1,"D01",48
"26",39842.3333333333,"Doxo_0.5",1,"D02",48
"27",30559.3333333333,"Daun_01",1,"D03",48
"28",51726.3333333333,"Tras_0.05",1,"D04",48
"29",55272.3333333333,"Empty Blank",1,"D05",48
"30",-542.666666666666,"Epi_50",1,"D06",48
"31",40969.3333333333,"Daun_0.05",1,"D07",48
"32",28243.3333333333,"Doxo_05",1,"D08",48
"33",59366.3333333333,"Veh_10",1,"D09",48
"34",53333.3333333333,"Epi_0.01",1,"D10",48
"35",650.333333333334,"Doxo_50",1,"D11",48
"36",41190.3333333333,"Daun_0.1",1,"D12",48
"37",54670.3333333333,"Tras_0.01",1,"E01",48
"38",46320.3333333333,"Mito_0.5",1,"E02",48
"39",41306.3333333333,"Epi_01",1,"E03",48
"40",59352.3333333333,"Veh_0.01",1,"E04",48
"41",55901.3333333333,"Tras_01",1,"E05",48
"42",61654.3333333333,"Veh_05",1,"E06",48
"43",31613.3333333333,"Doxo_10",1,"E07",48
"44",62426.3333333333,"Veh_05",1,"E08",48
"45",62400.3333333333,"Empty Blank",1,"E09",48
"46",56652.3333333333,"Daun_0.01",1,"E10",48
"47",45691.3333333333,"Epi_0.5",1,"E11",48
"48",829.333333333334,"Mito_10",1,"E12",48
"49",41689.3333333333,"Doxo_0.05",1,"F01",48
"50",47785.3333333333,"Empty Blank",1,"F02",48
"51",47343.3333333333,"Tras_0.05",1,"F03",48
"52",54484.3333333333,"Empty Blank",1,"F04",48
"53",55245.3333333333,"Mito_0.05",1,"F05",48
"54",58587.3333333333,"Epi_0.1",1,"F06",48
"55",47122.3333333333,"Daun_01",1,"F07",48
"56",52707.3333333333,"Tras_0.1",1,"F08",48
"57",48636.3333333333,"Daun_0.5",1,"F09",48
"58",54041.3333333333,"Doxo_0.1",1,"F10",48
"59",54531.3333333333,"Veh_01",1,"F11",48
"60",53144.3333333333,"Epi_0.05",1,"F12",48
"61",63881.3333333333,"Mito_0.05",1,"G01",48
"62",25733.3333333333,"Doxo_10",1,"G02",48
"63",-316.666666666666,"Daun_10",1,"G03",48
"64",921.333333333334,"Mito_05",1,"G04",48
"65",56709.3333333333,"Tras_0.1",1,"G05",48
"66",47258.3333333333,"Doxo_01",1,"G06",48
"67",61235.3333333333,"Veh_0.05",1,"G07",48
"68",7.33333333333394,"Mito_10",1,"G08",48
"69",48766.3333333333,"Doxo_0.05",1,"G09",48
"70",19777.3333333333,"Epi_10",1,"G10",48
"71",47319.3333333333,"Daun_0.5",1,"G11",48
"72",44888.3333333333,"Veh_0.5",1,"G12",48
"73",56686.3333333333,"Epi_0.5",1,"B01",0
"74",62218.3333333333,"Mito_0.1",1,"B02",0
"75",59901.3333333333,"Veh_0.01",1,"B03",0
"76",52479.3333333333,"Epi_05",1,"B04",0
"77",56081.3333333333,"Veh_10",1,"B05",0
"78",51887.3333333333,"Mito_0.5",1,"B06",0
"79",49392.3333333333,"Daun_01",1,"B07",0
"80",53704.3333333333,"Tras_05",1,"B08",0
"81",49735.3333333333,"Doxo_0.5",1,"B09",0
"82",46434.3333333333,"Daun_05",1,"B10",0
"83",57429.3333333333,"Mito_0.05",1,"B11",0
"84",55581.3333333333,"Tras_10",1,"B12",0
"85",56083.3333333333,"Doxo_50",1,"C01",0
"86",56424.3333333333,"Daun_05",1,"C02",0
"87",51894.3333333333,"Epi_0.05",1,"C03",0
"88",53426.3333333333,"Veh_0.05",1,"C04",0
"89",52390.3333333333,"Mito_50",1,"C05",0
"90",51765.3333333333,"Empty Blank",1,"C06",0
"91",53498.3333333333,"Empty Blank",1,"C07",0
"92",48573.3333333333,"Veh_10",1,"C08",0
"93",50624.3333333333,"Epi_10",1,"C09",0
"94",46829.3333333333,"Mito_50",1,"C10",0
"95",52369.3333333333,"Tras_0.5",1,"C11",0
"96",56018.3333333333,"Epi_10",1,"C12",0
"97",54351.3333333333,"Empty Blank",1,"D01",0
"98",63181.3333333333,"Doxo_0.5",1,"D02",0
"99",60619.3333333333,"Daun_01",1,"D03",0
"100",57467.3333333333,"Tras_0.05",1,"D04",0
"101",59415.3333333333,"Empty Blank",1,"D05",0
"102",58980.3333333333,"Epi_50",1,"D06",0
"103",59470.3333333333,"Daun_0.05",1,"D07",0
"104",56254.3333333333,"Doxo_05",1,"D08",0
"105",59157.3333333333,"Veh_10",1,"D09",0
"106",50593.3333333333,"Epi_0.01",1,"D10",0
"107",52325.3333333333,"Doxo_50",1,"D11",0
"108",52025.3333333333,"Daun_0.1",1,"D12",0
"109",60923.3333333333,"Tras_0.01",1,"E01",0
"110",64058.3333333333,"Mito_0.5",1,"E02",0
"111",63480.3333333333,"Epi_01",1,"E03",0
"112",59991.3333333333,"Veh_0.01",1,"E04",0
"113",57416.3333333333,"Tras_01",1,"E05",0
"114",59266.3333333333,"Veh_05",1,"E06",0
"115",54331.3333333333,"Doxo_10",1,"E07",0
"116",54069.3333333333,"Veh_05",1,"E08",0
"117",51252.3333333333,"Empty Blank",1,"E09",0
"118",48444.3333333333,"Daun_0.01",1,"E10",0
"119",54583.3333333333,"Epi_0.5",1,"E11",0
"120",59355.3333333333,"Mito_10",1,"E12",0
"121",56750.3333333333,"Doxo_0.05",1,"F01",0
"122",63313.3333333333,"Empty Blank",1,"F02",0
"123",59675.3333333333,"Tras_0.05",1,"F03",0
"124",63596.3333333333,"Empty Blank",1,"F04",0
"125",62628.3333333333,"Mito_0.05",1,"F05",0
"126",58655.3333333333,"Epi_0.1",1,"F06",0
"127",54611.3333333333,"Daun_01",1,"F07",0
"128",53972.3333333333,"Tras_0.1",1,"F08",0
"129",59366.3333333333,"Daun_0.5",1,"F09",0
"130",62325.3333333333,"Doxo_0.1",1,"F10",0
"131",58657.3333333333,"Veh_01",1,"F11",0
"132",60916.3333333333,"Epi_0.05",1,"F12",0
"133",62172.3333333333,"Mito_0.05",1,"G01",0
"134",63612.3333333333,"Doxo_10",1,"G02",0
"135",63952.3333333333,"Daun_10",1,"G03",0
"136",64675.3333333333,"Mito_05",1,"G04",0
"137",66215.3333333333,"Tras_0.1",1,"G05",0
"138",64669.3333333333,"Doxo_01",1,"G06",0
"139",63679.3333333333,"Veh_0.05",1,"G07",0
"140",64727.3333333333,"Mito_10",1,"G08",0
"141",57445.3333333333,"Doxo_0.05",1,"G09",0
"142",61324.3333333333,"Epi_10",1,"G10",0
"143",56957.3333333333,"Daun_0.5",1,"G11",0
"144",54072.3333333333,"Veh_0.5",1,"G12",0
"145",41369.1666666667,"Tras_0.1",2,"B01",48
"146",55647.1666666667,"Empty Blank",2,"B02",48
"147",-172.833333333332,"Mito_05",2,"B03",48
"148",-1227.83333333333,"Daun_50",2,"B04",48
"149",-1110.83333333333,"Empty Blank",2,"B05",48
"150",22824.1666666667,"Mito_01",2,"B06",48
"151",52210.1666666667,"Veh_50",2,"B07",48
"152",47546.1666666667,"Daun_0.01",2,"B08",48
"153",48545.1666666667,"Epi_0.05",2,"B09",48
"154",2529.16666666667,"Doxo_50",2,"B10",48
"155",32832.1666666667,"Mito_0.01",2,"B11",48
"156",30305.1666666667,"Daun_0.5",2,"B12",48
"157",18454.1666666667,"Epi_01",2,"C01",48
"158",46923.1666666667,"Mito_0.01",2,"C02",48
"159",-681.833333333332,"Epi_50",2,"C03",48
"160",45476.1666666667,"Tras_0.01",2,"C04",48
"161",-919.833333333332,"Empty Blank",2,"C05",48
"162",16079.1666666667,"Epi_05",2,"C06",48
"163",-260.833333333332,"Tras_01",2,"C07",48
"164",33571.1666666667,"Epi_01",2,"C08",48
"165",61820.1666666667,"Veh_0.05",2,"C09",48
"166",28546.1666666667,"Epi_10",2,"C10",48
"167",73135.1666666667,"Veh_05",2,"C11",48
"168",2178.16666666667,"Mito_05",2,"C12",48
"169",36663.1666666667,"Tras_10",2,"D01",48
"170",43438.1666666667,"Doxo_01",2,"D02",48
"171",50300.1666666667,"Doxo_0.01",2,"D03",48
"172",50333.1666666667,"Empty Blank",2,"D04",48
"173",-947.833333333332,"Empty Blank",2,"D05",48
"174",39410.1666666667,"Daun_01",2,"D06",48
"175",47765.1666666667,"Epi_0.01",2,"D07",48
"176",51692.1666666667,"Veh_0.01",2,"D08",48
"177",60073.1666666667,"Daun_0.5",2,"D09",48
"178",64080.1666666667,"Veh_0.05",2,"D10",48
"179",66585.1666666667,"Mito_0.1",2,"D11",48
"180",40284.1666666667,"Doxo_01",2,"D12",48
"181",44058.1666666667,"Doxo_0.1",2,"E01",48
"182",26804.1666666667,"Mito_01",2,"E02",48
"183",-1225.83333333333,"Daun_10",2,"E03",48
"184",49533.1666666667,"Veh_50",2,"E04",48
"185",-988.833333333332,"Empty Blank",2,"E05",48
"186",-1413.83333333333,"Daun_50",2,"E06",48
"187",45920.1666666667,"Tras_05",2,"E07",48
"188",33987.1666666667,"Epi_0.5",2,"E08",48
"189",47368.1666666667,"Doxo_01",2,"E09",48
"190",56161.1666666667,"Mito_0.1",2,"E10",48
"191",59694.1666666667,"Doxo_0.1",2,"E11",48
"192",309.166666666668,"Mito_50",2,"E12",48
"193",37252.1666666667,"Epi_0.1",2,"F01",48
"194",43214.1666666667,"Doxo_0.5",2,"F02",48
"195",43637.1666666667,"Veh_01",2,"F03",48
"196",45894.1666666667,"Daun_0.05",2,"F04",48
"197",-574.833333333332,"Empty Blank",2,"F05",48
"198",43817.1666666667,"Veh_50",2,"F06",48
"199",47197.1666666667,"Doxo_0.05",2,"F07",48
"200",51003.1666666667,"Veh_0.01",2,"F08",48
"201",217.166666666668,"Epi_50",2,"F09",48
"202",58087.1666666667,"Veh_0.5",2,"F10",48
"203",56558.1666666667,"Tras_05",2,"F11",48
"204",51474.1666666667,"Daun_0.1",2,"F12",48
"205",41093.1666666667,"Tras_0.05",2,"G01",48
"206",47928.1666666667,"Mito_0.01",2,"G02",48
"207",48017.1666666667,"Tras_0.01",2,"G03",48
"208",30699.1666666667,"Epi_05",2,"G04",48
"209",-350.833333333332,"Empty Blank",2,"G05",48
"210",46430.1666666667,"Mito_0.1",2,"G06",48
"211",19517.1666666667,"Daun_05",2,"G07",48
"212",34643.1666666667,"Doxo_05",2,"G08",48
"213",53789.1666666667,"Doxo_0.5",2,"G09",48
"214",55340.1666666667,"Tras_0.5",2,"G10",48
"215",68511.1666666667,"Daun_0.01",2,"G11",48
"216",57000.1666666667,"Veh_0.5",2,"G12",48
"217",57298.6666666667,"Tras_0.1",2,"B01",0
"218",70012.6666666667,"Empty Blank",2,"B02",0
"219",61061.6666666667,"Mito_05",2,"B03",0
"220",61353.6666666667,"Daun_50",2,"B04",0
"221",1642.66666666667,"Empty Blank",2,"B05",0
"222",63118.6666666667,"Mito_01",2,"B06",0
"223",59756.6666666667,"Veh_50",2,"B07",0
"224",60889.6666666667,"Daun_0.01",2,"B08",0
"225",59486.6666666667,"Epi_0.05",2,"B09",0
"226",57892.6666666667,"Doxo_50",2,"B10",0
"227",58672.6666666667,"Mito_0.01",2,"B11",0
"228",53142.6666666667,"Daun_0.5",2,"B12",0
"229",60307.6666666667,"Epi_01",2,"C01",0
"230",70241.6666666667,"Mito_0.01",2,"C02",0
"231",68518.6666666667,"Epi_50",2,"C03",0
"232",65338.6666666667,"Tras_0.01",2,"C04",0
"233",1747.66666666667,"Empty Blank",2,"C05",0
"234",58541.6666666667,"Epi_05",2,"C06",0
"235",62507.6666666667,"Tras_01",2,"C07",0
"236",61266.6666666667,"Epi_01",2,"C08",0
"237",65924.6666666667,"Veh_0.05",2,"C09",0
"238",59822.6666666667,"Epi_10",2,"C10",0
"239",59702.6666666667,"Veh_05",2,"C11",0
"240",59186.6666666667,"Mito_05",2,"C12",0
"241",54212.6666666667,"Tras_10",2,"D01",0
"242",63248.6666666667,"Doxo_01",2,"D02",0
"243",60116.6666666667,"Doxo_0.01",2,"D03",0
"244",63088.6666666667,"Empty Blank",2,"D04",0
"245",1444.66666666667,"Empty Blank",2,"D05",0
"246",57291.6666666667,"Daun_01",2,"D06",0
"247",62358.6666666667,"Epi_0.01",2,"D07",0
"248",58051.6666666667,"Veh_0.01",2,"D08",0
"249",56106.6666666667,"Daun_0.5",2,"D09",0
"250",59385.6666666667,"Veh_0.05",2,"D10",0
"251",62562.6666666667,"Mito_0.1",2,"D11",0
"252",57518.6666666667,"Doxo_01",2,"D12",0
"253",55751.6666666667,"Doxo_0.1",2,"E01",0
"254",66911.6666666667,"Mito_01",2,"E02",0
"255",67965.6666666667,"Daun_10",2,"E03",0
"256",61385.6666666667,"Veh_50",2,"E04",0
"257",1134.66666666667,"Empty Blank",2,"E05",0
"258",63540.6666666667,"Daun_50",2,"E06",0
"259",61850.6666666667,"Tras_05",2,"E07",0
"260",60605.6666666667,"Epi_0.5",2,"E08",0
"261",53134.6666666667,"Doxo_01",2,"E09",0
"262",56471.6666666667,"Mito_0.1",2,"E10",0
"263",58247.6666666667,"Doxo_0.1",2,"E11",0
"264",55064.6666666667,"Mito_50",2,"E12",0
"265",60474.6666666667,"Epi_0.1",2,"F01",0
"266",64333.6666666667,"Doxo_0.5",2,"F02",0
"267",62440.6666666667,"Veh_01",2,"F03",0
"268",62935.6666666667,"Daun_0.05",2,"F04",0
"269",1687.66666666667,"Empty Blank",2,"F05",0
"270",59570.6666666667,"Veh_50",2,"F06",0
"271",61213.6666666667,"Doxo_0.05",2,"F07",0
"272",57829.6666666667,"Veh_0.01",2,"F08",0
"273",57051.6666666667,"Epi_50",2,"F09",0
"274",61316.6666666667,"Veh_0.5",2,"F10",0
"275",61391.6666666667,"Tras_05",2,"F11",0
"276",58345.6666666667,"Daun_0.1",2,"F12",0
"277",39209.6666666667,"Tras_0.05",2,"G01",0
"278",69696.6666666667,"Mito_0.01",2,"G02",0
"279",64282.6666666667,"Tras_0.01",2,"G03",0
"280",67028.6666666667,"Epi_05",2,"G04",0
"281",1940.66666666667,"Empty Blank",2,"G05",0
"282",62370.6666666667,"Mito_0.1",2,"G06",0
"283",61119.6666666667,"Daun_05",2,"G07",0
"284",63675.6666666667,"Doxo_05",2,"G08",0
"285",64538.6666666667,"Doxo_0.5",2,"G09",0
"286",63200.6666666667,"Tras_0.5",2,"G10",0
"287",66774.6666666667,"Daun_0.01",2,"G11",0
"288",58570.6666666667,"Veh_0.5",2,"G12",0
"289",45138.3333333333,"Tras_10",3,"B01",48
"290",53666.3333333333,"Mito_01",3,"B02",48
"291",60504.3333333333,"Doxo_0.01",3,"B03",48
"292",70205.3333333333,"Empty Blank",3,"B04",48
"293",66378.3333333333,"Veh_0.1",3,"B05",48
"294",59521.3333333333,"Empty Blank",3,"B06",48
"295",33531.3333333333,"Doxo_10",3,"B07",48
"296",-553.666666666668,"Daun_50",3,"B08",48
"297",76770.3333333333,"Tras_0.01",3,"B09",48
"298",66505.3333333333,"Veh_01",3,"B10",48
"299",71025.3333333333,"Epi_0.01",3,"B11",48
"300",44530.3333333333,"Tras_0.5",3,"B12",48
"301",49063.3333333333,"Daun_0.1",3,"C01",48
"302",59785.3333333333,"Empty Blank",3,"C02",48
"303",28369.3333333333,"Epi_05",3,"C03",48
"304",62882.3333333333,"Veh_50",3,"C04",48
"305",58712.3333333333,"Daun_0.1",3,"C05",48
"306",-24.6666666666679,"Mito_10",3,"C06",48
"307",60888.3333333333,"Empty Blank",3,"C07",48
"308",47741.3333333333,"Epi_01",3,"C08",48
"309",87656.3333333333,"Empty Blank",3,"C09",48
"310",61958.3333333333,"Mito_01",3,"C10",48
"311",77979.3333333333,"Veh_05",3,"C11",48
"312",1590.33333333333,"Doxo_50",3,"C12",48
"313",37231.3333333333,"Empty Blank",3,"D01",48
"314",35107.3333333333,"Epi_0.01",3,"D02",48
"315",37073.3333333333,"Doxo_0.01",3,"D03",48
"316",38804.3333333333,"Epi_0.1",3,"D04",48
"317",24368.3333333333,"Doxo_10",3,"D05",48
"318",40106.3333333333,"Empty Blank",3,"D06",48
"319",42188.3333333333,"Empty Blank",3,"D07",48
"320",-141.666666666668,"Daun_10",3,"D08",48
"321",78528.3333333333,"Epi_0.5",3,"D09",48
"322",-225.666666666668,"Daun_50",3,"D10",48
"323",69387.3333333333,"Mito_0.05",3,"D11",48
"324",50824.3333333333,"Daun_0.05",3,"D12",48
"325",28174.3333333333,"Doxo_05",3,"E01",48
"326",58325.3333333333,"Tras_05",3,"E02",48
"327",54294.3333333333,"Veh_0.1",3,"E03",48
"328",59551.3333333333,"Empty Blank",3,"E04",48
"329",59377.3333333333,"Empty Blank",3,"E05",48
"330",54316.3333333333,"Veh_0.5",3,"E06",48
"331",51800.3333333333,"Tras_0.05",3,"E07",48
"332",56180.3333333333,"Veh_0.1",3,"E08",48
"333",84467.3333333333,"Tras_01",3,"E09",48
"334",61226.3333333333,"Epi_0.05",3,"E10",48
"335",63151.3333333333,"Tras_0.5",3,"E11",48
"336",49934.3333333333,"Doxo_0.01",3,"E12",48
"337",67897.3333333333,"Veh_0.1",3,"F01",48
"338",62336.3333333333,"Mito_0.5",3,"F02",48
"339",59504.3333333333,"Tras_10",3,"F03",48
"340",57471.3333333333,"Doxo_0.5",3,"F04",48
"341",61941.3333333333,"Veh_01",3,"F05",48
"342",80.3333333333321,"Epi_50",3,"F06",48
"343",57155.3333333333,"Empty Blank",3,"F07",48
"344",15063.3333333333,"Daun_05",3,"F08",48
"345",1380.33333333333,"Mito_10",3,"F09",48
"346",65203.3333333333,"Tras_01",3,"F10",48
"347",68377.3333333333,"Epi_0.1",3,"F11",48
"348",61166.3333333333,"Empty Blank",3,"F12",48
"349",62985.3333333333,"Doxo_0.1",3,"G01",48
"350",61007.3333333333,"Daun_0.01",3,"G02",48
"351",1346.33333333333,"Mito_05",3,"G03",48
"352",1406.33333333333,"Daun_10",3,"G04",48
"353",49503.3333333333,"Mito_0.01",3,"G05",48
"354",46821.3333333333,"Veh_10",3,"G06",48
"355",-218.666666666668,"Mito_50",3,"G07",48
"356",42070.3333333333,"Tras_0.1",3,"G08",48
"357",81076.3333333333,"Daun_0.05",3,"G09",48
"358",57984.3333333333,"Mito_0.5",3,"G10",48
"359",56195.3333333333,"Doxo_0.05",3,"G11",48
"360",50935.3333333333,"Empty Blank",3,"G12",48
"361",45729.2,"Tras_10",3,"B01",0
"362",58085.2,"Mito_01",3,"B02",0
"363",54467.2,"Doxo_0.01",3,"B03",0
"364",57418.2,"Empty Blank",3,"B04",0
"365",67137.2,"Veh_0.1",3,"B05",0
"366",67394.2,"Empty Blank",3,"B06",0
"367",64377.2,"Doxo_10",3,"B07",0
"368",58908.2,"Daun_50",3,"B08",0
"369",75672.2,"Tras_0.01",3,"B09",0
"370",59946.2,"Veh_01",3,"B10",0
"371",69257.2,"Epi_0.01",3,"B11",0
"372",62621.2,"Tras_0.5",3,"B12",0
"373",45382.2,"Daun_0.1",3,"C01",0
"374",54982.2,"Empty Blank",3,"C02",0
"375",55445.2,"Epi_05",3,"C03",0
"376",59570.2,"Veh_50",3,"C04",0
"377",61611.2,"Daun_0.1",3,"C05",0
"378",63592.2,"Mito_10",3,"C06",0
"379",61014.2,"Empty Blank",3,"C07",0
"380",58611.2,"Epi_01",3,"C08",0
"381",64213.2,"Empty Blank",3,"C09",0
"382",59289.2,"Mito_01",3,"C10",0
"383",65956.2,"Veh_05",3,"C11",0
"384",66325.2,"Doxo_50",3,"C12",0
"385",38909.2,"Empty Blank",3,"D01",0
"386",48108.2,"Epi_0.01",3,"D02",0
"387",44449.2,"Doxo_0.01",3,"D03",0
"388",47808.2,"Epi_0.1",3,"D04",0
"389",46111.2,"Doxo_10",3,"D05",0
"390",53211.2,"Empty Blank",3,"D06",0
"391",52312.2,"Empty Blank",3,"D07",0
"392",50997.2,"Daun_10",3,"D08",0
"393",71584.2,"Epi_0.5",3,"D09",0
"394",61531.2,"Daun_50",3,"D10",0
"395",68554.2,"Mito_0.05",3,"D11",0
"396",69768.2,"Daun_0.05",3,"D12",0
"397",40024.2,"Doxo_05",3,"E01",0
"398",59912.2,"Tras_05",3,"E02",0
"399",51026.2,"Veh_0.1",3,"E03",0
"400",55155.2,"Empty Blank",3,"E04",0
"401",58323.2,"Empty Blank",3,"E05",0
"402",60883.2,"Veh_0.5",3,"E06",0
"403",63768.2,"Tras_0.05",3,"E07",0
"404",63207.2,"Veh_0.1",3,"E08",0
"405",72825.2,"Tras_01",3,"E09",0
"406",65607.2,"Epi_0.05",3,"E10",0
"407",68412.2,"Tras_0.5",3,"E11",0
"408",70392.2,"Doxo_0.01",3,"E12",0
"409",30750.2,"Veh_0.1",3,"F01",0
"410",59101.2,"Mito_0.5",3,"F02",0
"411",54054.2,"Tras_10",3,"F03",0
"412",57168.2,"Doxo_0.5",3,"F04",0
"413",61799.2,"Veh_01",3,"F05",0
"414",61862.2,"Epi_50",3,"F06",0
"415",65601.2,"Empty Blank",3,"F07",0
"416",57936.2,"Daun_05",3,"F08",0
"417",74875.2,"Mito_10",3,"F09",0
"418",64823.2,"Tras_01",3,"F10",0
"419",74744.2,"Epi_0.1",3,"F11",0
"420",77678.2,"Empty Blank",3,"F12",0
"421",38094.2,"Doxo_0.1",3,"G01",0
"422",61666.2,"Daun_0.01",3,"G02",0
"423",55908.2,"Mito_05",3,"G03",0
"424",59635.2,"Daun_10",3,"G04",0
"425",63284.2,"Mito_0.01",3,"G05",0
"426",65805.2,"Veh_10",3,"G06",0
"427",65306.2,"Mito_50",3,"G07",0
"428",55625.2,"Tras_0.1",3,"G08",0
"429",75992.2,"Daun_0.05",3,"G09",0
"430",54541.2,"Mito_0.5",3,"G10",0
"431",71650.2,"Doxo_0.05",3,"G11",0
"432",77896.2,"Empty Blank",3,"G12",0
