"","x"
"1","3628"
"2","9538"
"3","100"
"4","5564"
"5","121053"
"6","8079"
"7","5437"
"8","642938"
"9","100294145"
"10","4248"
"11","55502"
"12","3268"
"13","8930"
"14","23312"
"15","55125"
"16","151534"
"17","54566"
"18","5333"
"19","493869"
"20","1943"
"21","29901"
"22","28960"
"23","390660"
"24","157506"
"25","8266"
"26","340526"
"27","3958"
"28","92815"
"29","11159"
"30","23174"
"31","10610"
"32","10890"
"33","105371405"
"34","475"
"35","11340"
"36","339453"
"37","5881"
"38","27239"
"39","25819"
"40","23491"
"41","9766"
"42","23621"
"43","80013"
"44","125111"
"45","79830"
"46","4094"
"47","100506119"
"48","55020"
"49","4782"
"50","54663"
"51","6004"
"52","159091"
"53","7879"
"54","7041"
"55","5111"
"56","85358"
"57","4953"
"58","51542"
"59","28964"
"60","5371"
"61","3068"
"62","55191"
"63","337873"
"64","4780"
"65","85360"
"66","90634"
"67","400617"
"68","4437"
"69","7442"
"70","987"
"71","11095"
"72","2117"
"73","80723"
"74","22871"
"75","9911"
"76","5433"
"77","163071"
"78","93134"
"79","23673"
"80","115399"
"81","56180"
"82","26232"
"83","9452"
"84","116236"
"85","11116"
"86","11173"
"87","11218"
"88","11158"
"89","5790"
"90","57414"
"91","253980"
"92","55222"
"93","5264"
"94","8969"
"95","282679"
"96","5128"
"97","55316"
"98","4683"
"99","1506"
"100","54557"
"101","8775"
"102","10570"
"103","64328"
"104","80313"
"105","85301"
"106","221687"
"107","79096"
"108","6548"
"109","113174"
"110","100302401"
"111","645"
"112","284106"
"113","90410"
"114","5228"
"115","10301"
"116","7378"
"117","7016"
"118","9026"
"119","9648"
"120","6821"
"121","23623"
"122","5536"
"123","164091"
"124","7483"
"125","4294"
"126","55766"
"127","54855"
"128","9823"
"129","10929"
"130","547"
"131","80019"
"132","23284"
"133","5603"
"134","80746"
"135","81566"
"136","10038"
"137","23087"
"138","55210"
"139","160518"
"140","55964"
"141","54991"
"142","55212"
"143","25807"
"144","2668"
"145","8030"
"146","124930"
"147","2571"
"148","26086"
"149","7011"
"150","338758"
"151","1435"
"152","440730"
"153","10612"
"154","23595"
"155","5036"
"156","554313"
"157","89782"
"158","2058"
"159","8303"
"160","10585"
"161","100126784"
"162","145864"
"163","10198"
"164","93145"
"165","219899"
"166","2982"
"167","79640"
"168","55163"
"169","771"
"170","55294"
"171","221527"
"172","729614"
"173","333929"
"174","84838"
"175","196394"
"176","57488"
"177","23564"
"178","23452"
"179","400236"
"180","5590"
"181","79671"
"182","10425"
"183","388591"
"184","8927"
"185","56900"
"186","283643"
"187","126789"
"188","26160"
"189","54716"
"190","51099"
"191","168455"
"192","79966"
"193","7779"
"194","79754"
"195","154007"
"196","8518"
"197","5636"
"198","80232"
"199","81553"
"200","10898"
"201","9935"
"202","93649"
"203","9937"
"204","728741"
"205","100507053"
"206","84547"
"207","9249"
"208","158866"
"209","80237"
"210","116173"
"211","401106"
"212","151354"
"213","5986"
"214","1019"
