"","Condition","Experiment","File_Name","Peak_variance","Ave_FF0","Rate"
"1","Control","87-1",NA,0.123508456756729,1.42981583614917,0.382874617737003
"2","Dau_0.5","87-1",NA,0.000255182761894067,1.54828336142695,1.05290519877676
"3","Dau_1","87-1",NA,1.127397442048,1.70720171921402,0.287155963302752
"4","Dox_0.5","87-1",NA,0.0250079106656186,1.98299543484135,0.382874617737003
"5","Dox_1","87-1",NA,0.293970541701967,1.27839624594985,0.287155963302752
"6","Epi_0.5","87-1",NA,0.184241954087518,1.88188684326447,0.287155963302752
"7","Epi_1","87-1",NA,0.00306219314272882,1.4823558655782,0.574311926605505
"8","Mito_0.5","87-1",NA,0.00306219314272886,1.21314260551117,0.382874617737003
"9","Mito_1","87-1",NA,0.0485576341204141,1.15664202715583,0.765749235474006
"10","Tras_0.5","87-1",NA,0.923081110691478,1.71763163255797,0.478593272171254
"11","Tras_1","87-1",NA,0.00952682311071184,1.47617751359744,0.382874617737003
"12","Control","78-1",NA,NA,1.75448676356898,0.2
"13","Dau_0.5","78-1",NA,1.36955018267537e-31,1.46640488956294,1.05290519877676
"14","Dau_1","78-1",NA,1.24222968490033,1.8947172317554,0.478593272171254
"15","Dox_0.5","78-1",NA,0.0326633935224408,1.82438739038639,0.287155963302752
"16","Dox_1","78-1",NA,0.000340243682525415,1.21640190713076,0.382874617737003
"17","Epi_0.5","78-1",NA,0.352492455096341,1.3689358587297,0.382874617737003
"18","Epi_1","78-1",NA,0.0134736498280068,1.55805995539657,0.574311926605505
"19","Mito_0.5","78-1",NA,3.38295787442967,1.18085444470996,0.574311926605505
"20","Mito_1","78-1",NA,0.0485576341204141,1.15664202715583,0.765749235474006
"21","Tras_0.5","78-1",NA,0.000340243682525415,1.21713430699875,0.382874617737003
"22","Tras_1","78-1",NA,0.002381705777678,1.52686338258461,0.382874617737003
"23","Control","77-1",NA,NA,1.3723456596695,0.191437308868502
"24","Dau_0.5","77-1",NA,0.00384475361253733,1.33828197824982,0.7
"25","Dau_1","77-1",NA,NA,1.29607795057548,0.2
"26","Dox_0.5","77-1",NA,NA,1.34484479828728,0.2
"27","Dox_1","77-1",NA,0.429217405505823,1.5676466287272,0.3
"28","Epi_0.5","77-1",NA,0.000306219314272877,1.12625208914324,0.670030581039755
"29","Epi_1","77-1",NA,0.000306219314272877,1.09251319849648,0.670030581039755
"30","Mito_0.5","77-1",NA,0.0267941899988772,1.16561471735422,0.670030581039755
"31","Mito_1","77-1",NA,0.112845462777584,1.18513597751019,0.957186544342508
"32","Tras_0.5","77-1",NA,0.0013609747301017,1.22687573059225,0.478593272171254
"33","Tras_1","77-1",NA,0.00501859431724999,1.22149147095696,0.5
