"","entrezgene_id","ensembl_gene_id","hgnc_symbol"
"1",51166,"ENSG00000109576","AADAT"
"2",57505,"ENSG00000124608","AARS2"
"3",20,"ENSG00000107331","ABCA2"
"4",5244,"ENSG00000005471","ABCB4"
"5",11194,"ENSG00000197150","ABCB8"
"6",89845,"ENSG00000124574","ABCC10"
"7",10057,"ENSG00000114770","ABCC5"
"8",5825,"ENSG00000117528","ABCD3"
"9",23,"ENSG00000225989","ABCF1"
"10",55324,"ENSG00000161204","ABCF3"
"11",84696,"ENSG00000143994","ABHD1"
"12",55347,"ENSG00000144827","ABHD10"
"13",25864,"ENSG00000248487","ABHD14A"
"14",84836,"ENSG00000114779","ABHD14B"
"15",7920,"ENSG00000231488","ABHD16A"
"16",10006,"ENSG00000136754","ABI1"
"17",25,"ENSG00000097007","ABL1"
"18",27,"ENSG00000143322","ABL2"
"19",84448,"ENSG00000163995","ABLIM2"
"20",22885,"ENSG00000173210","ABLIM3"
"21",28,"ENSG00000281879","ABO"
"22",58527,"ENSG00000146386","ABRACL"
"23",29777,"ENSG00000146109","ABT1"
"24",84129,"ENSG00000240303","ACAD11"
"25",28976,"ENSG00000177646","ACAD9"
"26",34,"ENSG00000117054","ACADM"
"27",116983,"ENSG00000131584","ACAP3"
"28",39,"ENSG00000120437","ACAT2"
"29",57007,"ENSG00000144476","ACKR3"
"30",48,"ENSG00000122729","ACO1"
"31",26027,"ENSG00000162390","ACOT11"
"32",55856,"ENSG00000112304","ACOT13"
"33",11332,"ENSG00000097021","ACOT7"
"34",8309,"ENSG00000168306","ACOX2"
"35",52,"ENSG00000143727","ACP1"
"36",51205,"ENSG00000162836","ACP6"
"37",2181,"ENSG00000123983","ACSL3"
"38",88,"ENSG00000077522","ACTN2"
"39",10120,"ENSG00000115073","ACTR1B"
"40",653857,"ENSG00000106526","ACTR3C"
"41",93973,"ENSG00000113812","ACTR8"
"42",92,"ENSG00000121989","ACVR2A"
"43",98,"ENSG00000170634","ACYP2"
"44",8751,"ENSG00000143537","ADAM15"
"45",6868,"ENSG00000151694","ADAM17"
"46",8728,"ENSG00000135074","ADAM19"
"47",53616,"ENSG00000008277","ADAM22"
"48",8745,"ENSG00000114948","ADAM23"
"49",10863,"ENSG00000042980","ADAM28"
"50",203102,"ENSG00000275594","ADAM32"
"51",11093,"ENSG00000281244","ADAMTS13"
"52",9509,"ENSG00000283802","ADAMTS2"
"53",9508,"ENSG00000156140","ADAMTS3"
"54",92949,"ENSG00000178031","ADAMTSL1"
"55",NA,"ENSG00000203804","ADAMTSL4-AS1"
"56",11033,"ENSG00000105963","ADAP1"
"57",134637,"ENSG00000189007","ADAT2"
"58",203054,"ENSG00000285451","ADCK5"
"59",221442,"ENSG00000290554","ADCY10P1"
"60",109,"ENSG00000138031","ADCY3"
"61",111,"ENSG00000173175","ADCY5"
"62",117,"ENSG00000078549","ADCYAP1R1"
"63",118,"ENSG00000087274","ADD1"
"64",119,"ENSG00000075340","ADD2"
"65",166647,"ENSG00000152990","ADGRA3"
"66",577,"ENSG00000135298","ADGRB3"
"67",222611,"ENSG00000164393","ADGRF2"
"68",221393,"ENSG00000153294","ADGRF4"
"69",124,"ENSG00000187758","ADH1A"
"70",126,"ENSG00000248144","ADH1C"
"71",137872,"ENSG00000147576","ADHFE1"
"72",55256,"ENSG00000280830","ADI1"
"73",51094,"ENSG00000159346","ADIPOR1"
"74",134,"ENSG00000163485","ADORA1"
"75",141,"ENSG00000144843","ADPRH"
"76",148,"ENSG00000120907","ADRA1A"
"77",151,"ENSG00000274286","ADRA2B"
"78",152,"ENSG00000184160","ADRA2C"
"79",165,"ENSG00000106624","AEBP1"
"80",60312,"ENSG00000196526","AFAP1"
"81",4301,"ENSG00000130396","AFDN"
"82",4299,"ENSG00000172493","AFF1"
"83",27125,"ENSG00000072364","AFF4"
"84",175,"ENSG00000038002","AGA"
"85",100506749,"ENSG00000235529","AGAP1-IT1"
"86",116988,"ENSG00000133612","AGAP3"
"87",119016,"ENSG00000188234","AGAP4"
"88",642517,"ENSG00000204172","AGAP9"
"89",177,"ENSG00000230514","AGER"
"90",3268,"ENSG00000106351","AGFG2"
"91",55109,"ENSG00000164252","AGGF1"
"92",55750,"ENSG00000262327","AGK"
"93",178,"ENSG00000162688","AGL"
"94",79814,"ENSG00000116771","AGMAT"
"95",392636,"ENSG00000187546","AGMO"
"96",26523,"ENSG00000092847","AGO1"
"97",27161,"ENSG00000123908","AGO2"
"98",10554,"ENSG00000236873","AGPAT1"
"99",56895,"ENSG00000026652","AGPAT4"
"100",8540,"ENSG00000018510","AGPS"
"101",375790,"ENSG00000188157","AGRN"
"102",23287,"ENSG00000135049","AGTPBP1"
"103",185,"ENSG00000144891","AGTR1"
"104",57085,"ENSG00000177674","AGTRAP"
"105",25909,"ENSG00000153207","AHCTF1"
"106",54806,"ENSG00000135541","AHI1"
"107",57491,"ENSG00000063438","AHRR"
"108",64853,"ENSG00000186063","AIDA"
"109",199,"ENSG00000235588","AIF1"
"110",203,"ENSG00000106992","AK1"
"111",50808,"ENSG00000147853","AK3"
"112",205,"ENSG00000162433","AK4"
"113",221264,"ENSG00000155085","AK9"
"114",9465,"ENSG00000118507","AKAP7"
"115",80709,"ENSG00000106948","AKNA"
"116",231,"ENSG00000085662","AKR1B1"
"117",1645,"ENSG00000187134","AKR1C1"
"118",1646,"ENSG00000151632","AKR1C2"
"119",8644,"ENSG00000196139","AKR1C3"
"120",83592,"ENSG00000165568","AKR1E2"
"121",8574,"ENSG00000053371","AKR7A2"
"122",22977,"ENSG00000162482","AKR7A3"
"123",210,"ENSG00000148218","ALAD"
"124",10840,"ENSG00000144908","ALDH1L1"
"125",8659,"ENSG00000159423","ALDH4A1"
"126",7915,"ENSG00000112294","ALDH5A1"
"127",501,"ENSG00000164904","ALDH7A1"
"128",64577,"ENSG00000118514","ALDH8A1"
"129",223,"ENSG00000143149","ALDH9A1"
"130",229,"ENSG00000136872","ALDOB"
"131",10195,"ENSG00000214160","ALG3"
"132",29929,"ENSG00000088035","ALG6"
