"","x"
"1",100132287
"2",102465432
"3",57801
"4",54998
"5",148413
"6",55052
"7",64856
"8",29101
"9",8510
"10",984
"11",8511
"12",728642
"13",9906
"14",65220
"15",2782
"16",199990
"17",11079
"18",5192
"19",440556
"20",27237
"21",1953
"22",127262
"23",57212
"24",148870
"25",9731
"26",1677
"27",6146
"28",102724450
"29",23463
"30",8718
"31",57449
"32",79707
"33",3104
"34",9903
"35",148479
"36",90326
"37",23261
"38",3604
"39",54206
"40",473
"41",2023
"42",9563
"43",84275
"44",22883
"45",64802
"46",378708
"47",6723
"48",2475
"49",26270
"50",4524
"51",4878
"52",55187
"53",126755
"54",10630
"55",7799
"56",842
"57",23341
"58",84301
"59",440567
"60",23013
"61",7709
"62",348487
"63",54455
"64",55707
"65",55672
"66",84809
"67",11209
"68",26869
"69",26870
"70",4237
"71",23400
"72",11240
"73",8659
"74",23352
"75",23065
"76",100506730
"77",8574
"78",832
"79",440574
"80",644068
"81",255104
"82",127733
"83",55450
"84",50809
"85",8672
"86",3339
"87",29092
"88",998
"89",9923
"90",23028
"91",80818
"92",55616
"93",6135
"94",90529
"95",57185
"96",11123
"97",100506985
"98",23585
"99",55219
"100",56181
"101",5051
"102",79927
"103",10256
"104",83442
"105",3151
"106",8289
"107",63906
"108",644961
"109",2827
"110",10163
"111",5511
"112",27293
"113",55113
"114",2140
"115",93974
"116",1104
"117",2035
"118",6429
"119",347735
"120",64129
"121",90853
"122",8073
"123",56063
"124",65108
"125",339487
"126",5928
"127",57648
"128",64766
"129",113452
"130",114784
"131",113444
"132",79932
"133",23154
"134",5690
"135",127703
"136",192669
"137",27095
"138",55700
"139",79729
"140",55194
"141",64960
"142",80149
"143",54955
"144",79693
"145",10946
"146",51118
"147",4725
"148",23499
"149",643314
"150",26508
"151",10450
"152",84879
"153",10487
"154",6018
"155",10269
"156",65243
"157",127396
"158",100130557
"159",4802
"160",163732
"161",100132074
"162",22887
"163",284716
"164",79717
"165",728621
"166",64175
"167",79078
"168",114625
"169",6513
"170",440584
"171",10969
"172",128218
"173",64834
"174",112950
"175",5792
"176",9682
"177",1802
"178",533
"179",55929
"180",6202
"181",7389
"182",57643
"183",84842
"184",5052
"185",3652
"186",8503
"187",55624
"188",541468
"189",7388
"190",8569
"191",148932
"192",9813
"193",51727
"194",388630
"195",54558
"196",11124
"197",4898
"198",91408
"199",84950
"200",23318
"201",2882
"202",55268
"203",127435
"204",54987
"205",54432
"206",115353
"207",127428
"208",51253
"209",7268
"210",25973
"211",1718
"212",5563
"213",1600
"214",83941
"215",10207
"216",163782
"217",7398
"218",85440
"219",205
"220",54741
"221",3953
"222",5142
