"","SampleID","Drug","Conc","Percent","Name","sDrug","indv",".group"
"1","ind3a","Daun",0.01,1.06096222022329,"Daunorubicin","DNR","3",1
"2","ind3a","Daun",0.01,0.848126885020371,"Daunorubicin","DNR","3",1
"3","ind3a","Daun",0.01,1.1239351288428,"Daunorubicin","DNR","3",1
"4","ind3a","Daun",0.01,0.800677284512408,"Daunorubicin","DNR","3",1
"5","ind3a","Daun",0.05,1.31669189533706,"Daunorubicin","DNR","3",2
"6","ind3a","Daun",0.05,1.04421656442416,"Daunorubicin","DNR","3",2
"7","ind3a","Daun",0.05,0.864835027258345,"Daunorubicin","DNR","3",2
"8","ind3a","Daun",0.05,1.28504603758123,"Daunorubicin","DNR","3",2
"9","ind3a","Daun",0.1,1.2828729359674,"Daunorubicin","DNR","3",3
"10","ind3a","Daun",0.1,1.19749848414344,"Daunorubicin","DNR","3",3
"11","ind3a","Daun",0.1,0.756800203054275,"Daunorubicin","DNR","3",3
"12","ind3a","Daun",0.1,0.89005457083633,"Daunorubicin","DNR","3",3
"13","ind3a","Daun",0.5,0.456346935481504,"Daunorubicin","DNR","3",4
"14","ind3a","Daun",0.5,0.60583850567123,"Daunorubicin","DNR","3",4
"15","ind3a","Daun",0.5,0.491599536323752,"Daunorubicin","DNR","3",4
"16","ind3a","Daun",0.5,0.732564452465848,"Daunorubicin","DNR","3",4
"17","ind3a","Daun",1,0.241984025232188,"Daunorubicin","DNR","3",5
"18","ind3a","Daun",1,0.298539759355231,"Daunorubicin","DNR","3",5
"19","ind3a","Daun",1,0.301194195152194,"Daunorubicin","DNR","3",5
"20","ind3a","Daun",1,0.259460565677724,"Daunorubicin","DNR","3",5
"21","ind3a","Daun",5,0.0928678735729609,"Daunorubicin","DNR","3",6
"22","ind3a","Daun",5,0.134640003273495,"Daunorubicin","DNR","3",6
"23","ind3a","Daun",5,0.0507040936219465,"Daunorubicin","DNR","3",6
"24","ind3a","Daun",5,0.129490094755979,"Daunorubicin","DNR","3",6
"25","ind3a","Daun",10,0.335600163270066,"Daunorubicin","DNR","3",7
"26","ind3a","Daun",10,0,"Daunorubicin","DNR","3",7
"27","ind3a","Daun",10,0.0845359923029826,"Daunorubicin","DNR","3",7
"28","ind3a","Daun",10,0.0998425610076095,"Daunorubicin","DNR","3",7
"29","ind3a","Daun",50,0,"Daunorubicin","DNR","3",8
"30","ind3a","Daun",50,0,"Daunorubicin","DNR","3",8
"31","ind3a","Daun",50,0.0642559929299996,"Daunorubicin","DNR","3",8
"32","ind3a","Daun",50,0.0870862024524064,"Daunorubicin","DNR","3",8
"33","ind3b","Daun",0.01,0.800677284512408,"Daunorubicin","DNR","3",9
"34","ind3b","Daun",0.01,0.848126885020371,"Daunorubicin","DNR","3",9
"35","ind3b","Daun",0.01,1.06096222022329,"Daunorubicin","DNR","3",9
"36","ind3b","Daun",0.01,1.1239351288428,"Daunorubicin","DNR","3",9
"37","ind3b","Daun",0.05,0.864835027258345,"Daunorubicin","DNR","3",10
"38","ind3b","Daun",0.05,1.04421656442416,"Daunorubicin","DNR","3",10
"39","ind3b","Daun",0.05,1.28504603758123,"Daunorubicin","DNR","3",10
"40","ind3b","Daun",0.05,1.31669189533706,"Daunorubicin","DNR","3",10
"41","ind3b","Daun",0.1,0.621439488675837,"Daunorubicin","DNR","3",11
"42","ind3b","Daun",0.1,0.730860080589134,"Daunorubicin","DNR","3",11
"43","ind3b","Daun",0.1,0.875374389008273,"Daunorubicin","DNR","3",11
"44","ind3b","Daun",0.1,1.05341924876106,"Daunorubicin","DNR","3",11
"45","ind3b","Daun",0.5,0.40224139268993,"Daunorubicin","DNR","3",12
"46","ind3b","Daun",0.5,0.433314364054942,"Daunorubicin","DNR","3",12
"47","ind3b","Daun",0.5,0.534008898316045,"Daunorubicin","DNR","3",12
"48","ind3b","Daun",0.5,0.645709925243798,"Daunorubicin","DNR","3",12
"49","ind3b","Daun",1,0.496125035479373,"Daunorubicin","DNR","3",13
"50","ind3b","Daun",1,0.531956116643836,"Daunorubicin","DNR","3",13
"51","ind3b","Daun",1,0.612077795466045,"Daunorubicin","DNR","3",13
"52","ind3b","Daun",1,0.617520022706798,"Daunorubicin","DNR","3",13
"53","ind3b","Daun",5,0.0482892231636846,"Daunorubicin","DNR","3",14
"54","ind3b","Daun",5,0.0884448799171612,"Daunorubicin","DNR","3",14
"55","ind3b","Daun",5,0.123322904256622,"Daunorubicin","DNR","3",14
"56","ind3b","Daun",5,0.128227539443065,"Daunorubicin","DNR","3",14
"57","ind3b","Daun",10,0,"Daunorubicin","DNR","3",15
"58","ind3b","Daun",10,0.0500131522775001,"Daunorubicin","DNR","3",15
"59","ind3b","Daun",10,0.0590688187529916,"Daunorubicin","DNR","3",15
"60","ind3b","Daun",10,0.198547643586216,"Daunorubicin","DNR","3",15
"61","ind3b","Daun",50,0,"Daunorubicin","DNR","3",16
"62","ind3b","Daun",50,0,"Daunorubicin","DNR","3",16
"63","ind3b","Daun",50,0.0642559929299996,"Daunorubicin","DNR","3",16
"64","ind3b","Daun",50,0.0870862024524064,"Daunorubicin","DNR","3",16
"65","ind5a","Daun",0.01,1.29361822961035,"Daunorubicin","DNR","5",17
"66","ind5a","Daun",0.01,1.10869616187194,"Daunorubicin","DNR","5",17
"67","ind5a","Daun",0.01,1.0688221456316,"Daunorubicin","DNR","5",17
"68","ind5a","Daun",0.01,0.962251764319711,"Daunorubicin","DNR","5",17
"69","ind5a","Daun",0.05,1.11204017126589,"Daunorubicin","DNR","5",18
