"","source","term_id","term_name","intersection_size","term_size","p_value"
"1","GO:BP","GO:0007049","cell cycle",308,1529,5.34408635224458e-32
"2","GO:BP","GO:0000278","mitotic cell cycle",200,841,4.68970868873415e-29
"3","GO:BP","GO:1903047","mitotic cell cycle process",177,704,1.30166762190406e-28
"4","GO:BP","GO:0022402","cell cycle process",227,1051,3.53992500660964e-27
"5","GO:BP","GO:0051726","regulation of cell cycle",205,959,1.29947273371443e-23
"6","GO:BP","GO:0051301","cell division",145,577,3.6477650078294e-23
"7","GO:BP","GO:0000280","nuclear division",113,389,3.6477650078294e-23
"8","GO:BP","GO:0010564","regulation of cell cycle process",152,622,4.3157058121614e-23
"9","GO:BP","GO:0007059","chromosome segregation",100,327,3.01525825059506e-22
"10","GO:BP","GO:0051276","chromosome organization",133,523,1.04889354964386e-21
"11","GO:BP","GO:0140014","mitotic nuclear division",92,297,7.72979950392427e-21
"12","GO:BP","GO:0048285","organelle fission",114,432,8.19644335003444e-20
"13","GO:BP","GO:0098813","nuclear chromosome segregation",85,269,8.19644335003444e-20
"14","GO:BP","GO:0000819","sister chromatid segregation",73,215,7.05943611567651e-19
"15","GO:BP","GO:0000070","mitotic sister chromatid segregation",68,192,1.14015720155998e-18
"16","GO:BP","GO:0000075","cell cycle checkpoint signaling",65,182,4.96023080589615e-18
"17","GO:BP","GO:0007093","mitotic cell cycle checkpoint signaling",55,139,1.84436002852115e-17
"18","GO:BP","GO:0007346","regulation of mitotic cell cycle",108,447,1.0923657309713e-15
"19","GO:BP","GO:0045786","negative regulation of cell cycle",91,344,1.10098856414927e-15
"20","GO:BP","GO:0044770","cell cycle phase transition",115,504,7.51486158922471e-15
"21","GO:BP","GO:0045930","negative regulation of mitotic cell cycle",66,212,7.51486158922471e-15
"22","GO:BP","GO:0006260","DNA replication",75,262,8.65999610134429e-15
"23","GO:BP","GO:1901988","negative regulation of cell cycle phase transition",70,235,9.6827981236587e-15
"24","GO:BP","GO:1901987","regulation of cell cycle phase transition",96,392,2.60781081059222e-14
"25","GO:BP","GO:0010948","negative regulation of cell cycle process",76,273,2.60781081059222e-14
"26","GO:BP","GO:0051783","regulation of nuclear division",46,118,2.88698699947586e-14
"27","GO:BP","GO:0044772","mitotic cell cycle phase transition",100,419,3.40992795444213e-14
"28","GO:BP","GO:0007088","regulation of mitotic nuclear division",42,103,8.63875225118447e-14
"29","GO:BP","GO:0090068","positive regulation of cell cycle process",63,207,9.71534501156666e-14
"30","GO:BP","GO:0006261","DNA-templated DNA replication",52,152,1.66422535825641e-13
"31","GO:BP","GO:0051983","regulation of chromosome segregation",45,119,2.03329770688330e-13
"32","GO:BP","GO:1901990","regulation of mitotic cell cycle phase transition",80,310,3.58235621350926e-13
"33","GO:BP","GO:1901991","negative regulation of mitotic cell cycle phase transition",54,167,6.55041201407417e-13
"34","GO:BP","GO:0033048","negative regulation of mitotic sister chromatid segregation",27,48,7.11773135158892e-13
"35","GO:BP","GO:0033046","negative regulation of sister chromatid segregation",27,48,7.11773135158892e-13
"36","GO:BP","GO:2000816","negative regulation of mitotic sister chromatid separation",27,48,7.11773135158892e-13
"37","GO:BP","GO:1905819","negative regulation of chromosome separation",27,49,1.35785048093975e-12
"38","GO:BP","GO:0051985","negative regulation of chromosome segregation",27,49,1.35785048093975e-12
"39","GO:BP","GO:0033047","regulation of mitotic sister chromatid segregation",28,53,1.72375185051166e-12
"40","GO:BP","GO:0007051","spindle organization",57,187,1.72375185051166e-12
"41","GO:BP","GO:1903046","meiotic cell cycle process",48,141,2.00837634320479e-12
"42","GO:BP","GO:0000226","microtubule cytoskeleton organization",116,554,2.07761570715071e-12
"43","GO:BP","GO:1905818","regulation of chromosome separation",40,103,2.07761570715071e-12
"44","GO:BP","GO:0045841","negative regulation of mitotic metaphase/anaphase transition",26,47,3.29263102868209e-12
"45","GO:BP","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle",26,48,6.35133038188668e-12
"46","GO:BP","GO:0051304","chromosome separation",43,121,7.89341646306581e-12
"47","GO:BP","GO:0071173","spindle assembly checkpoint signaling",25,45,8.29653358124667e-12
"48","GO:BP","GO:0007094","mitotic spindle assembly checkpoint signaling",25,45,8.29653358124667e-12
"49","GO:BP","GO:0071174","mitotic spindle checkpoint signaling",25,45,8.29653358124667e-12
"50","GO:BP","GO:0045787","positive regulation of cell cycle",72,282,1.11881551674102e-11
"51","GO:BP","GO:0031577","spindle checkpoint signaling",25,46,1.5789551380406e-11
"52","GO:BP","GO:1902850","microtubule cytoskeleton organization involved in mitosis",49,154,1.64072720960246e-11
"53","GO:BP","GO:0051321","meiotic cell cycle",56,193,2.27253912494972e-11
"54","GO:BP","GO:0006259","DNA metabolic process",162,908,2.44852324335884e-11
"55","GO:BP","GO:0051784","negative regulation of nuclear division",28,58,2.44852324335884e-11
"56","GO:BP","GO:0045839","negative regulation of mitotic nuclear division",27,55,3.87299533301322e-11
"57","GO:BP","GO:0033045","regulation of sister chromatid segregation",37,99,6.32568067599527e-11
"58","GO:BP","GO:0010965","regulation of mitotic sister chromatid separation",35,92,1.45270769400251e-10
"59","GO:BP","GO:0140013","meiotic nuclear division",42,126,1.46280676823514e-10
"60","GO:BP","GO:0006974","cellular response to DNA damage stimulus",145,801,1.54407699354347e-10
"61","GO:BP","GO:0031570","DNA integrity checkpoint signaling",42,127,1.91029439615829e-10
"62","GO:BP","GO:0007052","mitotic spindle organization",42,129,3.38716359522567e-10
"63","GO:BP","GO:0051306","mitotic sister chromatid separation",35,95,3.99399872091817e-10
"64","GO:BP","GO:0007091","metaphase/anaphase transition of mitotic cell cycle",34,91,5.0608110587384e-10
"65","GO:BP","GO:0044784","metaphase/anaphase transition of cell cycle",34,92,7.14411563429141e-10
"66","GO:BP","GO:0007017","microtubule-based process",138,769,1.00223416214768e-09
"67","GO:BP","GO:0065004","protein-DNA complex assembly",50,177,1.09614803281047e-09
"68","GO:BP","GO:0030071","regulation of mitotic metaphase/anaphase transition",33,89,1.25961406548172e-09
"69","GO:BP","GO:1902099","regulation of metaphase/anaphase transition of cell cycle",33,90,1.77170815127487e-09
"70","GO:BP","GO:2001251","negative regulation of chromosome organization",33,93,4.89129332134789e-09
"71","GO:BP","GO:0016043","cellular component organization",634,5135,5.47018854305033e-09
"72","GO:BP","GO:0006996","organelle organization",403,3007,5.9253067739004e-09
"73","GO:BP","GO:0051225","spindle assembly",38,119,6.09005027955195e-09
