"","time","ENTREZID","SYMBOL","EPIqvalues","EPIpvalue","DOXpvalue","DNRpvalue","MTXpvalue","TRZpvalue"
"1","24hr",653635,"WASH7P",0.53812392448447,0.329649675842037,0.985462032989425,0.658634300420246,0.758511198135203,0.636697373960736
"2","24hr",729737,"LOC729737",0.168299352622338,0.0197364409449881,0.0256959309256883,0.0378924527741362,0.0769931268734938,0.201167371176252
"3","24hr",102723897,"WASH9P",0.481239700759475,0.252799949117528,0.86896609233417,0.190078415608546,0.514387636571201,0.334795155922596
"4","24hr",100132287,"LOC100132287",0.401679885120771,0.164055853998632,0.239007973023443,0.198257978951532,0.189220014259584,0.249208706388518
"5","24hr",102465432,NA,0.697710161840451,0.693532288413934,0.580315053490155,0.26978886487097,0.539200926727405,0.246992260982065
"6","24hr",100133331,NA,0.710752203459628,0.732673343464285,0.439729073845763,0.632650013444719,0.778778636770947,0.746704898767725
"7","24hr",643837,"LINC01128",0.465392740902237,0.231773785799193,0.611910181259461,0.731464948336461,0.633905869012836,0.766644128518272
"8","24hr",148398,"SAMD11",0.647178994329088,0.544166403496681,0.266622916282569,0.40965210127391,0.045703126444922,0.249121384120093
"9","24hr",26155,"NOC2L",0.735534671582567,0.825841180979884,0.264079623063598,0.920127066370943,0.77380953369135,0.96629574997965
"10","24hr",339451,"KLHL17",0.493566581922531,0.27003510208184,0.0272685013069363,0.409923291558696,0.601009497358411,0.680815338358258
"11","24hr",57801,"HES4",0.504227218761553,0.283162732697973,0.568634285712996,0.49094706381242,0.760923642348371,0.949851199950731
"12","24hr",9636,"ISG15",0.283754861182849,0.0730049216278541,0.741202916020947,0.117986241707703,0.916796143153102,0.78432340820469
"13","24hr",375790,"AGRN",0.771178840875488,0.989029996491147,0.098751309929564,0.191759521684979,0.480796242940118,0.620121625084223
"14","24hr",54991,"C1orf159",0.533491889665623,0.324026309371892,0.0109891080801077,0.0420401346759043,0.357309258192676,0.216951915413595
"15","24hr",51150,"SDF4",0.622316331104965,0.486249369488534,0.086218809754437,0.708020426066198,0.628659309749638,0.440856095359185
"16","24hr",126792,"B3GALT6",0.501050885061049,0.279374385219926,0.238850331188369,0.832328066164395,0.478770201492056,0.893540012931308
"17","24hr",118424,"UBE2J2",0.105353414865673,0.0054572297678126,0.541072543501362,0.225249201298699,0.342172753719218,0.774045695858178
"18","24hr",6339,"SCNN1D",0.42772371510155,0.187263441521266,0.570598892403419,0.632464217659298,0.16408580139179,0.461344621949469
"19","24hr",116983,"ACAP3",0.315909437754143,0.0949158142581177,0.430632158263379,0.122471200736697,0.60705225736071,0.698393339515152
"20","24hr",126789,"PUSL1",0.376764085873509,0.14086889849327,0.0310104538856504,0.207092986757885,0.725444488593587,0.573419342825755
"21","24hr",54973,"INTS11",0.214754340437383,0.0360153169989743,0.166922504818894,0.313699085662179,0.345800969846753,0.850509744981069
"22","24hr",80772,"CPTP",0.41341168770658,0.174390857949706,0.0459702866809986,0.166202375924983,0.288961572173724,0.330041372837834
"23","24hr",83756,"TAS1R3",0.641008121600051,0.528695187634906,0.957810738962435,0.0663938158073769,0.358937923148562,0.646906319699
"24","24hr",1855,"DVL1",0.737969186936155,0.836818412453741,0.938108220983292,0.918263129896796,0.765291058774758,0.088434048452359
"25","24hr",54587,"MXRA8",0.407298882014105,0.169315504106837,0.00731661997012307,0.48696246683767,0.297207397347873,0.746089084880285
"26","24hr",54998,"AURKAIP1",0.683820128942598,0.649547163727793,0.81463122162092,0.716740691686406,0.406866870874968,0.410607585513304
"27","24hr",81669,"CCNL2",0.750025296021757,0.880272834270435,0.117748910354737,0.0717863698773149,0.414388877386596,0.691376885319948
"28","24hr",148413,"MRPL20-AS1",0.744073164219174,0.861806341613989,0.786264190330637,0.347267736407536,0.610770240025087,0.525264651411766
"29","24hr",55052,"MRPL20",0.771470034104215,0.990182841790794,0.855213965448137,0.944874187369287,0.590944157823981,0.827727864596888
"30","24hr",64856,"VWA1",0.767926285012931,0.967241393289761,0.325208438817123,0.806601245846854,0.144922903304056,0.406419392636671
"31","24hr",219293,"ATAD3C",0.507897473832163,0.287669964319343,0.255300422155958,0.256841880173117,0.94810681685664,0.397549197930464
"32","24hr",83858,"ATAD3B",0.709735603796882,0.72869251760783,0.11010280876346,0.119752737769867,0.804862718516277,0.244171621664064
"33","24hr",55210,"ATAD3A",0.205320052118305,0.0320675610302934,0.0112021797593029,0.293591497990773,0.295901706935556,0.161054385568329
"34","24hr",339453,"TMEM240",0.390816981452346,0.153050696076973,0.564175901122317,0.215034516558525,0.214963330530186,0.915128011218187
"35","24hr",29101,"SSU72",0.712985308184214,0.739449635306245,0.474782115721405,0.617870184326138,0.381128888077059,0.762782196504375
"36","24hr",643988,"FNDC10",0.742304547556515,0.854911764497559,0.43499024570235,0.753007406445234,0.98984820586704,0.89540616669523
"37","24hr",142678,"MIB2",0.761742858162549,0.935972566304862,0.30321040666218,0.370535336747685,0.515857694617219,0.501289497525631
"38","24hr",8510,"MMP23B",0.750579534246301,0.882576287879704,0.873995974116267,0.907452455840676,0.852130893408567,0.971712607651993
"39","24hr",984,"CDK11B",0.759079669606415,0.924302582069312,0.939701704801817,0.769151900933756,0.584512720815614,0.847677685596194
"40","24hr",728661,"SLC35E2B",0.607875726273809,0.455675742804357,0.526964137651057,0.585094415048623,0.738750674536231,0.643954623935449
"41","24hr",8511,"MMP23A",0.716063760498435,0.752682831923205,0.946221401025368,0.978414422180149,0.932992815762401,0.970083633642891
"42","24hr",728642,"CDK11A",0.769082767730269,0.97740104736071,0.57385806152819,0.0819377896314541,0.733940261880388,0.8892944789946
"43","24hr",9906,"SLC35E2A",0.671843867972661,0.613702588280409,0.672331403106938,0.427274190617861,0.50930690114371,0.782947214546207
"44","24hr",65220,"NADK",0.432904559531772,0.192875743820785,0.769113498904363,0.913177584523794,0.459107040946872,0.85807255054281
"45","24hr",2782,"GNB1",0.657237633671735,0.56795040055761,0.953898759125593,0.581933068096999,0.571038168498795,0.920961183553049
"46","24hr",339456,"TMEM52",0.361572868147296,0.128381428052317,0.509596380362565,0.541183883966235,0.930001194085908,0.931540464734142
"47","24hr",5590,"PRKCZ",0.220772693235471,0.0388607735768423,0.0141554578784902,0.0586018660561993,0.641626456259055,0.154235589460568
"48","24hr",100506504,"PRKCZ-AS1",0.705177331610522,0.714981988791404,0.0666733873788332,0.337779745282535,0.173029536458352,0.418732704110358
"49","24hr",199990,"FAAP20",0.730048017522599,0.801175214644454,0.645802652612144,0.713894335197275,0.968469649375548,0.987538322614208
"50","24hr",6497,"SKI",0.623390146295556,0.489634649771586,0.607918243735606,0.00436493502707382,0.988416830787234,0.844643562819205
"51","24hr",79906,"MORN1",0.48605417762028,0.258156099606555,0.503665742390448,0.754181553398282,0.636614228608281,0.83507922996422
"52","24hr",11079,"RER1",0.681536570827142,0.642278479659249,0.250999059645464,0.562906810016615,0.491848586975806,0.732555224925397
"53","24hr",5192,"PEX10",0.411296528999303,0.172618679382675,0.0164729768691538,0.152409134489812,0.511874125832097,0.616461277007335
"54","24hr",55229,"PANK4",0.772080138882097,0.995433236074675,0.784645359846082,0.836420749428285,0.913073225115889,0.494035900488814
"55","24hr",127281,"PRXL2B",0.126395105709091,0.00855543830027594,0.00252047834783653,0.0102764372644408,0.0296230260587693,0.129727363238276
"56","24hr",440556,"PRDM16-DT",0.666551079570902,0.598281884890313,0.456504195855448,0.609278188262223,0.767473039627755,0.979612009383232
"57","24hr",63976,"PRDM16",0.770653859029651,0.984271823104234,0.469621498004988,0.97398680972075,0.595908404704969,0.738043690712661
"58","24hr",27237,"ARHGEF16",0.247792102478729,0.0510549013421078,0.500898557186335,0.688126457366285,0.393304625167526,0.600596456343875
"59","24hr",1953,"MEGF6",0.691863272257031,0.675394005850587,0.932134653042378,0.763128140459123,0.978600516340316,0.907542632868199
"60","24hr",127262,"TPRG1L",0.406311823243115,0.168245676259999,0.732491359920315,0.922943968199522,0.279141288764404,0.432841951804266
"61","24hr",49856,"WRAP73",0.0848389363193719,0.00250897078801549,0.292656599700198,0.319283851027885,0.773155025025191,0.888529966662102
"62","24hr",57212,"TP73-AS1",0.414083313747722,0.175122383154221,0.725075889451231,0.459960584047458,0.64879073637904,0.225517041765806
"63","24hr",148870,"CCDC27",0.548749068369964,0.345230284159936,0.304590514821024,0.344764341077989,0.848514532559581,0.392802399283847
"64","24hr",388588,"SMIM1",0.729023258907461,0.798046096950309,0.835881123255054,0.570215068719202,0.925607387300831,0.922659632864154
"65","24hr",57470,"LRRC47",0.721539009497795,0.777191946196367,0.51943679744378,0.11823699474167,0.987092838134904,0.459162250086919
"66","24hr",9731,"CEP104",0.660373528680658,0.580000449529031,0.245499544647218,0.803687201543605,0.692675765018511,0.830290066171127
"67","24hr",1677,"DFFB",0.639804101270865,0.525796285137553,0.105019682344274,0.7199732194752,0.748226132778293,0.748258424173157
"68","24hr",339448,"C1orf174",0.272671654424946,0.067286687757089,0.0315999908006632,0.286407488706444,0.206092899110878,0.827985534038548
"69","24hr",261734,"NPHP4",0.297634749147592,0.0816425956425662,0.0396253541000684,0.0704043458382673,0.414813017267535,0.0928069555152349
"70","24hr",8514,"KCNAB2",0.396517732805037,0.159351132836764,0.295089868462285,0.341582002606356,0.478588450946009,0.655349286042224
"71","24hr",6146,"RPL22",0.301801777596514,0.0846822221047407,0.434135795636867,0.744408792029935,0.897399346737117,0.591349390392945
"72","24hr",102724450,"RNF207-AS1",0.732514086418905,0.809465621607703,0.606487774442884,0.0415609271836911,0.724602474034367,0.90532835397638
"73","24hr",388591,"RNF207",0.37834968021379,0.142074490757596,0.451474763657469,0.995360499455443,0.231551159696183,0.53301967884167
"74","24hr",23463,"ICMT",0.0447188889392609,0.000182764817840297,0.00276248135513901,0.00101436754860251,0.0447362015454327,0.224857642239823
"75","24hr",387509,"GPR153",0.498485561367528,0.276478988162939,0.342814202786633,0.961657464513589,0.828432043119467,0.242347084183132
"76","24hr",11332,"ACOT7",0.556599272252309,0.361592773556909,0.939063758949607,0.812691056799872,0.593116717167123,0.915806761068889
"77","24hr",83715,"ESPN",0.701188569119546,0.703945829235922,0.477813996111729,0.242479746027367,0.5802626596583,0.510843364998133
"78","24hr",8718,"TNFRSF25",0.148611620448045,0.0145346183971997,0.0165647647321054,0.329369413161843,0.519362749916833,0.215641449581271
"79","24hr",57449,"PLEKHG5",0.718380200697329,0.761055749737974,0.702433915830194,0.555715437132542,0.716278326010625,0.822250499831556
"80","24hr",79707,"NOL9",0.650906450084742,0.552077430681529,0.714825801574417,0.759551768872526,0.699441182480857,0.842021053337346
"81","24hr",3104,"ZBTB48",0.679551949111129,0.637334632766341,0.424692298112552,0.1072816782919,0.521325823722128,0.747014571401567
"82","24hr",9903,"KLHL21",0.594400291084199,0.42990597582156,0.453529470001283,0.697069857046205,0.630242544460984,0.390943342388518
"83","24hr",148479,"PHF13",0.652420072604175,0.556225014155922,0.766262750716721,0.803565419992425,0.684266306232425,0.711156021942841
"84","24hr",90326,"THAP3",0.767835991010211,0.966866767664707,0.35976580410697,0.474837198239039,0.290195268601382,0.561437646034341
"85","24hr",55735,"DNAJC11",0.170271513005368,0.0204294937699152,0.889797517424817,0.430019808917533,0.503945106397118,0.649229055606618
"86","24hr",23261,"CAMTA1",0.722754909664672,0.780692161339628,0.247689823821096,0.355511849683655,0.388906051258487,0.810875450503902
"87","24hr",9341,"VAMP3",0.23726332506434,0.0463974438040236,0.129677349142602,0.122321669759403,0.0631360495608462,0.249753914224266
"88","24hr",8863,"PER3",0.760747602802751,0.93152196643637,0.0962293339066442,0.213857895233101,0.0344583873811318,0.423066537718366
"89","24hr",3604,"TNFRSF9",0.696572642082176,0.690577327455488,0.306937421158846,0.361196350776118,0.294669276867978,0.64597043756734
"90","24hr",11315,"PARK7",0.656399442607364,0.56601042816026,0.24878664252054,0.834205627565839,0.503277312643018,0.784145112813875
"91","24hr",54206,"ERRFI1",0.316091429215805,0.095278698299925,0.151338820864767,0.0674523792528858,0.563834981900598,0.816182773399595
"92","24hr",50651,"SLC45A1",0.265775729163725,0.0627325526770104,0.234539235338502,0.586063312457573,0.267157229635883,0.515136227488569
"93","24hr",473,"RERE",0.670402485669942,0.609645565008274,0.219667939083188,0.800192151728833,0.433191035735215,0.949918233379088
"94","24hr",2023,"ENO1",0.755834401256553,0.906054555935045,0.0242028356367222,0.159629349997755,0.0620878103427261,0.290608720250307
"95","24hr",80045,"GPR157",0.744703417917248,0.864042168219447,0.900221888336293,0.71457632686758,0.286630977603448,0.494218288870415
"96","24hr",9563,"H6PD",0.595720497251884,0.433082852128187,0.376367159741732,0.574292263020702,0.854648819931501,0.269009319888383
"97","24hr",80176,"SPSB1",0.759079669606415,0.924658382651665,0.84053523910981,0.555331011485568,0.892133417140003,0.829212819726348
"98","24hr",84275,"SLC25A33",0.25388316608636,0.0553784431261359,0.232020113744162,0.343000141510481,0.355944853830908,0.101769326064993
"99","24hr",199953,"TMEM201",0.277467292745298,0.0698243462018717,0.0554186900807849,0.247189231539783,0.113928837608761,0.389478427997235
"100","24hr",5293,"PIK3CD",0.697013999064189,0.69168887437052,0.695897587953038,0.288035284837873,0.917221947633916,0.860555507399959
"101","24hr",22883,"CLSTN1",0.767221303475742,0.965508320402076,0.587465823601387,0.478974200853004,0.55572467380612,0.677408437172705
"102","24hr",56998,"CTNNBIP1",0.738149877301705,0.837522854913942,0.00912046581864032,0.172291927651515,0.384196735063396,0.823965351854306
"103","24hr",84328,"LZIC",0.735740127143195,0.826825935086865,0.510000420887877,0.478338618880919,0.114652640815795,0.425131414421286
"104","24hr",64802,"NMNAT1",0.714959793885293,0.748548150994676,0.837514792455975,0.852796047483469,0.732837567151131,0.636738186707007
"105","24hr",116362,"RBP7",0.454028955609926,0.217086208144315,0.135122791847885,0.0834615084908251,0.997900065630349,0.993000553422528
"106","24hr",10277,"UBE4B",0.691312079388667,0.674284506151626,0.833429366098192,0.971349781057763,0.166736399356732,0.987941969634634
"107","24hr",23095,"KIF1B",0.591554461930958,0.42373811832372,0.643029856394226,0.314409772047256,0.784154779193816,0.420628642963578
"108","24hr",5226,"PGD",0.432651086582914,0.192282903464804,0.216504703564742,0.970025228959942,0.378781165652403,0.934345801619561
"109","24hr",378708,"CENPS",0.450685789728888,0.212717186557406,0.23712424971105,0.156477874521395,0.796771047714814,0.848488020373876
"110","24hr",1676,"DFFA",0.164567745298977,0.0186813263819268,0.602793150368319,0.589534640007604,0.68284078497834,0.656268282539669
"111","24hr",5195,"PEX14",0.0436673374207529,8.51366004810394e-05,0.00182379490906959,0.00399112285936454,0.0125107475937449,0.0777294315184067
"112","24hr",54897,"CASZ1",0.37897249830995,0.142460333831218,0.00930888012688325,0.0311068132492758,0.0989993158647149,0.881150226915062
"113","24hr",148345,"C1orf127",0.395474135289796,0.157413273211057,0.982059197082603,0.137365506303359,0.996433470058309,0.2739629907764
"114","24hr",23435,"TARDBP",0.400303484474879,0.162868694412855,0.649415804290223,0.774009055141383,0.878375796027502,0.494064190813797
"115","24hr",10747,"MASP2",0.596171729799465,0.434233244384151,0.297318292089227,0.844614216167171,0.905824850986207,0.605370685217233
"116","24hr",6723,"SRM",0.468880393057407,0.236115684298022,0.247006668822191,0.554198609093111,0.857657296095011,0.578762291734718
"117","24hr",5394,"EXOSC10",0.574131755019862,0.392309678049717,0.947777885502449,0.899983548060602,0.8596759620888,0.743640612690906
"118","24hr",2475,"MTOR",0.693089073452583,0.679489279699362,0.723432451988133,0.880709650127611,0.434980537786533,0.631687528544629
"119","24hr",29914,"UBIAD1",0.257183754319862,0.0579659352232667,0.367686673962864,0.885316936193699,0.573667900485735,0.556535716903543
"120","24hr",26232,"FBXO2",0.150465113727756,0.0148279139823084,0.187518619664529,0.147199395543752,0.585966773549249,0.594811149599066
"121","24hr",93611,"FBXO44",0.255523799542186,0.0564405134098398,0.801170447898082,0.953814997298914,0.496360792948084,0.315561921512844
"122","24hr",26270,"FBXO6",0.632901555724841,0.512229358722119,0.0783231324794156,0.310360898276187,0.0721876444777278,0.0882096072478536
"123","24hr",10459,"MAD2L2",0.644790681134707,0.539155096337406,0.753511714608298,0.583363424840721,0.740920164516044,0.581619806319299
"124","24hr",57085,"AGTRAP",0.0792350678304491,0.00189933888536009,0.755471189645113,0.590882039165696,0.471680837862996,0.725282582070232
"125","24hr",4524,"MTHFR",0.394078902315211,0.155395007757197,0.0455055142330218,0.453280060752791,0.414940809806802,0.537575854559701
"126","24hr",1185,"CLCN6",0.461104150996469,0.227541381611562,0.0664829622907961,0.0963021287713541,0.68836845119749,0.560742307635057
"127","24hr",4878,"NPPA",0.492517211638375,0.267751871707134,0.427866189613977,0.881201251804311,0.4405232475596,0.806079873067559
"128","24hr",4879,"NPPB",0.167455226836491,0.0194704922691389,0.0813184986313806,0.450167099447038,0.980956874072195,0.37137466865856
"129","24hr",90231,"KIAA2013",0.560730719350488,0.368887397817973,0.90504969236255,0.766574880469884,0.797409519591162,0.622056248796505
"130","24hr",5351,"PLOD1",0.768488933823537,0.973681772908326,0.901334712827728,0.666170972266521,0.844214560054465,0.802706802248377
"131","24hr",9927,"MFN2",0.203175056255042,0.0312132471185702,0.0660704702172263,0.625980305903844,0.0557473878016213,0.0566462932452565
"132","24hr",60672,"MIIP",0.214754340437383,0.0359229957331269,0.0109520335400715,0.078427163421166,0.0454787893997981,0.672761689208158
"133","24hr",55187,"VPS13D",0.309939756303696,0.0904070501933014,0.0323598152361137,0.816730144336825,0.182301583071842,0.513340163321824
"134","24hr",9249,"DHRS3",0.52914852587298,0.31679420952064,0.959210172856279,0.214298235286275,0.959588032167515,0.689924033724274
"135","24hr",343069,"HNRNPCL1",0.770653859029651,0.984116352645913,0.842261549781948,0.79851647021692,0.960306117529952,0.924485274322354
"136","24hr",126755,"LRRC38",0.373289218222306,0.137997301726216,0.0205299180456367,0.210084287173605,0.92389677086833,0.802674360488687
"137","24hr",10630,"PDPN",0.713552129357627,0.743571310637037,0.313523710971499,0.0442105970445968,0.575303800872207,0.994197405992355
"138","24hr",7799,"PRDM2",0.718810325455103,0.762925129416276,0.142833451672211,0.76876531137489,0.943353384046586,0.210014787187945
"139","24hr",23254,"KAZN",0.192669920698936,0.0277639581131144,0.273233660426807,0.848767690721424,0.442854726933647,0.900236759459535
"140","24hr",55092,"TMEM51",0.703905320877163,0.711586553533922,0.280038436312228,0.700485559797664,0.495371163281313,0.752593880981708
"141","24hr",79180,"EFHD2",0.68303261491054,0.646636730579021,0.504147845779279,0.881924526035199,0.871372534431171,0.491510277243782
"142","24hr",842,"CASP9",0.720781316977416,0.771344727456192,0.223470138620583,0.441703291402464,0.457955127954559,0.430008088450354
"143","24hr",23341,"DNAJC16",0.518611153678895,0.303124137785978,0.751799931225602,0.577668132441097,0.511047187718591,0.892511621154074
"144","24hr",84301,"DDI2",0.616371962521636,0.471860999451041,0.608130424611393,0.923517290560432,0.0968730829457037,0.176539947064049
"145","24hr",6248,"RSC1A1",0.312860083238681,0.0926202377105625,0.147334273577876,0.15730689811447,0.73731984192209,0.113178385534664
"146","24hr",23207,"PLEKHM2",0.0922477629589535,0.00373375648540053,0.68920961865927,0.922723707873316,0.447675898816411,0.392261971795302
"147","24hr",284723,"SLC25A34",0.715336183614234,0.749845709043387,0.768907445559053,0.341325382267556,0.784056921270629,0.336257495583522
"148","24hr",54751,"FBLIM1",0.528691524911112,0.315964336222723,0.990503789578119,0.846836174318094,0.445909009361815,0.516645362630682
"149","24hr",440567,"UQCRHL",0.752072066427356,0.889941600279067,0.684116695088299,0.381332396274333,0.612213938069691,0.773005617728942
"150","24hr",729614,"SPEN-AS1",0.712045803356479,0.737015065545883,0.828732048297774,0.624299167652463,0.769637805636598,0.23681330956039
"151","24hr",23013,"SPEN",0.765111228349672,0.949517031529025,0.607434574596443,0.903314650367615,0.40591049267685,0.97541906344132
"152","24hr",7709,"ZBTB17",0.436404789803791,0.197837756260671,0.558224877060449,0.614088970520052,0.929597417087657,0.532364332220153
"153","24hr",27129,"HSPB7",0.718810325455103,0.762752315583177,0.572524423742999,0.724102061995898,0.815890609470887,0.915658465226886
"154","24hr",1187,"CLCNKA",0.600030618493116,0.44003242712095,0.419950520679602,0.557548021742558,0.12281372006886,0.199222364367758
"155","24hr",1188,"CLCNKB",0.632084682118382,0.510222079630696,0.123726031693178,0.213670952481716,0.882552896080406,0.735071326941536
"156","24hr",348487,"FAM131C",0.712016669331508,0.736799412265545,0.157715283011375,0.790691119048598,0.609105873348921,0.515937508721501
"157","24hr",1969,"EPHA2",0.75750248517002,0.914998496578989,0.237648425317851,0.000422333709630707,0.495461460796485,0.704588567592021
"158","24hr",128272,"ARHGEF19",0.458353627944955,0.22335209280665,0.881444207826852,0.69275054518116,0.595157723261817,0.733553734951641
"159","24hr",79363,"CPLANE2",0.086613825948193,0.00273266055943489,0.392040147291657,0.378371393748143,0.938415037126594,0.401124079949074
"160","24hr",54455,"FBXO42",0.279786160891045,0.0708344622688062,0.32863818778267,0.45428440376824,0.765587512462699,0.505157704777489
"161","24hr",26099,"SZRD1",0.16354040219222,0.0183093651223722,0.198176534492282,0.172092553530306,0.577105489834372,0.899601409302807
"162","24hr",55707,"NECAP2",0.489780227269294,0.263199961527849,0.761169570543605,0.485584354838382,0.913344627481324,0.785991877602694
"163","24hr",114819,"CROCCP3",0.200846782187351,0.030265573864781,0.291102077834723,0.627732626104268,0.784104604523526,0.948928530075125
"164","24hr",55672,"NBPF1",0.475466180238908,0.245530370813247,0.407762054655786,0.792081001783886,0.77805463627509,0.409138922628148
"165","24hr",84809,"CROCCP2",0.211890986914494,0.0346276679881941,0.149748005282337,0.481542873326036,0.52355876447879,0.549328401002834
"166","24hr",11209,"MST1P2",0.733768097775373,0.817917150393176,0.522215384554404,0.961932298299319,0.927614526727105,0.893093591730938
"167","24hr",26869,"RNU1-3",0.24649231680348,0.0503480538496539,0.952767699347359,0.197273625348931,0.265436368196836,0.413145968230343
"168","24hr",11223,"MST1L",0.375603563489458,0.139917542476901,0.210333374821132,0.4880056604307,0.535342021060601,0.350477037516285
"169","24hr",9696,"CROCC",0.163959737861236,0.0185008957458188,0.358258224893082,0.739456881407681,0.672739354844398,0.553907151639447
"170","24hr",26870,"RNU1-2",0.251414459509339,0.0529063702732537,0.995399374308047,0.226746066733643,0.227071507980441,0.316918484507924
"171","24hr",4237,"MFAP2",0.739192067958019,0.841760371767989,0.697783622003723,0.88037593794389,0.614005340841942,0.735219480722845
"172","24hr",23400,"ATP13A2",0.688967942322075,0.668594780510441,0.669287299547281,0.25125021403065,0.593171411676968,0.826770316387461
"173","24hr",6390,"SDHB",0.758835025581777,0.92294008359381,0.900475191668579,0.382019856907937,0.735629698983609,0.494153236987154
"174","24hr",11240,"PADI2",0.771944538779153,0.99416893342468,0.929275930214191,0.632565646705199,0.347469383420795,0.593240393116702
"175","24hr",55920,"RCC2",0.518080352058113,0.302531382558452,0.505855621385943,0.816931920380985,0.695828790788467,0.77208560276049
"176","24hr",55160,"ARHGEF10L",0.0962526347862717,0.00430512837341257,0.0929771633341949,0.61595839851489,0.632478820882795,0.440165667284083
"177","24hr",127707,"KLHDC7A",0.256086481947077,0.0569647982333894,0.915605333152773,0.655791759349387,0.632657970973581,0.572382660963501
"178","24hr",8659,"ALDH4A1",0.684527265487572,0.65477870075288,0.639932018995499,0.712649466188104,0.387424961170931,0.55775742665991
"179","24hr",126917,"IFFO2",0.721539009497795,0.776798365364477,0.903391182868445,0.459293633378748,0.780102782888662,0.900992832245516
"180","24hr",23352,"UBR4",0.675838212331869,0.627934015832643,0.293879413367106,0.439867175765391,0.474361088353702,0.511661807787753
"181","24hr",23065,"EMC1",0.567395452164953,0.380800593516966,0.256809974452318,0.29425430994696,0.481483806057839,0.777683373315578
"182","24hr",51154,"MRTO4",0.100561167871904,0.00474720455523592,0.120262041879456,0.0229759376707452,0.0729521081472495,0.213301353328924
"183","24hr",22977,"AKR7A3",0.658496630015916,0.572390373826586,0.913641083637818,0.25428653344033,0.698542865944316,0.959804992709476
"184","24hr",100506730,"LOC100506730",0.382736795846585,0.145738411930308,0.119813703167387,0.206033480044447,0.0960703007444885,0.242562108535977
"185","24hr",8574,"AKR7A2",0.328971646804208,0.103046893608163,0.828470107076177,0.503104090115889,0.589474346334666,0.457876824208382
"186","24hr",54896,"SLC66A1",0.706091415923499,0.717472656280722,0.402487555894328,0.83137730317097,0.638789444893262,0.552019632333785
"187","24hr",832,"CAPZB",0.456127312293927,0.219262476288695,0.111769810654046,0.962620347103385,0.538825317495697,0.377903252223343
"188","24hr",440574,"MICOS10",0.580183308076258,0.400286216306269,0.573662249142221,0.726372614545335,0.798267837313784,0.74510879999799
"189","24hr",644068,"RPS14P3",0.733300128694139,0.815854827527091,0.403614348172988,0.82079989320767,0.466735151099041,0.633240181431436
