"","ENTREZID","SYMBOL"
"1",49856,"WRAP73"
"2",23463,"ICMT"
"3",5195,"PEX14"
"4",57085,"AGTRAP"
"5",23207,"PLEKHM2"
"6",79363,"CPLANE2"
"7",55160,"ARHGEF10L"
"8",55616,"ASAP3"
"9",57095,"PITHD1"
"10",11313,"LYPLA2"
"11",84065,"TMEM222"
"12",23673,"STX12"
"13",1104,"RCC1"
"14",55116,"TMEM39B"
"15",56063,"TMEM234"
"16",3065,"HDAC1"
"17",127544,"RNF19B"
"18",113444,"SMIM12"
"19",79830,"ZMYM1"
"20",27095,"TRAPPC3"
"21",51058,"ZNF691"
"22",128218,"TMEM125"
"23",112950,"MED8"
"24",9670,"IPO13"
"25",149483,"CCDC17"
"26",387338,"NSUN4"
"27",8613,"PLPP3"
"28",8543,"LMO4"
"29",84146,"ZNF644"
"30",2152,"F3"
"31",64858,"DCLRE1B"
"32",128077,"LIX1L"
"33",388695,"LYSMD1"
"34",6944,"VPS72"
"35",65005,"MRPL9"
"36",57198,"ATP8B2"
"37",200185,"KRTCAP2"
"38",4000,"LMNA"
"39",11266,"DUSP12"
"40",261726,"TIPRL"
"41",8674,"VAMP4"
"42",5279,"PIGC"
"43",116461,"TSEN15"
"44",83479,"DDX59"
"45",134,"ADORA1"
"46",6791,"AURKAP1"
"47",64853,"AIDA"
"48",163859,"SDE2"
"49",5664,"PSEN2"
"50",65094,"JMJD4"
"51",126731,"CCSAP"
"52",22796,"COG2"
"53",79723,"SUV39H2"
"54",253430,"IPMK"
"55",26091,"HERC4"
"56",219738,"FAM241B"
"57",11319,"ECD"
"58",5532,"PPP3CB"
"59",79933,"SYNPO2L"
"60",657,"BMPR1A"
"61",27063,"ANKRD1"
"62",118924,"FRA10AC1"
"63",282991,"BLOC1S2"
"64",10360,"NPM3"
"65",9937,"DCLRE1A"
"66",57700,"FHIP2A"
"67",6571,"SLC18A2"
"68",9184,"BUB3"
"69",115399,"LRRC56"
"70",3265,"HRAS"
"71",161,"AP2A2"
"72",7748,"ZNF195"
"73",117854,"TRIM6"
"74",10612,"TRIM3"
"75",23647,"ARFIP2"
"76",65975,"STK33"
"77",113174,"SAAL1"
"78",627,"BDNF"
"79",79797,"ZNF408"
"80",10978,"CLP1"
"81",55048,"VPS37C"
"82",5436,"POLR2G"
"83",9304,"SNORD22"
"84",144097,"SPINDOC"
"85",283131,"NEAT1"
"86",57410,"SCYL1"
"87",10524,"KAT5"
"88",25855,"BRMS1"
"89",10432,"RBM14"
"90",338692,"ANKRD13D"
"91",57804,"POLD4"
"92",5883,"RAD9A"
"93",5499,"PPP1CA"
"94",2950,"GSTP1"
"95",116985,"ARAP1"
"96",9789,"SPCS2"
"97",5612,"THAP12"
"98",56946,"EMSY"
"99",282679,"AQP11"
"100",51585,"PCF11"
"101",60492,"CCDC90B"
"102",58487,"CREBZF"
"103",9440,"MED17"
"104",54851,"ANKRD49"
"105",10929,"SRSF8"
"106",143684,"FAM76B"
"107",84437,"MSANTD4"
"108",4863,"NPAT"
"109",5049,"PAFAH1B2"
"110",219902,"TLCD5"
"111",219899,"TBCEL"
"112",399959,"MIR100HG"
