"","ENTREZID","SYMBOL","MOTIF"
"1",100132287,"LOC100132287","NR"
"2",102465432,NA,"NR"
"3",100133331,NA,"NR"
"4",339451,"KLHL17","NR"
"5",57801,"HES4","NR"
"6",51150,"SDF4","NR"
"7",54973,"INTS11","NR"
"8",1855,"DVL1","NR"
"9",54998,"AURKAIP1","NR"
"10",148413,"MRPL20-AS1","NR"
"11",55052,"MRPL20","NR"
"12",64856,"VWA1","NR"
"13",29101,"SSU72","NR"
"14",8510,"MMP23B","NR"
"15",984,"CDK11B","NR"
"16",8511,"MMP23A","NR"
"17",728642,"CDK11A","NR"
"18",9906,"SLC35E2A","NR"
"19",65220,"NADK","NR"
"20",2782,"GNB1","NR"
"21",199990,"FAAP20","NR"
"22",79906,"MORN1","NR"
"23",11079,"RER1","NR"
"24",5192,"PEX10","NR"
"25",55229,"PANK4","NR"
"26",440556,"PRDM16-DT","NR"
"27",27237,"ARHGEF16","NR"
"28",1953,"MEGF6","NR"
"29",127262,"TPRG1L","NR"
"30",57212,"TP73-AS1","NR"
"31",148870,"CCDC27","NR"
"32",57470,"LRRC47","NR"
"33",9731,"CEP104","NR"
"34",1677,"DFFB","NR"
"35",6146,"RPL22","NR"
"36",102724450,"RNF207-AS1","NR"
"37",23463,"ICMT","NR"
"38",8718,"TNFRSF25","NR"
"39",57449,"PLEKHG5","NR"
"40",79707,"NOL9","NR"
"41",3104,"ZBTB48","NR"
"42",9903,"KLHL21","NR"
"43",148479,"PHF13","NR"
"44",55735,"DNAJC11","NR"
"45",23261,"CAMTA1","NR"
"46",3604,"TNFRSF9","NR"
"47",11315,"PARK7","NR"
"48",54206,"ERRFI1","NR"
"49",2023,"ENO1","NR"
"50",80045,"GPR157","NR"
"51",9563,"H6PD","NR"
"52",84275,"SLC25A33","NR"
"53",199953,"TMEM201","NR"
"54",22883,"CLSTN1","NR"
"55",56998,"CTNNBIP1","NR"
"56",64802,"NMNAT1","NR"
"57",10277,"UBE4B","NR"
"58",23095,"KIF1B","NR"
"59",378708,"CENPS","NR"
"60",5195,"PEX14","NR"
"61",23435,"TARDBP","NR"
"62",6723,"SRM","NR"
"63",2475,"MTOR","NR"
"64",26270,"FBXO6","NR"
"65",10459,"MAD2L2","NR"
"66",4524,"MTHFR","NR"
"67",1185,"CLCN6","NR"
"68",4878,"NPPA","NR"
"69",5351,"PLOD1","NR"
"70",60672,"MIIP","NR"
"71",55187,"VPS13D","NR"
"72",343069,"HNRNPCL1","NR"
"73",126755,"LRRC38","NR"
"74",10630,"PDPN","NR"
"75",7799,"PRDM2","NR"
"76",79180,"EFHD2","NR"
"77",842,"CASP9","NR"
"78",23341,"DNAJC16","NR"
"79",84301,"DDI2","NR"
"80",440567,"UQCRHL","NR"
"81",23013,"SPEN","NR"
"82",7709,"ZBTB17","NR"
"83",348487,"FAM131C","NR"
"84",128272,"ARHGEF19","NR"
"85",79363,"CPLANE2","NR"
"86",55707,"NECAP2","NR"
"87",55672,"NBPF1","NR"
"88",84809,"CROCCP2","NR"
"89",11209,"MST1P2","NR"
"90",26869,"RNU1-3","NR"
"91",26870,"RNU1-2","NR"
"92",4237,"MFAP2","NR"
"93",23400,"ATP13A2","NR"
"94",6390,"SDHB","NR"
