"","SampleID","sDrug","Conc","Mean"
"1","ind1a","DOX",0.01,0.722374985305355
"2","ind1a","DOX",0.05,0.927626350567015
"3","ind1a","DOX",0.1,1.12761415404174
"4","ind1a","DOX",0.5,0.836639641393631
"5","ind1a","DOX",1,0.427695406427969
"6","ind1a","DOX",5,0.467250550749557
"7","ind1a","DOX",10,0.543019356805365
"8","ind1a","DOX",50,0.0338862746453489
"9","ind1a","EPI",0.01,0.803840261858579
"10","ind1a","EPI",0.05,0.917574113760155
"11","ind1a","EPI",0.1,1.08270870854963
"12","ind1a","EPI",0.5,0.773496458437633
"13","ind1a","EPI",1,0.457137107593239
"14","ind1a","EPI",5,0.561395142657568
"15","ind1a","EPI",10,0.614579931195158
"16","ind1a","EPI",50,0
"17","ind1a","DNR",0.01,0.828844119202963
"18","ind1a","DNR",0.05,0.980300696490756
"19","ind1a","DNR",0.1,0.902562506621464
"20","ind1a","DNR",0.5,0.644439190817897
"21","ind1a","DNR",1,0.454674998108054
"22","ind1a","DNR",5,0.179176069707879
"23","ind1a","DNR",10,0.0129784767130446
"24","ind1a","DNR",50,0.00158006744912923
"25","ind1a","MTX",0.01,0.797064193557867
"26","ind1a","MTX",0.05,0.807589963389588
"27","ind1a","MTX",0.1,1.05623344633966
"28","ind1a","MTX",0.5,0.915987558176188
"29","ind1a","MTX",1,0.462329638879142
"30","ind1a","MTX",5,0.00884669460713195
"31","ind1a","MTX",10,0.0119238138785464
"32","ind1a","MTX",50,0.0035909501636851
"33","ind1a","TRZ",0.01,0.688161259037207
"34","ind1a","TRZ",0.05,0.981416867577463
"35","ind1a","TRZ",0.1,1.03804296005933
"36","ind1a","TRZ",0.5,0.930477137453413
"37","ind1a","TRZ",1,0.820109492064147
"38","ind1a","TRZ",5,0.92597119982806
"39","ind1a","TRZ",10,0.814843392775491
"40","ind1a","VEH",0.01,0.790511300182214
"41","ind1a","VEH",0.05,0.957645771943924
"42","ind1a","VEH",0.1,0.960859201186566
"43","ind1a","VEH",0.5,1.02733353729766
"44","ind1a","VEH",1,0.802266723081051
"45","ind1a","VEH",5,1.14916693532499
"46","ind1a","VEH",10,1.2489085940732
"47","ind1a","VEH",50,1.03177046557675
"48","ind1b","DOX",0.01,1.21753207086133
"49","ind1b","DOX",0.05,1.28467128146847
"50","ind1b","DOX",0.1,0.616184737943378
"51","ind1b","DOX",0.5,0.659480247700926
"52","ind1b","DOX",1,0.420279930082701
"53","ind1b","DOX",5,0.312557296939655
"54","ind1b","DOX",10,0.287762268085634
"55","ind1b","DOX",50,0.0332404281712039
"56","ind1b","EPI",0.01,1.01160999117627
"57","ind1b","EPI",0.05,1.11441723777709
"58","ind1b","EPI",0.1,0.551563432240065
"59","ind1b","EPI",0.5,0.503826498919139
"60","ind1b","EPI",1,0.438013618220239
"61","ind1b","EPI",5,0.620724646576239
"62","ind1b","EPI",10,0.428381858461815
"63","ind1b","EPI",50,0.00604073779295744
"64","ind1b","DNR",0.01,1.19660201588271
"65","ind1b","DNR",0.05,1.22052898026656
"66","ind1b","DNR",0.1,0.46091881580827
"67","ind1b","DNR",0.5,0.625584949104251
"68","ind1b","DNR",1,0.462834694285739
"69","ind1b","DNR",5,0.262210765359357
"70","ind1b","DNR",10,0.032879569965026
"71","ind1b","DNR",50,0.00882639302079391
"72","ind1b","MTX",0.01,1.37872123803706
"73","ind1b","MTX",0.05,1.02971783127274
"74","ind1b","MTX",0.1,0.500392013512492
"75","ind1b","MTX",0.5,0.832731474195981
"76","ind1b","MTX",1,0.617278877844738
"77","ind1b","MTX",5,0.036337691032959
"78","ind1b","MTX",10,0.0118979341677631
"79","ind1b","MTX",50,0.00259440705338723
"80","ind1b","TRZ",0.01,1.1716478313989
"81","ind1b","TRZ",0.05,1.08259576861705
"82","ind1b","TRZ",0.1,0.492058890261426
"83","ind1b","TRZ",0.5,0.974204262156589
"84","ind1b","TRZ",1,0.942585635647387
"85","ind1b","TRZ",5,1.08931136070705
"86","ind1b","TRZ",10,0.989569627655388
"87","ind1b","VEH",0.01,1.02986662594176
"88","ind1b","VEH",0.05,1.0872191801265
"89","ind1b","VEH",0.1,1.07949428996395
"90","ind1b","VEH",0.5,1.05919753955567
"91","ind1b","VEH",1,1.00290742335041
"92","ind1b","VEH",5,0.927686736635365
"93","ind1b","VEH",10,0.973943749086289
"94","ind1b","VEH",50,0.990526454065666
"95","ind2a","DOX",0.01,0.859501551541305
"96","ind2a","DOX",0.05,0.968027053030732
"97","ind2a","DOX",0.1,1.02895191747355
"98","ind2a","DOX",0.5,0.889432393796786
"99","ind2a","DOX",1,0.767303457573234
"100","ind2a","DOX",5,0.576707516558955
"101","ind2a","DOX",10,0.474527026156838
"102","ind2a","DOX",50,0.00648708074503158
"103","ind2a","EPI",0.01,0.896116891212686
"104","ind2a","EPI",0.05,0.878928632067463
"105","ind2a","EPI",0.1,0.975062197417968
"106","ind2a","EPI",0.5,0.817365748092874
"107","ind2a","EPI",1,0.69446933353998
"108","ind2a","EPI",5,0.534495893476613
"109","ind2a","EPI",10,0.423101987198475
"110","ind2a","EPI",50,0
"111","ind2a","DNR",0.01,0.94876750803374
"112","ind2a","DNR",0.05,0.857308280038485
"113","ind2a","DNR",0.1,0.838732181280258
"114","ind2a","DNR",0.5,0.772304854815312
"115","ind2a","DNR",1,0.725285329936577
"116","ind2a","DNR",5,0.211659040324134
"117","ind2a","DNR",10,0.0027818202892578
"118","ind2a","DNR",50,0.00185309510558274
"119","ind2a","MTX",0.01,0.891605459953212
"120","ind2a","MTX",0.05,0.881725621144377
"121","ind2a","MTX",0.1,1.09803377712032
"122","ind2a","MTX",0.5,0.969458236116357
"123","ind2a","MTX",1,0.818148025272253
"124","ind2a","MTX",5,0.00706482919349295
"125","ind2a","MTX",10,0.000814583950442387
"126","ind2a","MTX",50,0.00079302487515006
"127","ind2a","TRZ",0.01,0.842283928608398
"128","ind2a","TRZ",0.05,0.868418699417058
"129","ind2a","TRZ",0.1,0.940823499417249
"130","ind2a","TRZ",0.5,1.01697058256198
"131","ind2a","TRZ",1,0.931766611856842
"132","ind2a","TRZ",5,0.938639228085744
"133","ind2a","TRZ",10,0.882911123417518
"134","ind2a","VEH",0.01,0.959932509678443
"135","ind2a","VEH",0.05,0.892607391476598
"136","ind2a","VEH",0.1,1.03475490855299
"137","ind2a","VEH",0.5,1.008112717962
"138","ind2a","VEH",1,0.963419890880824
"139","ind2a","VEH",5,0.979893393726491
"140","ind2a","VEH",10,0.995816322588123
"141","ind2a","VEH",50,0.937188811049189
"142","ind2b","DOX",0.01,0.978157636214991
"143","ind2b","DOX",0.05,0.86633212766211
"144","ind2b","DOX",0.1,0.831517563461973
"145","ind2b","DOX",0.5,1.02934689785765
"146","ind2b","DOX",1,0.792555036477899
"147","ind2b","DOX",5,0.492319184557632
"148","ind2b","DOX",10,0.723975826918728
"149","ind2b","DOX",50,0.0262456865042249
"150","ind2b","EPI",0.01,1.02473347091091
"151","ind2b","EPI",0.05,0.973778885459247
"152","ind2b","EPI",0.1,0.764636427549149
"153","ind2b","EPI",0.5,1.04437585861211
"154","ind2b","EPI",1,0.646752020245241
"155","ind2b","EPI",5,0.392320355963085
"156","ind2b","EPI",10,0.555623843067619
"157","ind2b","EPI",50,0.00142453098215226
"158","ind2b","DNR",0.01,1.15570276649612
"159","ind2b","DNR",0.05,0.977684902692202
"160","ind2b","DNR",0.1,0.754915635121902
"161","ind2b","DNR",0.5,1.03776408123863
"162","ind2b","DNR",1,0.724075302272699
"163","ind2b","DNR",5,0.168780377697161
"164","ind2b","DNR",10,0.00883456599854258
"165","ind2b","DNR",50,0
"166","ind2b","MTX",0.01,0.876167816076798
"167","ind2b","MTX",0.05,1.05989077452955
"168","ind2b","MTX",0.1,0.837591960227986
"169","ind2b","MTX",0.5,1.19394794490031
"170","ind2b","MTX",1,0.757605719036151
"171","ind2b","MTX",5,0.0180272540994686
"172","ind2b","MTX",10,0.0139271624689042
"173","ind2b","MTX",50,0.00148039494223667
"174","ind2b","TRZ",0.01,1.11227187615381
"175","ind2b","TRZ",0.05,0.857907822760371
"176","ind2b","TRZ",0.1,0.726352097823085
"177","ind2b","TRZ",0.5,1.15720584413173
"178","ind2b","TRZ",1,0.942448989571745
"179","ind2b","TRZ",5,0.856784870487611
"180","ind2b","TRZ",10,1.14908932146178
"181","ind2b","VEH",0.01,1.05130643757582
"182","ind2b","VEH",0.05,1.08633311087011
"183","ind2b","VEH",0.1,0.921800537323926
"184","ind2b","VEH",0.5,1.19347269149371
"185","ind2b","VEH",1,1.03892181253591
"186","ind2b","VEH",5,1.11587925693247
"187","ind2b","VEH",10,1.29148414007991
"188","ind2b","VEH",50,0.998095038961121
"189","ind3a","DOX",0.01,0.984949600507963
"190","ind3a","DOX",0.05,0.894748073705656
"191","ind3a","DOX",0.1,0.865287942242339
"192","ind3a","DOX",0.5,1.01996742527622
"193","ind3a","DOX",1,0.288324271393512
"194","ind3a","DOX",5,0.442640774882943
"195","ind3a","DOX",10,0.548430712265664
"196","ind3a","DOX",50,0.0544549594334181
"197","ind3a","EPI",0.01,1.2897358987248
"198","ind3a","EPI",0.05,1.08575851040825
"199","ind3a","EPI",0.1,1.18752379542282
"200","ind3a","EPI",0.5,0.858490704465084
"201","ind3a","EPI",1,0.282427303972023
"202","ind3a","EPI",5,0.492796850430523
"203","ind3a","EPI",10,0.434741173212047
"204","ind3a","EPI",50,0.018141424555977
"205","ind3a","DNR",0.01,0.958425379649717
"206","ind3a","DNR",0.05,1.1276973811502
"207","ind3a","DNR",0.1,1.03180654850036
"208","ind3a","DNR",0.5,0.571587357485584
"209","ind3a","DNR",1,0.275294636354334
"210","ind3a","DNR",5,0.101925516306095
"211","ind3a","DNR",10,0.129994679145165
"212","ind3a","DNR",50,0.0378355488456015
"213","ind3a","MTX",0.01,1.02527250119054
"214","ind3a","MTX",0.05,1.06401016355007
"215","ind3a","MTX",0.1,1.10040434592552
"216","ind3a","MTX",0.5,1.17529456647738
"217","ind3a","MTX",1,0.300192010208442
"218","ind3a","MTX",5,0.0395932098368513
"219","ind3a","MTX",10,0.0529898830869705
"220","ind3a","MTX",50,0.0172423316272048
"221","ind3a","TRZ",0.01,1.28768883274247
"222","ind3a","TRZ",0.05,1.02016776117364
"223","ind3a","TRZ",0.1,1.04112201587772
"224","ind3a","TRZ",0.5,1.62385548267817
"225","ind3a","TRZ",1,0.528433612018997
"226","ind3a","TRZ",5,0.999244465748139
"227","ind3a","TRZ",10,1.06579091227149
"228","ind3a","VEH",0.01,1.16801814910842
"229","ind3a","VEH",0.05,1.00187223290805
"230","ind3a","VEH",0.1,1.12471974279792
"231","ind3a","VEH",0.5,1.15099008084988
"232","ind3a","VEH",1,0.564385868289424
"233","ind3a","VEH",5,1.16885971321849
"234","ind3a","VEH",10,1.55795176244205
"235","ind3a","VEH",50,1.07324078506462
"236","ind3b","DOX",0.01,0.984949600507963
"237","ind3b","DOX",0.05,0.894748073705656
"238","ind3b","DOX",0.1,0.710523192533926
"239","ind3b","DOX",0.5,0.908506973929387
"240","ind3b","DOX",1,0.444767365568579
"241","ind3b","DOX",5,0.520006181929927
"242","ind3b","DOX",10,0.324462373705795
"243","ind3b","DOX",50,0.0544549594334181
"244","ind3b","EPI",0.01,0.798984073231388
"245","ind3b","EPI",0.05,1.18736964090269
"246","ind3b","EPI",0.1,0.975124183687648
"247","ind3b","EPI",0.5,0.655094940536883
"248","ind3b","EPI",1,0.548061181150651
"249","ind3b","EPI",5,0.469326545154933
"250","ind3b","EPI",10,0.257201410959081
"251","ind3b","EPI",50,0.018141424555977
"252","ind3b","DNR",0.01,0.958425379649717
"253","ind3b","DNR",0.05,1.1276973811502
"254","ind3b","DNR",0.1,0.820273301758576
"255","ind3b","DNR",0.5,0.503818645076179
"256","ind3b","DNR",1,0.564419742574013
"257","ind3b","DNR",5,0.0970711366951332
"258","ind3b","DNR",10,0.0769074036541769
"259","ind3b","DNR",50,0.0378355488456015
"260","ind3b","MTX",0.01,1.02783216043177
"261","ind3b","MTX",0.05,1.06401016355007
"262","ind3b","MTX",0.1,0.903586853318512
"263","ind3b","MTX",0.5,1.03594893815153
"264","ind3b","MTX",1,0.615465304258758
"265","ind3b","MTX",5,0.0377075145023549
"266","ind3b","MTX",10,0.0313498548937253
"267","ind3b","MTX",50,0.0172423316272048
"268","ind3b","TRZ",0.01,1.07103770922624
"269","ind3b","TRZ",0.05,1.02016776117364
"270","ind3b","TRZ",0.1,0.854907716178037
"271","ind3b","TRZ",0.5,1.32941229726584
"272","ind3b","TRZ",1,1.08341509014846
"273","ind3b","TRZ",5,0.978638818349438
"274","ind3b","TRZ",10,0.661525055782636
"275","ind3b","VEH",0.01,1.16801814910842
"276","ind3b","VEH",0.05,1.00187223290805
"277","ind3b","VEH",0.1,0.923553216618035
"278","ind3b","VEH",0.5,1.01452604826819
"279","ind3b","VEH",1,0.859421470265201
"280","ind3b","VEH",5,1.11319074076136
"281","ind3b","VEH",10,0.921714841374908
"282","ind3b","VEH",50,1.07324078506462
"283","ind4a","DOX",0.01,1.04692197779299
"284","ind4a","DOX",0.05,0.958403723016475
"285","ind4a","DOX",0.1,0.831052845848764
"286","ind4a","DOX",0.5,0.831818075327042
"287","ind4a","DOX",1,0.468429213340928
"288","ind4a","DOX",5,0.339423034596253
"289","ind4a","DOX",10,0.255955095273617
"290","ind4a","DOX",50,0.013118712096022
"291","ind4a","EPI",0.01,1.07776105952809
"292","ind4a","EPI",0.05,1.03029196225454
"293","ind4a","EPI",0.1,0.879288472145614
"294","ind4a","EPI",0.5,0.835200500188888
"295","ind4a","EPI",1,0.501793399151953
"296","ind4a","EPI",5,0.391779622851067
"297","ind4a","EPI",10,0.215017357221368
"298","ind4a","EPI",50,0
"299","ind4a","DNR",0.01,1.01762204247097
"300","ind4a","DNR",0.05,1.01087099730348
"301","ind4a","DNR",0.1,0.919143487510835
"302","ind4a","DNR",0.5,0.560797256575229
"303","ind4a","DNR",1,0.385121194861085
"304","ind4a","DNR",5,0.122740170864923
"305","ind4a","DNR",10,0.0027960019083718
"306","ind4a","DNR",50,0
"307","ind4a","MTX",0.01,0.8528704573193
"308","ind4a","MTX",0.05,0.933407455987539
