"","SampleID","sDrug","Conc","Mean","indv"
"1","ind1a","DOX",0.01,0.722374985305355,"1"
"2","ind1a","DOX",0.05,0.927626350567015,"1"
"3","ind1a","DOX",0.1,1.12761415404174,"1"
"4","ind1a","DOX",0.5,0.836639641393631,"1"
"5","ind1a","DOX",1,0.427695406427969,"1"
"6","ind1a","EPI",0.01,0.803840261858579,"1"
"7","ind1a","EPI",0.05,0.917574113760155,"1"
"8","ind1a","EPI",0.1,1.08270870854963,"1"
"9","ind1a","EPI",0.5,0.773496458437633,"1"
"10","ind1a","EPI",1,0.457137107593239,"1"
"11","ind1a","DNR",0.01,0.828844119202963,"1"
"12","ind1a","DNR",0.05,0.980300696490756,"1"
"13","ind1a","DNR",0.1,0.902562506621464,"1"
"14","ind1a","DNR",0.5,0.644439190817897,"1"
"15","ind1a","DNR",1,0.454674998108054,"1"
"16","ind1a","MTX",0.01,0.797064193557867,"1"
"17","ind1a","MTX",0.05,0.807589963389588,"1"
"18","ind1a","MTX",0.1,1.05623344633966,"1"
"19","ind1a","MTX",0.5,0.915987558176188,"1"
"20","ind1a","MTX",1,0.462329638879142,"1"
"21","ind1a","TRZ",0.01,0.688161259037207,"1"
"22","ind1a","TRZ",0.05,0.981416867577463,"1"
"23","ind1a","TRZ",0.1,1.03804296005933,"1"
"24","ind1a","TRZ",0.5,0.930477137453413,"1"
"25","ind1a","TRZ",1,0.820109492064147,"1"
"26","ind1a","VEH",0.01,0.790511300182214,"1"
"27","ind1a","VEH",0.05,0.957645771943924,"1"
"28","ind1a","VEH",0.1,0.960859201186566,"1"
"29","ind1a","VEH",0.5,1.02733353729766,"1"
"30","ind1a","VEH",1,0.802266723081051,"1"
"31","ind1b","DOX",0.01,1.21753207086133,"1"
"32","ind1b","DOX",0.05,1.28467128146847,"1"
"33","ind1b","DOX",0.1,0.616184737943378,"1"
"34","ind1b","DOX",0.5,0.659480247700926,"1"
"35","ind1b","DOX",1,0.420279930082701,"1"
"36","ind1b","EPI",0.01,1.01160999117627,"1"
"37","ind1b","EPI",0.05,1.11441723777709,"1"
"38","ind1b","EPI",0.1,0.551563432240065,"1"
"39","ind1b","EPI",0.5,0.503826498919139,"1"
"40","ind1b","EPI",1,0.438013618220239,"1"
"41","ind1b","DNR",0.01,1.19660201588271,"1"
"42","ind1b","DNR",0.05,1.22052898026656,"1"
"43","ind1b","DNR",0.1,0.46091881580827,"1"
"44","ind1b","DNR",0.5,0.625584949104251,"1"
"45","ind1b","DNR",1,0.462834694285739,"1"
"46","ind1b","MTX",0.01,1.37872123803706,"1"
"47","ind1b","MTX",0.05,1.02971783127274,"1"
"48","ind1b","MTX",0.1,0.500392013512492,"1"
"49","ind1b","MTX",0.5,0.832731474195981,"1"
"50","ind1b","MTX",1,0.617278877844738,"1"
"51","ind1b","TRZ",0.01,1.1716478313989,"1"
"52","ind1b","TRZ",0.05,1.08259576861705,"1"
"53","ind1b","TRZ",0.1,0.492058890261426,"1"
"54","ind1b","TRZ",0.5,0.974204262156589,"1"
"55","ind1b","TRZ",1,0.942585635647387,"1"
"56","ind1b","VEH",0.01,1.02986662594176,"1"
"57","ind1b","VEH",0.05,1.0872191801265,"1"
"58","ind1b","VEH",0.1,1.07949428996395,"1"
"59","ind1b","VEH",0.5,1.05919753955567,"1"
