"","ENTREZID","SYMBOL","ensembl_gene_id","hgnc_symbol"
"1",653635,"WASH7P",NA,NA
"2",729737,"LOC729737",NA,NA
"3",102723897,"WASH9P",NA,NA
"4",100132287,"LOC100132287",NA,NA
"5",102465432,NA,NA,NA
"6",100133331,NA,NA,NA
"7",643837,"LINC01128","ENSG00000228794","LINC01128"
"8",148398,"SAMD11","ENSG00000187634","SAMD11"
"9",26155,"NOC2L","ENSG00000188976","NOC2L"
"10",339451,"KLHL17","ENSG00000187961","KLHL17"
"11",57801,"HES4","ENSG00000188290","HES4"
"12",9636,"ISG15","ENSG00000187608","ISG15"
"13",375790,"AGRN","ENSG00000188157","AGRN"
"14",54991,"C1orf159","ENSG00000131591","C1orf159"
"15",51150,"SDF4","ENSG00000078808","SDF4"
"16",126792,"B3GALT6","ENSG00000176022","B3GALT6"
"17",118424,"UBE2J2","ENSG00000160087","UBE2J2"
"18",6339,"SCNN1D","ENSG00000162572","SCNN1D"
"19",116983,"ACAP3","ENSG00000131584","ACAP3"
"20",126789,"PUSL1","ENSG00000169972","PUSL1"
"21",54973,"INTS11","ENSG00000127054","INTS11"
"22",80772,"CPTP","ENSG00000224051","CPTP"
"23",83756,"TAS1R3","ENSG00000169962","TAS1R3"
"24",1855,"DVL1","ENSG00000107404","DVL1"
"25",54587,"MXRA8","ENSG00000162576","MXRA8"
"26",54998,"AURKAIP1","ENSG00000175756","AURKAIP1"
"27",81669,"CCNL2","ENSG00000221978","CCNL2"
"28",148413,"MRPL20-AS1","ENSG00000224870","MRPL20-AS1"
"29",55052,"MRPL20","ENSG00000242485","MRPL20"
"30",64856,"VWA1","ENSG00000179403","VWA1"
"31",219293,"ATAD3C","ENSG00000215915","ATAD3C"
"32",83858,"ATAD3B","ENSG00000160072","ATAD3B"
"33",55210,"ATAD3A","ENSG00000197785","ATAD3A"
"34",339453,"TMEM240","ENSG00000205090","TMEM240"
"35",29101,"SSU72","ENSG00000160075","SSU72"
"36",643988,"FNDC10","ENSG00000228594","FNDC10"
"37",142678,"MIB2","ENSG00000197530","MIB2"
"38",8510,"MMP23B","ENSG00000189409","MMP23B"
"39",984,"CDK11B","ENSG00000248333","CDK11B"
"40",728661,"SLC35E2B","ENSG00000189339","SLC35E2B"
"41",8511,"MMP23A",NA,NA
"42",728642,"CDK11A","ENSG00000008128","CDK11A"
"43",9906,"SLC35E2A",NA,NA
"44",65220,"NADK","ENSG00000008130","NADK"
"45",2782,"GNB1","ENSG00000078369","GNB1"
"46",339456,"TMEM52","ENSG00000178821","TMEM52"
"47",5590,"PRKCZ","ENSG00000067606","PRKCZ"
"48",100506504,"PRKCZ-AS1","ENSG00000182873","PRKCZ-AS1"
"49",199990,"FAAP20","ENSG00000162585","FAAP20"
"50",6497,"SKI","ENSG00000157933","SKI"
"51",79906,"MORN1","ENSG00000116151","MORN1"
"52",11079,"RER1","ENSG00000157916","RER1"
"53",5192,"PEX10","ENSG00000157911","PEX10"
"54",55229,"PANK4","ENSG00000273494","PANK4"
"55",127281,"PRXL2B","ENSG00000275125","PRXL2B"
"56",440556,"PRDM16-DT","ENSG00000177133","PRDM16-DT"
"57",63976,"PRDM16","ENSG00000142611","PRDM16"
"58",27237,"ARHGEF16","ENSG00000130762","ARHGEF16"
"59",1953,"MEGF6","ENSG00000162591","MEGF6"
"60",127262,"TPRG1L","ENSG00000158109","TPRG1L"
"61",49856,"WRAP73","ENSG00000116213","WRAP73"
"62",57212,"TP73-AS1","ENSG00000227372","TP73-AS1"
"63",148870,"CCDC27","ENSG00000162592","CCDC27"
"64",388588,"SMIM1","ENSG00000235169","SMIM1"
"65",57470,"LRRC47","ENSG00000130764","LRRC47"
"66",9731,"CEP104","ENSG00000116198","CEP104"
"67",1677,"DFFB","ENSG00000169598","DFFB"
"68",339448,"C1orf174","ENSG00000198912","C1orf174"
"69",261734,"NPHP4","ENSG00000131697","NPHP4"
"70",8514,"KCNAB2","ENSG00000069424","KCNAB2"
"71",6146,"RPL22","ENSG00000116251","RPL22"
"72",102724450,"RNF207-AS1","ENSG00000226944","RNF207-AS1"
"73",388591,"RNF207","ENSG00000158286","RNF207"
