"","entrezgene_id","ensembl_gene_id","hgnc_symbol"
"1",215,"ENSG00000101986","ABCD1"
"2",345651,"ENSG00000169067","ACTBL2"
"3",8728,"ENSG00000135074","ADAM19"
"4",9743,"ENSG00000134909","ARHGAP32"
"5",51329,"ENSG00000182196","ARL6IP4"
"6",22901,"ENSG00000141337","ARSG"
"7",9048,"ENSG00000117407","ARTN"
"8",79572,"ENSG00000133657","ATP13A3"
"9",91647,"ENSG00000171953","ATPAF2"
"10",222255,"ENSG00000146776","ATXN7L1"
"11",63827,"ENSG00000132692","BCAN"
"12",684,"ENSG00000130303","BST2"
"13",84811,"ENSG00000137656","BUD13"
"14",60686,"ENSG00000100802","C14orf93"
"15",148223,"ENSG00000119559","C19orf25"
"16",114898,"ENSG00000145861","C1QTNF2"
"17",81617,"ENSG00000102547","CAB39L"
"18",26256,"ENSG00000154040","CABYR"
"19",23125,"ENSG00000108509","CAMTA2"
"20",79872,"ENSG00000105879","CBLL1"
"21",729440,"ENSG00000104983","CCDC61"
"22",317762,"ENSG00000205476","CCDC85C"
"23",9332,"ENSG00000177575","CD163"
"24",8556,"ENSG00000079335","CDC14A"
"25",389383,"ENSG00000196748","CLPSL2"
"26",129607,"ENSG00000134326","CMPK2"
"27",1310,"ENSG00000082293","COL19A1"
"28",1284,"ENSG00000134871","COL4A2"
"29",51226,"ENSG00000005243","COPZ2"
"30",57175,"ENSG00000172725","CORO1B"
"31",1329,"ENSG00000135940","COX5B"
"32",1419,"ENSG00000182187","CRYGB"
"33",54205,"ENSG00000172115","CYCS"
"34",1551,"ENSG00000160870","CYP3A7"
"35",80067,"ENSG00000115827","DCAF17"
"36",10521,"ENSG00000100201","DDX17"
"37",55794,"ENSG00000182810","DDX28"
"38",79139,"ENSG00000136986","DERL1"
"39",9993,"ENSG00000070413","DGCR2"
"40",54487,"ENSG00000128191","DGCR8"
"41",58512,"ENSG00000116544","DLGAP3"
"42",54431,"ENSG00000077232","DNAJC10"
"43",128853,"ENSG00000149599","DUSP15"
"44",23644,"ENSG00000038358","EDC4"
"45",84285,"ENSG00000175376","EIF1AD"
"46",5169,"ENSG00000154269","ENPP3"
"47",2059,"ENSG00000151491","EPS8"
"48",5394,"ENSG00000171824","EXOSC10"
"49",2159,"ENSG00000126218","F10"
"50",65991,"ENSG00000165775","FUNDC2"
"51",374378,"ENSG00000110328","GALNT18"
"52",124975,"ENSG00000167741","GGT6"
"53",2689,"ENSG00000136487","GH2"
"54",200504,"ENSG00000183607","GKN2"
"55",144321,"ENSG00000180481","GLIPR1L2"
"56",10539,"ENSG00000108010","GLRX3"
"57",23151,"ENSG00000075240","GRAMD4"
"58",79712,"ENSG00000121964","GTDC1"
"59",2984,"ENSG00000070019","GUCY2C"
"60",23354,"ENSG00000249115","HAUS5"
"61",64224,"ENSG00000122557","HERPUD2"
"62",3280,"ENSG00000114315","HES1"
"63",8479,"ENSG00000149929","HIRIP3"
"64",3206,"ENSG00000253293","HOXA10"
"65",30811,"ENSG00000142149","HUNK"
"66",28981,"ENSG00000122970","IFT81"
"67",3601,"ENSG00000134470","IL15RA"
"68",10068,"ENSG00000137496","IL18BP"
"69",64423,"ENSG00000203485","INF2"
"70",3621,"ENSG00000153487","ING1"
"71",3682,"ENSG00000083457","ITGAE"
"72",3770,"ENSG00000182324","KCNJ14"
"73",51780,"ENSG00000120733","KDM3B"
"74",377007,"ENSG00000168427","KLHL30"
"75",3858,"ENSG00000186395","KRT10"
"76",8687,"ENSG00000171360","KRT38"
"77",83896,"ENSG00000262068","KRTAP3-1"
"78",83896,"ENSG00000212901","KRTAP3-1"
"79",3964,"ENSG00000116977","LGALS8"
"80",1241,"ENSG00000285456","LTB4R"
"81",1241,"ENSG00000213903","LTB4R"
"82",27076,"ENSG00000124466","LYPD3"
"83",149175,"ENSG00000185090","MANEAL"
"84",9782,"ENSG00000015479","MATR3"
"85",125997,"ENSG00000230522","MBD3L2"
"86",4289,"ENSG00000128585","MKLN1"
"87",9526,"ENSG00000129255","MPDU1"
"88",4358,"ENSG00000115204","MPV17"
"89",57380,"ENSG00000124532","MRS2"
"90",84437,"ENSG00000170903","MSANTD4"
"91",4609,"ENSG00000136997","MYC"
"92",80018,"ENSG00000111300","NAA25"
"93",9,"ENSG00000171428","NAT1"
"94",80762,"ENSG00000131507","NDFIP1"
"95",22981,"ENSG00000101004","NINL"
"96",4886,"ENSG00000164128","NPY1R"
"97",4925,"ENSG00000070081","NUCB2"
"98",121130,"ENSG00000175398","OR10P1"
"99",390072,"ENSG00000181074","OR52N4"
"100",390144,"ENSG00000205029","OR5D16"
"101",219865,"ENSG00000255298","OR8G5"
"102",114883,"ENSG00000117859","OSBPL9"
"103",389860,"ENSG00000238269","PAGE2B"
"104",54873,"ENSG00000099260","PALMD"
"105",5153,"ENSG00000123360","PDE1B"
"106",9600,"ENSG00000110697","PITPNM1"
"107",51177,"ENSG00000023902","PLEKHO1"
"108",10721,"ENSG00000051341","POLQ"
"109",9883,"ENSG00000196313","POM121"
"110",5463,"ENSG00000184271","POU6F1"
"111",84988,"ENSG00000160972","PPP1R16A"
"112",79057,"ENSG00000130032","PRRG3"
"113",5783,"ENSG00000163629","PTPN13"
"114",83480,"ENSG00000110060","PUS3"
"115",100996939,"ENSG00000145337","PYURF"
"116",64926,"ENSG00000105122","RASAL3"
"117",11342,"ENSG00000082996","RNF13"
"118",6139,"ENSG00000265681","RPL17"
