"Individual","cell.line","time","treatment","RIN","samplenames","myfiles"
"1","Ind1",75,"3h","daunorubicin",9.3,"MCW_RM_R_11_S72","MCW_RM_R_11_S72_R1_001.counts.txt"
"2","Ind1",75,"3h","doxorubicin",9.8,"MCW_RM_R_12_S1_","MCW_RM_R_12_S1_R1_001.counts.txt"
"3","Ind1",75,"3h","epirubicin",9.8,"MCW_RM_R_13_S2_","MCW_RM_R_13_S2_R1_001.counts.txt"
"4","Ind1",75,"3h","mitoxantrone",10,"MCW_RM_R_14_S3_","MCW_RM_R_14_S3_R1_001.counts.txt"
"5","Ind1",75,"3h","trastuzumab",9.6,"MCW_RM_R_15_S4_","MCW_RM_R_15_S4_R1_001.counts.txt"
"6","Ind1",75,"3h","vehicle",9.9,"MCW_RM_R_16_S5_","MCW_RM_R_16_S5_R1_001.counts.txt"
"7","Ind1",75,"24h","daunorubicin",7.8,"MCW_RM_R_17_S6_","MCW_RM_R_17_S6_R1_001.counts.txt"
"8","Ind1",75,"24h","doxorubicin",8.7,"MCW_RM_R_18_S7_","MCW_RM_R_18_S7_R1_001.counts.txt"
"9","Ind1",75,"24h","epirubicin",8.6,"MCW_RM_R_19_S8_","MCW_RM_R_19_S8_R1_001.counts.txt"
"10","Ind1",75,"24h","mitoxantrone",9.1,"MCW_RM_R_20_S9_","MCW_RM_R_20_S9_R1_001.counts.txt"
"11","Ind1",75,"24h","trastuzumab",9.4,"MCW_RM_R_21_S10","MCW_RM_R_21_S10_R1_001.counts.txt"
"12","Ind1",75,"24h","vehicle",9.3,"MCW_RM_R_22_S11","MCW_RM_R_22_S11_R1_001.counts.txt"
"13","Ind2",87,"3h","daunorubicin",9.4,"MCW_RM_R_23_S12","MCW_RM_R_23_S12_R1_001.counts.txt"
"14","Ind2",87,"3h","doxorubicin",9.6,"MCW_RM_R_24_S13","MCW_RM_R_24_S13_R1_001.counts.txt"
"15","Ind2",87,"3h","epirubicin",9.9,"MCW_RM_R_25_S14","MCW_RM_R_25_S14_R1_001.counts.txt"
"16","Ind2",87,"3h","mitoxantrone",9.4,"MCW_RM_R_26_S15","MCW_RM_R_26_S15_R1_001.counts.txt"
"17","Ind2",87,"3h","trastuzumab",9.9,"MCW_RM_R_27_S16","MCW_RM_R_27_S16_R1_001.counts.txt"
"18","Ind2",87,"3h","vehicle",9.8,"MCW_RM_R_28_S17","MCW_RM_R_28_S17_R1_001.counts.txt"
"19","Ind2",87,"24h","daunorubicin",9.5,"MCW_RM_R_29_S18","MCW_RM_R_29_S18_R1_001.counts.txt"
"20","Ind2",87,"24h","doxorubicin",9.9,"MCW_RM_R_30_S19","MCW_RM_R_30_S19_R1_001.counts.txt"
"21","Ind2",87,"24h","epirubicin",9.6,"MCW_RM_R_31_S20","MCW_RM_R_31_S20_R1_001.counts.txt"
"22","Ind2",87,"24h","mitoxantrone",9.9,"MCW_RM_R_32_S21","MCW_RM_R_32_S21_R1_001.counts.txt"
"23","Ind2",87,"24h","trastuzumab",8.8,"MCW_RM_R_33_S22","MCW_RM_R_33_S22_R1_001.counts.txt"
"24","Ind2",87,"24h","vehicle",9.5,"MCW_RM_R_34_S23","MCW_RM_R_34_S23_R1_001.counts.txt"
"25","Ind3",77,"3h","daunorubicin",9.3,"MCW_RM_R_35_S60","MCW_RM_R_35_S60_R1_001.counts.txt"
