"","x"
"1","653635"
"2","100132287"
"3","102465432"
"4","100133331"
"5","79854"
"6","339451"
"7","84069"
"8","57801"
"9","51150"
"10","54973"
"11","80772"
"12","1855"
"13","54587"
"14","54998"
"15","81669"
"16","148413"
"17","55052"
"18","102724312"
"19","64856"
"20","219293"
"21","29101"
"22","8510"
"23","984"
"24","8511"
"25","728642"
"26","9906"
"27","65220"
"28","2782"
"29","105378949"
"30","100506504"
"31","199990"
"32","79906"
"33","100129534"
"34","11079"
"35","5192"
"36","55229"
"37","440556"
"38","27237"
"39","1953"
"40","127262"
"41","49856"
"42","57212"
"43","148870"
"44","57470"
"45","9731"
"46","1677"
"47","339448"
"48","6146"
"49","102724450"
"50","23463"
"51","8718"
"52","57449"
"53","79707"
"54","3104"
"55","9903"
"56","148479"
"57","90326"
"58","55735"
"59","23261"
"60","3604"
"61","11315"
"62","54206"
"63","473"
"64","2023"
"65","80045"
"66","9563"
"67","80176"
"68","84275"
"69","199953"
"70","101929074"
"71","22883"
"72","56998"
"73","84328"
"74","64802"
"75","10277"
"76","23095"
"77","378708"
"78","1676"
"79","5195"
"80","23435"
"81","10747"
"82","6723"
"83","2475"
"84","29914"
"85","26270"
"86","10459"
"87","4524"
"88","1185"
"89","4878"
"90","5351"
"91","60672"
"92","55187"
"93","343069"
"94","126755"
"95","10630"
"96","7799"
"97","79180"
"98","842"
"99","23341"
"100","79814"
"101","84301"
"102","6248"
"103","284723"
"104","440567"
"105","23013"
"106","7709"
"107","348487"
"108","128272"
"109","79363"
"110","54455"
"111","26099"
"112","55707"
"113","55672"
"114","84809"
"115","11209"
"116","26869"
"117","26870"
"118","4237"
"119","23400"
"120","6390"
"121","11240"
"122","8659"
"123","23352"
"124","23065"
"125","51154"
"126","22977"
"127","100506730"
"128","8574"
"129","54896"
"130","832"
"131","440574"
"132","644068"
"133","255104"
"134","127733"
"135","55450"
"136","79594"
"137","65018"
"138","1650"
"139","50809"
"140","8672"
"141","1889"
"142","84224"
"143","84196"
"144","401944"
"145","3339"
"146","29092"
"147","998"
"148","9923"
"149","23028"
"150","7798"
"151","100996511"
"152","80818"
"153","55616"
"154","6135"
"155","55629"
"156","58985"
"157","90529"
"158","57185"
"159","11123"
"160","100506985"
"161","10250"
"162","25932"
"163","23585"
"164","6006"
"165","55219"
"166","57134"
"167","56181"
"168","79000"
"169","3925"
"170","5051"
"171","79927"
"172","51042"
"173","10256"
"174","83442"
"175","91544"
"176","79947"
"177","3151"
"178","8289"
"179","63906"
"180","10726"
"181","388610"
"182","23038"
"183","644961"
"184","2827"
"185","10163"
"186","27245"
"187","2537"
"188","199870"
"189","5511"
"190","27293"
"191","55113"
"192","2140"
"193","93974"
"194","54797"
"195","65979"
"196","1104"
"197","6080"
"198","54952"
"199","85028"
"200","51441"
"201","2035"
"202","6429"
"203","51102"
"204","7805"
"205","9698"
"206","347735"
"207","64129"
"208","553115"
"209","1307"
"210","90853"
"211","8073"
"212","10657"
"213","23633"
"214","56063"
"215","65108"
"216","5928"
"217","57648"
"218","64766"
"219","113452"
"220","204"
"221","113451"
"222","55223"
"223","149076"
"224","1912"
"225","7579"
"226","114784"
"227","113444"
"228","653160"
"229","79932"
"230","23154"
"231","5690"
"232","127703"
"233","192670"
"234","192669"
"235","55700"
"236","9967"
"237","79729"
"238","55194"
"239","83931"
"240","84967"
"241","64960"
"242","728431"
"243","80149"
"244","64769"
"245","79753"
"246","54955"
"247","79693"
"248","127687"
"249","4520"
"250","3633"
"251","10946"
"252","51118"
"253","4725"
"254","23499"
"255","643314"
"256","8761"
"257","26508"
"258","10450"
"259","4610"
"260","84879"
"261","10487"
"262","6018"
"263","10269"
"264","65243"
"265","339559"
"266","127396"
"267","100130557"
"268","4802"
"269","163732"
"270","100132074"
"271","22887"
"272","284716"
"273","79717"
"274","728621"
"275","64175"
"276","79078"
"277","374969"
"278","114625"
"279","51058"
"280","6513"
"281","440584"
"282","10969"
"283","128218"
"284","7075"
"285","64834"
"286","112950"
"287","5792"
"288","9682"
"289","1802"
"290","533"
"291","8704"
"292","149473"
"293","55929"
"294","79033"
"295","79639"
"296","339541"
"297","6202"
"298","26811"
"299","7389"
"300","57643"
"301","84842"
"302","10327"
"303","4678"
"304","149483"
"305","60313"
"306","3652"
"307","8503"
"308","55624"
"309","541468"
"310","8438"
"311","10489"
"312","7388"
"313","8569"
"314","148932"
"315","64756"
"316","9813"
"317","51727"
"318","388630"
"319","54558"
"320","11124"
"321","114883"
"322","4898"
"323","51060"
"324","91408"
"325","84950"
"326","23318"
"327","2882"
"328","65260"
"329","55268"
"330","6342"
"331","127435"
"332","54987"
"333","4116"
"334","7804"
"335","55706"
"336","54432"
"337","115353"
"338","9528"
"339","127428"
"340","606495"
"341","51253"
"342","338094"
"343","7268"
"344","25973"
"345","1718"
"346","23358"
"347","5563"
"348","1600"
"349","114803"
"350","3725"
"351","83941"
"352","10207"
"353","163782"
"354","7398"
"355","85440"
"356","84938"
"357","29929"
"358","5236"
"359","205"
"360","9829"
"361","54741"
"362","3953"
"363","5142"
"364","84251"
"365","79819"
"366","57708"
"367","26135"
"368","55970"
"369","100289178"
"370","9077"
"371","79971"
"372","57554"
"373","55631"
"374","9295"
"375","81573"
"376","1491"
"377","5733"
"378","9406"
"379","257194"
"380","100526835"
"381","1429"
"382","127253"
"383","204962"
"384","34"
"385","1744"
"386","5876"
"387","256435"
"388","81849"
"389","26289"
"390","23032"
"391","374986"
"392","54810"
"393","64123"
"394","23266"
"395","79739"
"396","5567"
"397","80135"
"398","100505741"
"399","117178"
"400","23566"
"401","84144"
"402","148423"
"403","3491"
"404","54680"
"405","57489"
"406","51100"
"407","9653"
"408","8543"
"409","56267"
"410","494115"
"411","2635"
"412","2633"
"413","2634"
"414","115361"
"415","23507"
"416","84230"
"417","400761"
"418","492303"
"419","284695"
"420","84146"
"421","164045"
"422","7049"
"423","646817"
"424","23285"
"425","79871"
"426","7813"
"427","6125"
"428","22823"
"429","343099"
"430","54874"
"431","30836"
"432","9411"
"433","2152"
"434","126969"
"435","105378862"
"436","729970"
"437","199857"
"438","148534"
"439","100527978"
"440","58155"
"441","1806"
"442","51375"
"443","9890"
"444","391059"
"445","23443"
"446","64645"
"447","54482"
"448","1629"
"449","100506007"
"450","8634"
"451","148867"
"452","1301"
"453","55599"
"454","280"
"455","648740"
"456","277"
"457","284611"
"458","55119"
"459","6814"
"460","23155"
"461","6884"
"462","677766"
"463","6272"
"464","5686"
"465","127002"
"466","284613"
"467","2773"
"468","271"
"469","2948"
"470","2946"
"471","2944"
"472","2949"
"473","2947"
"474","10768"
"475","85369"
"476","388662"
"477","64783"
"478","10542"
"479","55791"
"480","128338"
"481","128344"
"482","515"
"483","128346"
"484","5906"
"485","100506343"
"486","3752"
"487","55917"
"488","7482"
"489","54879"
"490","829"
"491","100506392"
"492","9860"
"493","10745"
"494","54665"
"495","10717"
"496","204851"
"497","56944"
"498","51592"
"499","10286"
"500","163259"
"501","4893"
"502","7812"
"503","10100"
"504","81839"
"505","845"
"506","55356"
"507","126868"
"508","476"
"509","84852"
"510","965"
"511","3321"
"512","5738"
"513","8458"
"514","80263"
"515","54834"
"516","10352"
"517","101929147"
"518","644242"
"519","90874"
"520","4853"
"521","9554"
"522","728841"
"523","101929796"
"524","101060684"
"525","728855"
"526","653820"
"527","653464"
"528","647121"
"529","554282"
"530","100996712"
"531","284565"
"532","645166"
"533","647135"
"534","728833"
"535","103091866"
"536","100288142"
"537","101060254"
"538","101929780"
"539","653519"
"540","11126"
"541","27246"
"542","10623"
"543","200035"
"544","10401"
"545","8515"
"546","8799"
"547","10628"
"548","100132406"
"549","388677"
"550","149013"
"551","728989"
"552","171423"
"553","2330"
"554","51205"
"555","51463"
"556","100034743"
"557","200030"
"558","25832"
"559","100996763"
"560","400818"
"561","653513"
"562","100996761"
"563","101060226"
"564","57234"
"565","51027"
"566","10262"
"567","10903"
"568","56957"
"569","51177"
"570","51107"
"571","79630"
"572","148523"
"573","54460"
"574","9129"
"575","23248"
"576","1893"
"577","54507"
"578","2029"
"579","1513"
"580","405"
"581","9869"
"582","29956"
"583","8416"
"584","54964"
"585","388695"
"586","79005"
"587","6944"
"588","8394"
"589","5710"
"590","5993"
"591","8991"
"592","57530"
"593","7286"
"594","81609"
"595","65005"
"596","11022"
"597","6281"
"598","6282"
"599","6277"
"600","6275"
"601","6274"
"602","6273"
"603","6271"
"604","26097"
"605","23557"
"606","3608"
"607","65123"
"608","57459"
"609","9909"
"610","200186"
"611","27173"
"612","10899"
"613","5872"
"614","6232"
"615","7170"
"616","25912"
"617","9898"
"618","57198"
"619","103"
"620","3782"
"621","10654"
"622","57326"
"623","90780"
"624","101928120"
"625","6464"
"626","8751"
"627","1945"
"628","1944"
"629","1942"
"630","54344"
"631","200185"
"632","80128"
"633","4582"
"634","7059"
"635","4580"
"636","2630"
"637","2629"
"638","1196"
"639","57657"
"640","2224"
"641","55870"
"642","55249"
"643","54856"
"644","23208"
"645","6016"
"646","22889"
"647","6746"
"648","56893"
"649","9673"
"650","23381"
"651","84283"
"652","112770"
"653","4209"
"654","128240"
"655","54865"
"656","60484"
"657","1382"
"658","81875"
"659","5546"
"660","4914"
"661","375033"
"662","9826"
"663","440695"
"664","55243"
"665","912"
"666","54935"
"667","8407"
"668","93183"
"669","93185"
"670","480"
"671","844"
"672","8682"
"673","50717"
"674","1314"
"675","474338"
"676","23385"
"677","57216"
"678","55600"
"679","50848"
"680","100131187"
"681","7391"
"682","5202"
"683","4817"
"684","9191"
"685","8703"
"686","4720"
"687","336"
"688","6391"
"689","257177"
"690","3310"
"691","641311"
"692","127943"
"693","11266"
"694","22926"
"695","25903"
"696","9722"
"697","400793"
"698","127933"
"699","6675"
"700","6258"
"701","4259"
"702","223"
"703","54499"
"704","7371"
"705","117143"
"706","387597"
"707","5451"
"708","9019"
"709","25874"
"710","55827"
"711","23432"
"712","261726"
"713","375035"
"714","84832"
"715","9095"
"716","101928596"
"717","481"
"718","29922"
"719","8548"
"720","2153"
"721","92342"
"722","57147"
"723","22920"
"724","149281"
"725","92344"
"726","5396"
"727","2329"
"728","7151"
"729","23215"
"730","26052"
"731","5279"
"732","7292"
"733","100506023"
"734","100506046"
"735","60674"
"736","26802"
"737","26774"
"738","26770"
"739","692196"
"740","84614"
"741","149041"
"742","27101"
"743","63931"
"744","64326"
"745","60676"
"746","460"
"747","9462"
"748","9917"
"749","27"
"750","6646"
"751","163590"
"752","9857"
"753","5768"
"754","200058"
"755","84320"
"756","57710"
"757","2752"
"758","6041"
"759","80896"
"760","1660"
"761","3915"
"762","3918"
"763","23057"
"764","9887"
"765","10092"
"766","23179"
"767","23127"
"768","81563"
"769","6045"
"770","81627"
"771","10625"
"772","83872"
"773","7175"
"774","54953"
"775","5743"
"776","100616345"
