"","x"
"1","643837"
"2","148398"
"3","118424"
"4","83756"
"5","54626"
"6","9341"
"7","26232"
"8","374946"
"9","729614"
"10","11223"
"11","127707"
"12","23252"
"13","57576"
"14","400745"
"15","148898"
"16","1870"
"17","3399"
"18","11313"
"19","2582"
"20","3155"
"21","57822"
"22","864"
"23","25949"
"24","164091"
"25","2134"
"26","6195"
"27","55650"
"28","2810"
"29","115572"
"30","84065"
"31","84958"
"32","23673"
"33","83667"
"34","6883"
"35","9672"
"36","51538"
"37","200081"
"38","79140"
"39","81629"
"40","81493"
"41","127544"
"42","2707"
"43","63967"
"44","54936"
"45","55143"
"46","5453"
"47","64121"
"48","79647"
"49","353500"
"50","1298"
"51","149465"
"52","991"
"53","9048"
"54","11004"
"55","1263"
"56","149478"
"57","8643"
"58","51249"
"59","2166"
"60","6491"
"61","1031"
"62","4998"
"63","1376"
"64","23421"
"65","84455"
"66","4919"
"67","1647"
"68","55635"
"69","374987"
"70","126820"
"71","8915"
"72","9635"
"73","2959"
"74","388650"
"75","1810"
"76","163786"
"77","8556"
"78","2135"
"79","29899"
"80","57535"
"81","84722"
"82","83873"
"83","1435"
"84","3737"
"85","79084"
"86","389"
"87","6566"
"88","4803"
"89","4808"
"90","54855"
"91","26227"
"92","9939"
"93","5565"
"94","9557"
"95","2702"
"96","653598"
"97","440689"
"98","2209"
"99","8337"
"100","723790"
"101","333932"
"102","8349"
"103","23632"
"104","4170"
"105","56882"
"106","10500"
"107","5692"
"108","6284"
"109","126669"
"110","55585"
"111","1163"
"112","51043"
"113","55974"
"114","23623"
"115","28956"
"116","4000"
"117","128239"
"118","2117"
"119","57549"
"120","84824"
"121","8490"
"122","83540"
"123","55732"
"124","9910"
"125","148756"
"126","3140"
"127","51278"
"128","6004"
"129","116496"
"130","259266"
"131","9928"
"132","83479"
"133","23612"
"134","89796"
"135","25802"
"136","6051"
"137","127829"
"138","29089"
"139","5877"
"140","59349"
"141","7832"
"142","9911"
"143","148808"
"144","338382"
"145","3914"
"146","55733"
"147","7779"
"148","4751"
"149","51514"
"150","1063"
"151","7399"
"152","23219"
"153","3930"
"154","10637"
"155","375057"
"156","23456"
"157","440730"
"158","27184"
"159","80003"
"160","23029"
"161","88"
"162","6262"
"163","9156"
"164","55083"
"165","10531"
"166","80760"
"167","10659"
"168","219731"
"169","55388"
"170","22929"
"171","79723"
"172","80013"
"173","9317"
"174","389941"
"175","5305"
"176","22931"
"177","57608"
"178","220930"
"179","8829"
"180","5979"
"181","643236"
"182","240"
"183","11130"
"184","983"
"185","219790"
"186","84989"
"187","29119"
"188","26091"
"189","1763"
"190","5532"
"191","23053"
"192","100128292"
"193","11155"
"194","100144748"
"195","5728"
"196","355"
"197","3433"
"198","3434"
"199","9585"
"200","3363"
"201","3832"
"202","55165"
"203","51196"
"204","3070"
"205","80019"
"206","55118"
"207","282991"
"208","55662"
"209","84445"
"210","79955"
"211","81603"
"212","119032"
"213","9118"
"214","9148"
"215","1308"
"216","85450"
"217","22986"
"218","282996"
"219","282997"
"220","27250"
"221","92482"
"222","8036"
"223","150"
"224","340719"
"225","10579"
"226","4288"
"227","399827"
"228","101"
"229","51272"
"230","60626"
"231","3265"
"232","64787"
"233","55367"
"234","5441"
"235","54472"
"236","402778"
"237","1028"
"238","7262"
"239","10346"
"240","143425"
"241","374378"
"242","406"
"243","84280"
"244","5140"
"245","7251"
"246","55366"
"247","81930"
"248","79832"
"249","1643"
"250","8501"
"251","10978"
"252","219541"
"253","9404"
"254","374393"
"255","79073"
"256","220001"
"257","9415"
"258","2495"
"259","3619"
"260","80789"
"261","374395"
"262","54663"
"263","5837"
"264","55561"
"265","29901"
"266","113130"
"267","823"
"268","283130"
"269","83786"
"270","283131"
"271","101927789"
"272","8061"
"273","10589"
"274","11041"
"275","3177"
"276","91683"
"277","57804"
"278","57571"
"279","6199"
"280","57175"
"281","2950"
"282","595"
"283","220064"
"284","22941"
"285","3636"
"286","5138"
"287","10714"
"288","10825"
"289","100507050"
"290","220382"
"291","220042"
"292","60492"
"293","1075"
"294","85459"
"295","2977"
"296","143888"
"297","23086"
"298","1662"
"299","120379"
"300","4684"
"301","54970"
"302","57646"
"303","25996"
"304","8882"
"305","51092"
"306","57453"
"307","6330"
"308","55823"
"309","3014"
"310","79102"
"311","219899"
"312","100507283"
"313","9538"
"314","1111"
"315","50937"
"316","56980"
"317","283174"
"318","23310"
"319","5893"
"320","196513"
"321","775"
"322","2305"
"323","10867"
"324","57103"
"325","10635"
"326","55200"
"327","8079"
"328","83461"
"329","440081"
"330","4973"
"331","8531"
"332","55766"
"333","441631"
"334","1663"
"335","79857"
"336","196394"
"337","84920"
"338","144402"
"339","283463"
"340","51535"
"341","7421"
"342","10376"
"343","84790"
"344","10024"
"345","29127"
"346","9802"
"347","9700"
"348","54458"
"349","7786"
"350","57658"
"351","25946"
"352","29095"
"353","1606"
"354","1017"
"355","8914"
"356","27165"
"357","5557"
"358","115557"
"359","29110"
"360","23329"
"361","253827"
"362","4193"
"363","1368"
"364","10818"
"365","144453"
"366","8549"
"367","83591"
"368","55266"
"369","11103"
"370","22822"
"371","79738"
"372","4254"
"373","694"
"374","7112"
"375","23074"
"376","283431"
"377","55332"
"378","55010"
"379","121053"
"380","90488"
"381","23479"
"382","89910"
"383","4598"
"384","400073"
"385","488"
"386","84329"
"387","8315"
"388","84900"
"389","5985"
"390","5564"
"391","11113"
"392","51499"
"393","144404"
"394","338799"
"395","9735"
"396","55206"
"397","100293704"
"398","1967"
"399","196385"
"400","6433"
"401","4326"
"402","5426"
"403","9205"
