"sigVMT24.ENTREZID","sigVMT24.SYMBOL","sigVMT24.logFC","sigVMT24.AveExpr","sigVMT24.t","sigVMT24.P.Value","sigVMT24.adj.P.Val","sigVMT24.B"
"1643","DDB2",-1.53116743737323,5.18884519152182,-11.6354302310894,2.16194275673169e-17,2.85575741014778e-13,29.2676918616812
"1063","CENPF",3.79348612309723,4.72190961962256,11.4677851074641,4.05532151398435e-17,2.85575741014778e-13,28.6340220149235
"5347","PLK1",4.0154272376915,3.4143735372265,11.0871409573992,1.71258273709246e-16,8.04000508973675e-13,27.1339033401638
"24137","KIF4A",4.06378557779406,2.60059543054983,10.6145154331853,1.04821023100079e-15,3.69074822335379e-12,25.279055710614
"54443","ANLN",3.11084025085867,6.54929400045827,10.429528697366,2.14427712266707e-15,5.01275477871052e-12,24.7191552096123
"55247","NEIL3",4.97174264217675,0.0280719311340695,10.4027661431923,2.37891641693018e-15,5.01275477871052e-12,24.2908570105771
"3295","HSD17B4",1.34595279484191,6.52961071832431,10.3908626146355,2.49142881645652e-15,5.01275477871052e-12,24.5498881782474
"146909","KIF18B",4.48797045846991,0.706133599507172,10.142101367818,6.5658463360953e-15,1.15591724746958e-11,23.3727010303805
"10024","TROAP",4.17373079698081,1.23186895254509,9.9260415447144,1.53092166163186e-14,2.39572229804702e-11,22.5609911837431
"150468","CKAP2L",5.18730070138018,1.88421210519611,9.8372690444933,2.17053361691815e-14,3.05697954606752e-11,22.2837356120737
"23397","NCAPH",4.28929705591695,1.98370248631229,9.78569072054384,2.65949746072192e-14,3.40512383970977e-11,22.0954911379166
"10403","NDC80",4.47568812880316,2.71133935559152,9.72157560129298,3.42469988477655e-14,3.96672302623225e-11,21.9483778916518
"701","BUB1B",2.92575173333318,3.30370470437621,9.70464499454025,3.66141716423027e-14,3.96672302623225e-11,21.9597312412379
"4288","MKI67",5.01738178719792,4.52579174743959,9.53382495110549,7.19628141217324e-14,7.23945910064628e-11,21.2931412588007
"3006","H1-2",-2.15278603348317,5.37880822655472,-9.47970717111961,8.91865737094738e-14,8.37402469416153e-11,21.0298076054858
"9055","PRC1",3.36265145229155,4.22363614077468,9.38643130128725,1.29169638451706e-13,1.09971818432061e-10,20.7293500254047
"1062","CENPE",3.77579703691124,3.34931729583995,9.37957037331639,1.32740763514984e-13,1.09971818432061e-10,20.6971424488
"9824","ARHGAP11A",3.09607690387137,3.30267139523452,9.35764213720081,1.44833528497572e-13,1.12804676136975e-10,20.6156460743663
"1033","CDKN3",2.96875853904813,2.09982284637309,9.34520354776253,1.52178986552295e-13,1.12804676136975e-10,20.4817100889535
"8337","H2AC18",-1.74492337303628,4.86192606642999,-9.21706179639368,2.53507596332775e-13,1.7852004933754e-10,20.0226438974485
"55355","HJURP",4.32309897629424,2.31719380815691,9.15831104138998,3.20464905880115e-13,2.14925130210264e-10,19.7723062018754
"89839","ARHGAP11B",3.25387021441352,0.112456117443171,9.05722936528917,4.79903487044589e-13,3.07225486888e-10,19.2253238785928
"11065","UBE2C",4.87441022855127,2.66213170470222,9.03575532076459,5.22936523352656e-13,3.2021904325647e-10,19.278014083634
"9787","DLGAP5",4.45129132622627,3.64444073900582,9.00019092220584,6.02898403996986e-13,3.53800880078898e-10,19.2118421337689
"7153","TOP2A",4.51278124900124,5.35482459810015,8.96486473500272,6.94480601728397e-13,3.77839401325053e-10,19.0738392435972
"650669","GAS6-AS1",-3.56794004560473,0.254842867637252,-8.96377536436246,6.97516645445284e-13,3.77839401325053e-10,18.9639586565599
"51512","GTSE1",3.68714020261959,2.97053684644915,8.92110491175065,8.27532771578658e-13,4.31665613144956e-10,18.8968695610436
"891","CCNB1",2.22482459194014,4.77106495603087,8.90575995951333,8.80017880721587e-13,4.42648994002958e-10,18.8035535908492
"9493","KIF23",2.40077782527381,4.35144330188331,8.86816523741211,1.02316829901201e-12,4.96906976665003e-10,18.6715599336569
"699","BUB1",2.56213375868774,4.52769819909766,8.79499488044262,1.37228774135778e-12,6.28475854050455e-10,18.3822598595931
"723790","H2AC19",-1.68889532475782,4.86662344198049,-8.79299931063356,1.38332515447061e-12,6.28475854050455e-10,18.3457668393556
"9133","CCNB2",3.19739905766191,3.12603560663908,8.75681720592611,1.59963509766564e-12,7.04039397360089e-10,18.26660882748
"55635","DEPDC1",4.12806554093083,3.78331275794477,8.70589610156052,1.96278254141475e-12,8.37691797372281e-10,18.0726159341816
"1058","CENPA",4.14254352604418,-0.0159635781017162,8.69508636815698,2.04994153370629e-12,8.49158134138804e-10,17.8873992854107
"10112","KIF20A",3.94866347895345,3.71572739271139,8.67288512330581,2.24131933094399e-12,9.01906898771863e-10,17.9432423003469
"9212","AURKB",3.81455679753596,1.89514467452109,8.64504197727153,2.50686927888303e-12,9.80742970105237e-10,17.7749793908778
"22974","TPX2",2.81270525763827,4.95759282876907,8.59162130961236,3.10796866039895e-12,1.18304407062321e-09,17.5645827357279
"57535","ELAPOR1",-2.94200629940031,0.758791008764228,-8.55596424755962,3.58768764083436e-12,1.3297103350924e-09,17.3925493107623
"55872","PBK",4.70804624676768,3.49554356655289,8.53739121747761,3.86629615279839e-12,1.39622859015417e-09,17.4039090765479
"10721","POLQ",2.50283150054988,2.34462693546862,8.4552901087161,5.38209033694393e-12,1.87292107310183e-09,17.0858855860982
"57405","SPC25",4.30016477568945,1.03619167894245,8.44744009626685,5.555112405936e-12,1.87292107310183e-09,16.9711486386848
"9928","KIF14",3.24333670987639,2.12513023796605,8.44609778284388,5.58525170905118e-12,1.87292107310183e-09,17.040106140081
"11113","CIT",2.38838985308344,2.25419924031797,8.43599173522125,5.8174911894696e-12,1.90543130029046e-09,17.0086278429573
"3161","HMMR",3.54645040961535,3.41763321716278,8.42509583557289,6.07873895258998e-12,1.94574907746085e-09,16.9719853878011
"11004","KIF2C",3.52144143506565,3.09152510892608,8.38464169046663,7.15586983446886e-12,2.2396282388591e-09,16.8112997442627
"991","CDC20",4.22538895640921,3.35105134866375,8.36990520130492,7.59412266264284e-12,2.32512225175352e-09,16.7531683754737
"890","CCNA2",3.59104678867571,3.95357233475209,8.36266212398766,7.8192875027198e-12,2.34312436570863e-09,16.7236430113672
"151648","SGO1",2.90858329411939,0.539087001204116,8.29012194040588,1.04784764847088e-11,3.07455964188832e-09,16.3354855000081
