Drug,indv,ldh,tnni
Daunorubicin,87,1.2016666666666667,0.786624203821656
Daunorubicin,79,1.056,1.094736842105263
Daunorubicin,75,1.2806666666666666,1.1335403726708075
Daunorubicin,77,1.9486666666666668,0.7534722222222223
Daunorubicin,78,3.1523333333333334,1.0707964601769913
Daunorubicin,71,1.3813333333333333,1.85
Doxorubicin,87,0.9776666666666667,1.0063694267515924
Doxorubicin,79,1.2593333333333334,1.214035087719298
Doxorubicin,75,2.1216666666666666,1.6118012422360248
Doxorubicin,77,2.2323333333333335,1.2777777777777781
Doxorubicin,78,3.7893333333333334,1.1283185840707968
Doxorubicin,71,1.0323333333333333,1.29
Epirubicin,87,1.431,0.8503184713375797
Epirubicin,79,1.456,1.1929824561403506
Epirubicin,75,1.5536666666666668,1.5714285714285714
Epirubicin,77,3.2510000000000003,1.1493055555555558
Epirubicin,78,3.5323333333333333,1.0929203539823011
Epirubicin,71,0.9873333333333333,1.205
Mitoxantrone,87,1.4553333333333334,1.605095541401274
Mitoxantrone,79,1.4813333333333334,0.9035087719298245
Mitoxantrone,75,1.9136666666666666,1.6118012422360248
Mitoxantrone,77,2.9819999999999998,1.7361111111111112
Mitoxantrone,78,3.52,1.1238938053097347
Mitoxantrone,71,1.216,1.2225000000000001
Trastuzumab,87,0.9283333333333333,2
Trastuzumab,79,0.7763333333333333,1.2070175438596489
Trastuzumab,75,1.3303333333333334,1.279503105590062
Trastuzumab,77,2.184,1.0659722222222223
Trastuzumab,78,2.7583333333333333,1.4070796460176993
Trastuzumab,71,0.9273333333333333,1.1500000000000004
Control,87,0.9923333333333333,0.89171974522293
Control,79,1.0653333333333335,1.0087719298245614
Control,75,0.963,1.062111801242236
Control,77,1.0216666666666667,0.9791666666666667
Control,78,1.04,0.9601769911504425
Control,71,0.9953333333333333,1.045
