"","entrezgene_id","ensembl_gene_id","hgnc_symbol"
"1",100009676,"ENSG00000256628","ZBTB11-AS1"
"2",10010,"ENSG00000136560","TANK"
"3",100130331,"ENSG00000237250",""
"4",100131211,"ENSG00000189362","NEMP2"
"5",10020,"ENSG00000159921","GNE"
"6",100288142,"ENSG00000162825","NBPF20"
"7",100506658,"ENSG00000273814","OCLN"
"8",100506658,"ENSG00000197822","OCLN"
"9",100506713,"ENSG00000215067","ALOX12-AS1"
"10",100996307,"ENSG00000213904","LIPE-AS1"
"11",10106,"ENSG00000175215","CTDSP2"
"12",10179,"ENSG00000076053","RBM7"
"13",10190,"ENSG00000115514","TXNDC9"
"14",101927720,"ENSG00000266916","ZNF793-AS1"
"15",10208,"ENSG00000132952","USPL1"
"16",10260,"ENSG00000174485","DENND4A"
"17",102723508,"ENSG00000232593","KANTR"
"18",10282,"ENSG00000105829","BET1"
"19",10381,"ENSG00000258947","TUBB3"
"20",10565,"ENSG00000066777","ARFGEF1"
"21",10749,"ENSG00000129250","KIF1C"
"22",10767,"ENSG00000112339","HBS1L"
"23",10815,"ENSG00000168993","CPLX1"
"24",10943,"ENSG00000005302","MSL3"
"25",10944,"ENSG00000110696","C11orf58"
"26",10945,"ENSG00000105438","KDELR1"
"27",10973,"ENSG00000112249","ASCC3"
"28",11059,"ENSG00000123124","WWP1"
"29",11107,"ENSG00000138738","PRDM5"
"30",11168,"ENSG00000164985","PSIP1"
"31",11238,"ENSG00000169239","CA5B"
"32",1124,"ENSG00000106069","CHN2"
"33",112752,"ENSG00000119650","IFT43"
"34",112858,"ENSG00000172315","TP53RK"
"35",113000,"ENSG00000007376","RPUSD1"
"36",114294,"ENSG00000103642","LACTB"
"37",114609,"ENSG00000150455","TIRAP"
"38",114780,"ENSG00000166473","PKD1L2"
"39",114796,"ENSG00000230487","PSMG3-AS1"
"40",114881,"ENSG00000006025","OSBPL7"
"41",114882,"ENSG00000091039","OSBPL8"
"42",115123,"ENSG00000173926","MARCHF3"
"43",115294,"ENSG00000168300","PCMTD1"
"44",115548,"ENSG00000157107","FCHO2"
"45",116068,"ENSG00000176018","LYSMD3"
"46",119,"ENSG00000075340","ADD2"
