"","ensembl_gene_id","gene_version","gene_name","qval"
"1","ENSG00000227232","5","WASH7P",0.000311193
"2","ENSG00000186092","4","OR4F5",0.0250127
"3","ENSG00000228463","9","AP006222.2",1.14304e-07
"4","ENSG00000278566","1","OR4F29",0.0391162
"5","ENSG00000225972","1","MTND1P23",0.00125081
"6","ENSG00000237973","1","MTCO1P12",0.0432682
"7","ENSG00000240409","1","MTATP8P1",0.0160076
"8","ENSG00000198744","5","MTCO3P12",0.00220789
"9","ENSG00000228327","3","RP11-206L10.2",1.96052e-05
"10","ENSG00000237491","8","RP11-206L10.9",9.83126e-12
"11","ENSG00000230092","7","RP11-206L10.8",0.0295341
"12","ENSG00000228794","8","LINC01128",0.000326605
"13","ENSG00000225880","5","LINC00115",1.17117e-09
"14","ENSG00000188976","10","NOC2L",0.000777442
"15","ENSG00000187961","13","KLHL17",0.000550332
"16","ENSG00000187642","9","PERM1",1.6122e-09
"17","ENSG00000272512","1","RP11-54O7.17",0.0213833
"18","ENSG00000188157","14","AGRN",1.6419e-12
"19","ENSG00000217801","9","RP11-465B22.3",0.0361039
"20","ENSG00000131591","17","C1orf159",6.50305e-07
"21","ENSG00000186891","13","TNFRSF18",0.00555077
"22","ENSG00000176022","4","B3GALT6",5.4597e-08
"23","ENSG00000184163","3","C1QTNF12",0.00764402
"24","ENSG00000260179","1","RP5-902P8.12",0.0457675
"25","ENSG00000162572","20","SCNN1D",1.52789e-05
"26","ENSG00000131584","18","ACAP3",0.00673236
"27","ENSG00000169972","11","PUSL1",0.00690295
"28","ENSG00000127054","20","INTS11",1.69046e-05
"29","ENSG00000162576","16","MXRA8",0.0268753
"30","ENSG00000175756","13","AURKAIP1",0.00035314
"31","ENSG00000224870","6","RP4-758J18.2",3.26769e-06
"32","ENSG00000242485","5","MRPL20",0.000690713
"33","ENSG00000272455","1","RP4-758J18.13",0.0476185
"34","ENSG00000235098","8","ANKRD65",2.55873e-30
"35","ENSG00000215915","9","ATAD3C",0.00163319
"36","ENSG00000160072","19","ATAD3B",6.38512e-13
"37","ENSG00000197785","13","ATAD3A",7.24512e-06
"38","ENSG00000160075","11","SSU72",7.59123e-08
"39","ENSG00000228594","3","FNDC10",1.6748e-07
"40","ENSG00000272106","1","RP11-345P4.9",1.52157e-20
"41","ENSG00000197530","12","MIB2",1.35233e-12
"42","ENSG00000248333","8","CDK11B",0.000812873
"43","ENSG00000269737","2","RP11-345P4.6",2.56351e-23
"44","ENSG00000189339","11","SLC35E2B",5.30457e-84
"45","ENSG00000215914","4","MMP23A",0.00570118
"46","ENSG00000008128","22","CDK11A",3.33877e-46
