"","entrezgene_id","ensembl_gene_id","hgnc_symbol"
"1",57147,"ENSG00000000457","SCYL3"
"2",55732,"ENSG00000000460","C1orf112"
"3",2268,"ENSG00000000938","FGR"
"4",2729,"ENSG00000001084","GCLC"
"5",4800,"ENSG00000001167","NFYA"
"6",90529,"ENSG00000001460","STPG1"
"7",22875,"ENSG00000001561","ENPP4"
"8",6405,"ENSG00000001617","SEMA3F"
"9",1080,"ENSG00000001626","CFTR"
"10",54467,"ENSG00000001629","ANKIB1"
"11",889,"ENSG00000001631","KRIT1"
"12",51056,"ENSG00000002549","LAP3"
"13",9957,"ENSG00000002587","HS3ST1"
"14",26,"ENSG00000002726","AOC1"
"15",8379,"ENSG00000002822","MAD1L1"
"16",55365,"ENSG00000002933","TMEM176A"
"17",3382,"ENSG00000003147","ICA1"
"18",843,"ENSG00000003400","CASP10"
"19",8837,"ENSG00000003402","CFLAR"
"20",7035,"ENSG00000003436","TFPI"
"21",55471,"ENSG00000003509","NDUFAF7"
"22",6542,"ENSG00000003989","SLC7A2"
"23",952,"ENSG00000004468","CD38"
"24",10180,"ENSG00000004534","RBM6"
"25",5439,"ENSG00000005075","POLR2J"
"26",221981,"ENSG00000005108","THSD7A"
"27",5577,"ENSG00000005249","PRKAR2B"
"28",5444,"ENSG00000005421","PON1"
"29",6936,"ENSG00000005436","GCFC2"
"30",5244,"ENSG00000005471","ABCB4"
"31",57414,"ENSG00000005486","RHBDD2"
"32",55971,"ENSG00000006453","BAIAP2L1"
"33",55750,"ENSG00000006530","AGK"
"34",9855,"ENSG00000006607","FARP2"
"35",79017,"ENSG00000006625","GGCT"
"36",3475,"ENSG00000006652","IFRD1"
"37",27072,"ENSG00000006715","VPS41"
"38",8842,"ENSG00000007062","PROM1"
"39",54879,"ENSG00000007341","ST7L"
"40",2328,"ENSG00000007933","FMO3"
"41",5689,"ENSG00000008018","PSMB1"
"42",728642,"ENSG00000008128","CDK11A"
"43",65220,"ENSG00000008130","NADK"
"44",9265,"ENSG00000008256","CYTH3"
"45",53616,"ENSG00000008277","ADAM22"
"46",6856,"ENSG00000008282","SYPL1"
"47",23221,"ENSG00000008853","RHOBTB2"
"48",6224,"ENSG00000008988","RPS20"
"49",7812,"ENSG00000009307","CSDE1"
"50",5980,"ENSG00000009413","REV3L"
"51",51085,"ENSG00000009950","MLXIPL"
"52",83932,"ENSG00000010072","SPRTN"
"53",57467,"ENSG00000010282","HHATL"
"54",11188,"ENSG00000010322","NISCH"
"55",6924,"ENSG00000011007","ELOA"
"56",1185,"ENSG00000011021","CLCN6"
"57",23395,"ENSG00000011376","LARS2"
"58",23637,"ENSG00000011454","RABGAP1"
"59",23177,"ENSG00000011523","CEP68"
"60",7869,"ENSG00000012171","SEMA3B"
"61",2137,"ENSG00000012232","EXTL3"
"62",60481,"ENSG00000012660","ELOVL5"
"63",240,"ENSG00000012779","ALOX5"
"64",30845,"ENSG00000013016","EHD3"
"65",23324,"ENSG00000013288","MAN2B2"
"66",51667,"ENSG00000013374","NUB1"
"67",5238,"ENSG00000013375","PGM3"
"68",112611,"ENSG00000013392","RWDD2A"
"69",9604,"ENSG00000013561","RNF14"
"70",10460,"ENSG00000013810","TACC3"
"71",23376,"ENSG00000014123","UFL1"
"72",23144,"ENSG00000014164","ZC3H3"
"73",10463,"ENSG00000014824","SLC30A9"
"74",10903,"ENSG00000014914","MTMR11"
"75",23386,"ENSG00000015676","NUDCD3"
"76",55349,"ENSG00000016391","CHDH"
"77",53832,"ENSG00000016402","IL20RA"
"78",22902,"ENSG00000018189","RUFY3"
"79",25937,"ENSG00000018408","WWTR1"
"80",8540,"ENSG00000018510","AGPS"
"81",477,"ENSG00000018625","ATP1A2"
"82",55622,"ENSG00000018699","TTC27"
"83",8685,"ENSG00000019169","MARCO"
"84",6591,"ENSG00000019549","SNAI2"
"85",1992,"ENSG00000021355","SERPINB1"
"86",1373,"ENSG00000021826","CPS1"
"87",4719,"ENSG00000023228","NDUFS1"
"88",51022,"ENSG00000023572","GLRX2"
"89",50619,"ENSG00000023892","DEF6"
"90",25901,"ENSG00000024862","CCDC28A"
"91",58528,"ENSG00000025039","RRAGD"
"92",7431,"ENSG00000026025","VIM"
"93",56895,"ENSG00000026652","AGPAT4"
"94",11119,"ENSG00000026950","BTN3A1"
"95",11285,"ENSG00000027847","B4GALT7"
"96",7444,"ENSG00000028116","VRK2"
"97",65980,"ENSG00000028310","BRD9"
"98",9519,"ENSG00000028839","TBPL1"
"99",286,"ENSG00000029534","ANK1"
"100",51106,"ENSG00000029639","TFB1M"
"101",578,"ENSG00000030110","BAK1"
"102",51306,"ENSG00000031003","FAM13B"
"103",55166,"ENSG00000031691","CENPQ"
"104",7260,"ENSG00000032389","EIPR1"
"105",55236,"ENSG00000033178","UBA6"
"106",9497,"ENSG00000033867","SLC4A7"
"107",28990,"ENSG00000034533","ASTE1"
"108",25897,"ENSG00000034677","RNF19A"
"109",4653,"ENSG00000034971","MYOC"
"110",26751,"ENSG00000035115","SH3YL1"
"111",84908,"ENSG00000035141","FAM136A"
"112",5981,"ENSG00000035928","RFC1"
"113",55773,"ENSG00000036054","TBC1D23"
"114",8452,"ENSG00000036257","CUL3"
"115",9172,"ENSG00000036448","MYOM2"
"116",2324,"ENSG00000037280","FLT4"
"117",54888,"ENSG00000037474","NSUN2"
"118",54455,"ENSG00000037637","FBXO42"
"119",175,"ENSG00000038002","AGA"
"120",55300,"ENSG00000038210","PI4K2B"
"121",259282,"ENSG00000038219","BOD1L1"
"122",27430,"ENSG00000038274","MAT2B"
"123",26064,"ENSG00000039560","RAI14"
"124",54908,"ENSG00000040275","SPDL1"
"125",54896,"ENSG00000040487","SLC66A1"
"126",3631,"ENSG00000040933","INPP4A"
"127",55341,"ENSG00000041802","LSG1"
"128",10039,"ENSG00000041880","PARP3"
"129",90326,"ENSG00000041988","THAP3"
"130",822,"ENSG00000042493","CAPG"
"131",10863,"ENSG00000042980","ADAM28"
"132",54802,"ENSG00000043514","TRIT1"
"133",9820,"ENSG00000044090","CUL7"
"134",54875,"ENSG00000044459","CNTLN"
"135",22884,"ENSG00000047056","WDR37"
"136",64848,"ENSG00000047188","YTHDC2"
"137",84062,"ENSG00000047579","DTNBP1"
"138",55173,"ENSG00000048544","MRPS10"
"139",1161,"ENSG00000049167","ERCC8"
"140",9563,"ENSG00000049239","H6PD"
"141",9341,"ENSG00000049245","VAMP3"
"142",8863,"ENSG00000049246","PER3"
"143",3074,"ENSG00000049860","HEXB"
"144",7984,"ENSG00000050327","ARHGEF5"
"145",10319,"ENSG00000050555","LAMC3"
"146",5733,"ENSG00000050628","PTGER3"
"147",5601,"ENSG00000050748","MAPK9"
"148",91522,"ENSG00000050767","COL23A1"
"149",84321,"ENSG00000051596","THOC3"
"150",23593,"ENSG00000051620","HEBP2"
"151",80143,"ENSG00000052723","SIKE1"
"152",728464,"ENSG00000053328","METTL24"
"153",8574,"ENSG00000053371","AKR7A2"
"154",51154,"ENSG00000053372","MRTO4"
"155",29945,"ENSG00000053900","ANAPC4"
"156",27095,"ENSG00000054116","TRAPPC3"
"157",29085,"ENSG00000054148","PHPT1"
"158",4065,"ENSG00000054219","LY75"
"159",10806,"ENSG00000054282","SDCCAG8"
"160",51602,"ENSG00000055044","NOP58"
"161",26999,"ENSG00000055163","CYFIP2"
"162",116254,"ENSG00000055211","GINM1"
"163",55283,"ENSG00000055732","MCOLN3"
"164",3700,"ENSG00000055955","ITIH4"
"165",7185,"ENSG00000056558","TRAF1"
"166",55540,"ENSG00000056736","IL17RB"
"167",10758,"ENSG00000056972","TRAF3IP2"
"168",131566,"ENSG00000057019","DCBLD2"
"169",4438,"ENSG00000057468","MSH4"
"170",2665,"ENSG00000057608","GDI2"
"171",23200,"ENSG00000058063","ATP11B"
"172",3918,"ENSG00000058085","LAMC2"
"173",29927,"ENSG00000058262","SEC61A1"
"174",9696,"ENSG00000058453","CROCC"
"175",55781,"ENSG00000058729","RIOK2"
"176",54432,"ENSG00000058799","YIPF1"
"177",1608,"ENSG00000058866","DGKG"
"178",6894,"ENSG00000059588","TARBP1"
"179",5188,"ENSG00000059691","GATB"
"180",55650,"ENSG00000060642","PIGV"
"181",93166,"ENSG00000061455","PRDM6"
"182",10787,"ENSG00000061676","NCKAP1"
"183",2983,"ENSG00000061918","GUCY1B1"
"184",57491,"ENSG00000063438","AHRR"
"185",6047,"ENSG00000063978","RNF4"
"186",841,"ENSG00000064012","CASP8"
"187",10402,"ENSG00000064225","ST3GAL6"
"188",28966,"ENSG00000064652","SNX24"
"189",9627,"ENSG00000064692","SNCAIP"
"190",11218,"ENSG00000064703","DDX20"
"191",1117,"ENSG00000064886","CHI3L2"
"192",5378,"ENSG00000064933","PMS1"
"193",6882,"ENSG00000064995","TAF11"
"194",54887,"ENSG00000065060","BLTP3A"
"195",5586,"ENSG00000065243","PKN2"
"196",9697,"ENSG00000065308","TRAM2"
"197",55388,"ENSG00000065328","MCM10"
"198",10954,"ENSG00000065485","PDIA5"
"199",55633,"ENSG00000065491","TBC1D22B"
"200",4710,"ENSG00000065518","NDUFB4"
"201",55248,"ENSG00000065600","PACC1"
"202",9892,"ENSG00000065609","SNAP91"
"203",55176,"ENSG00000065665","SEC61A2"
"204",5588,"ENSG00000065675","PRKCQ"
"205",51665,"ENSG00000065802","ASB1"
"206",83641,"ENSG00000065809","FAM107B"
"207",7075,"ENSG00000066056","TIE1"
"208",84217,"ENSG00000066185","ZMYND12"
"209",6550,"ENSG00000066230","SLC9A3"
"210",25791,"ENSG00000066248","NGEF"
"211",8832,"ENSG00000066294","CD84"
"212",30834,"ENSG00000066379","POLR1H"
"213",51015,"ENSG00000066583","ISOC1"
"214",60487,"ENSG00000066651","TRMT11"
"215",91283,"ENSG00000066697","MSANTD3"
"216",57623,"ENSG00000066827","ZFAT"
"217",9650,"ENSG00000066855","MTFR1"
"218",5214,"ENSG00000067057","PFKP"
"219",6672,"ENSG00000067066","SP100"
"220",7813,"ENSG00000067208","EVI5"
"221",51018,"ENSG00000067533","RRP15"
"222",9759,"ENSG00000068024","HDAC4"
"223",11186,"ENSG00000068028","RASSF1"
"224",2261,"ENSG00000068078","FGFR3"
"225",25885,"ENSG00000068654","POLR1A"
"226",9741,"ENSG00000068697","LAPTM4A"
"227",57217,"ENSG00000068724","TTC7A"
"228",51447,"ENSG00000068745","IP6K2"
"229",55133,"ENSG00000068784","SRBD1"
"230",3796,"ENSG00000068796","KIF2A"
"231",57560,"ENSG00000068885","IFT80"
"232",27248,"ENSG00000068912","ERLEC1"
"233",375449,"ENSG00000069020","MAST4"
"234",55746,"ENSG00000069248","NUP133"
"235",64710,"ENSG00000069275","NUCKS1"
"236",8514,"ENSG00000069424","KCNAB2"
"237",7049,"ENSG00000069702","TGFBR3"
"238",8518,"ENSG00000070061","ELP1"
"239",5217,"ENSG00000070087","PFN2"
"240",2255,"ENSG00000070193","FGF10"
"241",23446,"ENSG00000070214","SLC44A1"
"242",79364,"ENSG00000070476","ZXDC"
