"","entrezgene_id","ensembl_gene_id","hgnc_symbol"
"1",57185,"ENSG00000001461","NIPAL3"
"2",56603,"ENSG00000003137","CYP26B1"
"3",57679,"ENSG00000003393","ALS2"
"4",10181,"ENSG00000003756","RBM5"
"5",23129,"ENSG00000004399","PLXND1"
"6",204,"ENSG00000004455","AK2"
"7",23028,"ENSG00000004487","KDM1A"
"8",55013,"ENSG00000005059","MCUB"
"9",84058,"ENSG00000005448","WDR54"
"10",51265,"ENSG00000006837","CDKL3"
"11",9254,"ENSG00000007402","CACNA2D2"
"12",7005,"ENSG00000007866","TEAD3"
"13",55735,"ENSG00000007923","DNAJC11"
"14",29116,"ENSG00000007944","MYLIP"
"15",1870,"ENSG00000007968","E2F2"
"16",3720,"ENSG00000008083","JARID2"
"17",1951,"ENSG00000008300","CELSR3"
"18",51188,"ENSG00000008324","SS18L2"
"19",54497,"ENSG00000008869","HEATR5B"
"20",7095,"ENSG00000008952","SEC62"
"21",10747,"ENSG00000009724","MASP2"
"22",199870,"ENSG00000009780","FAM76A"
"23",10048,"ENSG00000010017","RANBP9"
"24",51513,"ENSG00000010030","ETV7"
"25",51603,"ENSG00000010165","METTL13"
"26",7384,"ENSG00000010256","UQCRC1"
"27",51533,"ENSG00000010318","PHF7"
"28",56920,"ENSG00000010319","SEMA3G"
"29",3077,"ENSG00000010704","HFE"
"30",22955,"ENSG00000010803","SCMH1"
"31",11313,"ENSG00000011009","LYPLA2"
"32",51099,"ENSG00000011198","ABHD5"
"33",8491,"ENSG00000011566","MAP4K3"
"34",5010,"ENSG00000013297","CLDN11"
"35",1195,"ENSG00000013441","CLK1"
"36",4190,"ENSG00000014641","MDH1"
"37",9782,"ENSG00000015479","MATR3"
"38",55830,"ENSG00000016864","GLT8D1"
"39",27032,"ENSG00000017260","ATP2C1"
"40",6556,"ENSG00000018280","SLC11A1"
"41",972,"ENSG00000019582","CD74"
"42",23154,"ENSG00000020129","NCDN"
"43",6683,"ENSG00000021574","SPAST"
"44",211,"ENSG00000023330","ALAS1"
"45",51177,"ENSG00000023902","PLEKHO1"
"46",2730,"ENSG00000023909","GCLM"
"47",23304,"ENSG00000024048","UBR2"
"48",23633,"ENSG00000025800","KPNA6"
"49",22807,"ENSG00000030419","IKZF2"
"50",57514,"ENSG00000031081","ARHGAP31"
"51",6301,"ENSG00000031698","SARS1"
"52",57554,"ENSG00000033122","LRRC7"
"53",9168,"ENSG00000034510","TMSB10"
"54",159,"ENSG00000035687","ADSS2"
"55",26009,"ENSG00000036549","ZZZ3"
"56",51121,"ENSG00000037241","RPL26L1"
"57",4238,"ENSG00000037749","MFAP3"
"58",7092,"ENSG00000038295","TLL1"
"59",7204,"ENSG00000038382","TRIO"
"60",1462,"ENSG00000038427","VCAN"
"61",23517,"ENSG00000039123","MTREX"
"62",9765,"ENSG00000039319","ZFYVE16"
"63",54884,"ENSG00000042445","RETSAT"
"64",54165,"ENSG00000043093","DCUN1D1"
"65",23338,"ENSG00000043143","JADE2"
"66",1495,"ENSG00000044115","CTNNA1"
"67",2042,"ENSG00000044524","EPHA3"
"68",5431,"ENSG00000047315","POLR2B"
"69",116984,"ENSG00000047365","ARAP2"
"70",7175,"ENSG00000047410","TPR"
"71",4134,"ENSG00000047849","MAP4"
"72",26262,"ENSG00000048140","TSPAN17"
"73",51491,"ENSG00000048162","NOP16"
"74",57545,"ENSG00000048342","CC2D2A"
"75",55187,"ENSG00000048707","VPS13D"
"76",23518,"ENSG00000048991","R3HDM1"
"77",1298,"ENSG00000049089","COL9A2"
"78",11174,"ENSG00000049192","ADAMTS6"
"79",4052,"ENSG00000049323","LTBP1"
"80",81037,"ENSG00000049656","CLPTM1L"
"81",79810,"ENSG00000049883","PTCD2"
"82",63933,"ENSG00000050393","MCUR1"
"83",10721,"ENSG00000051341","POLQ"
"84",5291,"ENSG00000051382","PIK3CB"
"85",57600,"ENSG00000052795","FNIP2"
"86",6307,"ENSG00000052802","MSMO1"
"87",9967,"ENSG00000054118","THRAP3"
"88",51742,"ENSG00000054267","ARID4B"
"89",23596,"ENSG00000054277","OPN3"
"90",5798,"ENSG00000054356","PTPRN"
"91",55733,"ENSG00000054392","HHAT"
"92",23095,"ENSG00000054523","KIF1B"
"93",2296,"ENSG00000054598","FOXC1"
"94",26099,"ENSG00000055070","SZRD1"
"95",10827,"ENSG00000055147","FAM114A2"
"96",5610,"ENSG00000055332","EIF2AK2"
"97",114800,"ENSG00000055813","CCDC85A"
"98",23369,"ENSG00000055917","PUM2"
"99",54969,"ENSG00000056050","HPF1"
"100",51663,"ENSG00000056097","ZFR"
"101",6646,"ENSG00000057252","SOAT1"
"102",57095,"ENSG00000057757","PITHD1"
"103",57504,"ENSG00000057935","MTA3"
"104",8975,"ENSG00000058056","USP13"
"105",493,"ENSG00000058668","ATP2B4"
"106",9877,"ENSG00000058673","ZC3H11A"
"107",55706,"ENSG00000058804","NDC1"
"108",4084,"ENSG00000059728","MXD1"
"109",10076,"ENSG00000060656","PTPRU"
"110",9410,"ENSG00000060688","SNRNP40"
"111",30,"ENSG00000060971","ACAA1"
"112",10188,"ENSG00000061938","TNK2"
"113",65056,"ENSG00000062194","GPBP1"
"114",2817,"ENSG00000063660","GPC1"
"115",22998,"ENSG00000064042","LIMCH1"
"116",6558,"ENSG00000064651","SLC12A2"
"117",10203,"ENSG00000064989","CALCRL"
"118",23294,"ENSG00000064999","ANKS1A"
"119",7629,"ENSG00000065029","ZNF76"
"120",2773,"ENSG00000065135","GNAI3"
"121",10885,"ENSG00000065183","WDR3"
"122",91526,"ENSG00000065413","ANKRD44"
"123",23013,"ENSG00000065526","SPEN"
"124",4638,"ENSG00000065534","MYLK"
"125",55854,"ENSG00000065548","ZC3H15"
"126",23216,"ENSG00000065882","TBC1D1"
"127",10797,"ENSG00000065911","MTHFD2"
"128",4904,"ENSG00000065978","YBX1"
"129",5525,"ENSG00000066027","PPP2R5A"
"130",9682,"ENSG00000066135","KDM4A"
"131",4802,"ENSG00000066136","NFYC"
"132",259266,"ENSG00000066279","ASPM"
"133",64834,"ENSG00000066322","ELOVL1"
"134",27107,"ENSG00000066422","ZBTB11"
"135",55631,"ENSG00000066557","LRRC40"
"136",8611,"ENSG00000067113","PLPP1"
"137",54505,"ENSG00000067248","DHX29"
"138",30836,"ENSG00000067334","DNTTIP2"
"139",387,"ENSG00000067560","RHOA"
"140",5590,"ENSG00000067606","PRKCZ"
"141",55699,"ENSG00000067704","IARS2"
"142",8692,"ENSG00000068001","HYAL2"
"143",65055,"ENSG00000068615","REEP1"
"144",23198,"ENSG00000068878","PSME4"
"145",221395,"ENSG00000069122","ADGRF5"
"146",483,"ENSG00000069849","ATP1B3"
"147",6949,"ENSG00000070814","TCOF1"
"148",998,"ENSG00000070831","CDC42"
"149",56852,"ENSG00000070950","RAD18"
"150",8440,"ENSG00000071051","NCK2"
"151",11320,"ENSG00000071073","MGAT4A"
"152",6160,"ENSG00000071082","RPL31"
"153",79658,"ENSG00000071205","ARHGAP10"
"154",29995,"ENSG00000071282","LMCD1"
"155",9319,"ENSG00000071539","TRIP13"
"156",7037,"ENSG00000072274","TFRC"
"157",3161,"ENSG00000072571","HMMR"
"158",8974,"ENSG00000072682","P4HA2"
"159",23291,"ENSG00000072803","FBXW11"
"160",5523,"ENSG00000073711","PPP2R3A"
"161",10170,"ENSG00000073737","DHRS9"
"162",10644,"ENSG00000073792","IGF2BP2"
"163",9175,"ENSG00000073803","MAP3K13"
"164",2736,"ENSG00000074047","GLI2"
"165",23332,"ENSG00000074054","CLASP1"
"166",11343,"ENSG00000074416","MGLL"
"167",617,"ENSG00000074582","BCS1L"
"168",27332,"ENSG00000075292","ZNF638"
"169",9462,"ENSG00000075391","RASAL2"
"170",64778,"ENSG00000075420","FNDC3B"
"171",2355,"ENSG00000075426","FOSL2"
"172",285527,"ENSG00000075539","FRYL"
"173",23505,"ENSG00000075568","TMEM131"
"174",1739,"ENSG00000075711","DLG1"
"175",22920,"ENSG00000075945","KIFAP3"
"176",4292,"ENSG00000076242","MLH1"
"177",27252,"ENSG00000076321","KLHL20"
"178",5909,"ENSG00000076864","RAP1GAP"
"179",5915,"ENSG00000077092","RARB"
"180",29089,"ENSG00000077152","UBE2T"
"181",54431,"ENSG00000077232","DNAJC10"
"182",832,"ENSG00000077549","CAPZB"
"183",79960,"ENSG00000077684","JADE1"
"184",4133,"ENSG00000078018","MAP2"
"185",3093,"ENSG00000078140","UBE2K"
"186",55728,"ENSG00000078177","N4BP2"
"187",108,"ENSG00000078295","ADCY2"
"188",2782,"ENSG00000078369","GNB1"
"189",1906,"ENSG00000078401","EDN1"
"190",51150,"ENSG00000078808","SDF4"
"191",114880,"ENSG00000079156","OSBPL6"
