"","samplenames","type","count","indv","drug","time","RIN","group"
"1","MCW_RM_R_11","Total_reads",29998605,"1","DNR","1","9.3","1"
"2","MCW_RM_R_11","Mapped_reads",29422484,"1","DNR","1","9.3","1"
"3","MCW_RM_R_11","Uniquely_mapped_reads",26837861,"1","DNR","1","9.3","1"
"4","MCW_RM_R_11","Multi_mapping_reads",2584623,"1","DNR","1","9.3","1"
"5","MCW_RM_R_11","Unmapped_reads",576121,"1","DNR","1","9.3","1"
"6","MCW_RM_R_11","Indels",95226,"1","DNR","1","9.3","1"
"7","MCW_RM_R_12","Total_reads",31471285,"1","DOX","1","9.8","2"
"8","MCW_RM_R_12","Mapped_reads",30342635,"1","DOX","1","9.8","2"
"9","MCW_RM_R_12","Uniquely_mapped_reads",27948046,"1","DOX","1","9.8","2"
"10","MCW_RM_R_12","Multi_mapping_reads",2394589,"1","DOX","1","9.8","2"
"11","MCW_RM_R_12","Unmapped_reads",1128650,"1","DOX","1","9.8","2"
"12","MCW_RM_R_12","Indels",98391,"1","DOX","1","9.8","2"
"13","MCW_RM_R_13","Total_reads",43401138,"1","EPI","1","9.8","3"
"14","MCW_RM_R_13","Mapped_reads",42536918,"1","EPI","1","9.8","3"
"15","MCW_RM_R_13","Uniquely_mapped_reads",39175074,"1","EPI","1","9.8","3"
"16","MCW_RM_R_13","Multi_mapping_reads",3361844,"1","EPI","1","9.8","3"
"17","MCW_RM_R_13","Unmapped_reads",864220,"1","EPI","1","9.8","3"
"18","MCW_RM_R_13","Indels",132067,"1","EPI","1","9.8","3"
"19","MCW_RM_R_14","Total_reads",27328076,"1","MTX","1","10","4"
"20","MCW_RM_R_14","Mapped_reads",26793943,"1","MTX","1","10","4"
"21","MCW_RM_R_14","Uniquely_mapped_reads",24750123,"1","MTX","1","10","4"
"22","MCW_RM_R_14","Multi_mapping_reads",2043820,"1","MTX","1","10","4"
"23","MCW_RM_R_14","Unmapped_reads",534133,"1","MTX","1","10","4"
"24","MCW_RM_R_14","Indels",93069,"1","MTX","1","10","4"
"25","MCW_RM_R_15","Total_reads",26045639,"1","TRZ","1","9.6","5"
"26","MCW_RM_R_15","Mapped_reads",25505895,"1","TRZ","1","9.6","5"
"27","MCW_RM_R_15","Uniquely_mapped_reads",23446566,"1","TRZ","1","9.6","5"
"28","MCW_RM_R_15","Multi_mapping_reads",2059329,"1","TRZ","1","9.6","5"
"29","MCW_RM_R_15","Unmapped_reads",539744,"1","TRZ","1","9.6","5"
"30","MCW_RM_R_15","Indels",88664,"1","TRZ","1","9.6","5"
"31","MCW_RM_R_16","Total_reads",25545330,"1","VEH","1","9.9","6"
"32","MCW_RM_R_16","Mapped_reads",25031975,"1","VEH","1","9.9","6"
"33","MCW_RM_R_16","Uniquely_mapped_reads",23092121,"1","VEH","1","9.9","6"
"34","MCW_RM_R_16","Multi_mapping_reads",1939854,"1","VEH","1","9.9","6"
"35","MCW_RM_R_16","Unmapped_reads",513355,"1","VEH","1","9.9","6"
"36","MCW_RM_R_16","Indels",89287,"1","VEH","1","9.9","6"
"37","MCW_RM_R_17","Total_reads",26495759,"1","DNR","2","7.8","7"
"38","MCW_RM_R_17","Mapped_reads",25875564,"1","DNR","2","7.8","7"
"39","MCW_RM_R_17","Uniquely_mapped_reads",23456564,"1","DNR","2","7.8","7"
"40","MCW_RM_R_17","Multi_mapping_reads",2419000,"1","DNR","2","7.8","7"
"41","MCW_RM_R_17","Unmapped_reads",620195,"1","DNR","2","7.8","7"
"42","MCW_RM_R_17","Indels",87858,"1","DNR","2","7.8","7"
"43","MCW_RM_R_18","Total_reads",28314321,"1","DOX","2","8.7","8"
"44","MCW_RM_R_18","Mapped_reads",27473207,"1","DOX","2","8.7","8"
"45","MCW_RM_R_18","Uniquely_mapped_reads",25128165,"1","DOX","2","8.7","8"
"46","MCW_RM_R_18","Multi_mapping_reads",2345042,"1","DOX","2","8.7","8"
"47","MCW_RM_R_18","Unmapped_reads",841114,"1","DOX","2","8.7","8"
"48","MCW_RM_R_18","Indels",106196,"1","DOX","2","8.7","8"
"49","MCW_RM_R_19","Total_reads",60469958,"1","EPI","2","8.6","9"
"50","MCW_RM_R_19","Mapped_reads",58946198,"1","EPI","2","8.6","9"
"51","MCW_RM_R_19","Uniquely_mapped_reads",54014391,"1","EPI","2","8.6","9"
"52","MCW_RM_R_19","Multi_mapping_reads",4931807,"1","EPI","2","8.6","9"
"53","MCW_RM_R_19","Unmapped_reads",1523760,"1","EPI","2","8.6","9"
