"","source","term_id","term_name","intersection_size","term_size","p_value"
"1","GO:BP","GO:0006351","DNA-templated transcription",216,2683,4.83032973459818e-44
"2","GO:BP","GO:0097659","nucleic acid-templated transcription",216,2684,4.83032973459818e-44
"3","GO:BP","GO:0032774","RNA biosynthetic process",216,2714,1.66833553946551e-43
"4","GO:BP","GO:0006366","transcription by RNA polymerase II",183,1991,1.66833553946551e-43
"5","GO:BP","GO:1903506","regulation of nucleic acid-templated transcription",209,2581,6.10663212972673e-43
"6","GO:BP","GO:0019219","regulation of nucleobase-containing compound metabolic process",231,3105,6.10663212972673e-43
"7","GO:BP","GO:0006355","regulation of DNA-templated transcription",209,2579,6.10663212972673e-43
"8","GO:BP","GO:0006357","regulation of transcription by RNA polymerase II",178,1915,6.10663212972673e-43
"9","GO:BP","GO:2001141","regulation of RNA biosynthetic process",209,2598,1.31316147376623e-42
"10","GO:BP","GO:0051252","regulation of RNA metabolic process",219,2849,3.55794725867758e-42
"11","GO:BP","GO:0090304","nucleic acid metabolic process",260,4047,8.29799514990774e-39
"12","GO:BP","GO:0010556","regulation of macromolecule biosynthetic process",219,3015,4.4868247890825e-38
"13","GO:BP","GO:0016070","RNA metabolic process",241,3593,1.21006043531877e-37
"14","GO:BP","GO:0031323","regulation of cellular metabolic process",266,4305,4.72033551205159e-37
"15","GO:BP","GO:0034654","nucleobase-containing compound biosynthetic process",219,3083,1.47586733357339e-36
"16","GO:BP","GO:0031326","regulation of cellular biosynthetic process",220,3123,3.11514669582839e-36
"17","GO:BP","GO:0019438","aromatic compound biosynthetic process",220,3149,1.09222906320265e-35
"18","GO:BP","GO:0018130","heterocycle biosynthetic process",220,3148,1.09222906320265e-35
"19","GO:BP","GO:0009889","regulation of biosynthetic process",220,3174,3.80864755856811e-35
"20","GO:BP","GO:1901362","organic cyclic compound biosynthetic process",221,3253,5.63011544670898e-34
"21","GO:BP","GO:0010468","regulation of gene expression",233,3583,1.42117483277437e-33
"22","GO:BP","GO:0080090","regulation of primary metabolic process",263,4440,5.67438532834428e-33
"23","GO:BP","GO:0051171","regulation of nitrogen compound metabolic process",259,4330,6.52700277196226e-33
"24","GO:BP","GO:0009059","macromolecule biosynthetic process",236,3730,2.9010209497547e-32
"25","GO:BP","GO:0006139","nucleobase-containing compound metabolic process",263,4503,7.25999909681362e-32
"26","GO:BP","GO:0060255","regulation of macromolecule metabolic process",265,4640,1.80940908952503e-30
"27","GO:BP","GO:0046483","heterocycle metabolic process",264,4616,2.15258277958994e-30
"28","GO:BP","GO:0006725","cellular aromatic compound metabolic process",264,4646,6.96640403077998e-30
"29","GO:BP","GO:0044271","cellular nitrogen compound biosynthetic process",231,3758,3.33392727660871e-29
"30","GO:BP","GO:1901360","organic cyclic compound metabolic process",266,4790,1.86282143004362e-28
"31","GO:BP","GO:0010467","gene expression",258,4572,3.44375453034283e-28
"32","GO:BP","GO:0019222","regulation of metabolic process",273,5039,7.88232300402813e-28
"33","GO:BP","GO:0034641","cellular nitrogen compound metabolic process",268,4991,3.44607393690172e-26
"34","GO:BP","GO:0044249","cellular biosynthetic process",249,4465,1.14021187443127e-25
"35","GO:BP","GO:1901576","organic substance biosynthetic process",249,4537,1.61132516078405e-24
"36","GO:BP","GO:0009058","biosynthetic process",249,4595,1.27970851702772e-23
"37","GO:BP","GO:0043170","macromolecule metabolic process",322,7057,9.57286399991759e-22
"38","GO:BP","GO:0050794","regulation of cellular process",329,7579,2.78065953770304e-18
"39","GO:BP","GO:1903508","positive regulation of nucleic acid-templated transcription",105,1304,4.26470994967795e-18
"40","GO:BP","GO:0045893","positive regulation of DNA-templated transcription",105,1304,4.26470994967795e-18
"41","GO:BP","GO:0051254","positive regulation of RNA metabolic process",111,1431,4.67500449349723e-18
"42","GO:BP","GO:1902680","positive regulation of RNA biosynthetic process",105,1311,6.07117005642189e-18
"43","GO:BP","GO:0044237","cellular metabolic process",325,7503,1.54843209319191e-17
"44","GO:BP","GO:0045935","positive regulation of nucleobase-containing compound metabolic process",116,1600,1.04911662299764e-16
"45","GO:BP","GO:0006807","nitrogen compound metabolic process",321,7474,3.02997473584532e-16
"46","GO:BP","GO:0050789","regulation of biological process",335,7992,4.67586680995307e-16
"47","GO:BP","GO:0044238","primary metabolic process",329,7800,8.56081147626456e-16
"48","GO:BP","GO:0065007","biological regulation",344,8348,8.56081147626456e-16
"49","GO:BP","GO:0010557","positive regulation of macromolecule biosynthetic process",109,1499,1.22980059859105e-15
"50","GO:BP","GO:0045892","negative regulation of DNA-templated transcription",85,1009,1.9982478601286e-15
"51","GO:BP","GO:1903507","negative regulation of nucleic acid-templated transcription",85,1011,2.21197906343018e-15
"52","GO:BP","GO:1902679","negative regulation of RNA biosynthetic process",85,1020,3.72957473403812e-15
"53","GO:BP","GO:0045934","negative regulation of nucleobase-containing compound metabolic process",94,1215,7.17181288970882e-15
"54","GO:BP","GO:0051253","negative regulation of RNA metabolic process",89,1115,8.32756884127678e-15
"55","GO:BP","GO:0045944","positive regulation of transcription by RNA polymerase II",79,925,1.42209612804733e-14
"56","GO:BP","GO:0031328","positive regulation of cellular biosynthetic process",109,1571,3.22894037023507e-14
