"","hgnc_symbol","entrezgene","chromosome_name","start_position","end_position","go_id","name_1006","PUBMED"
"1","ASH2L",9070,"8",38105242,38144076,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"2","SUV39H1",6839,"X",48695554,48709012,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"3","NSD3",54904,"8",38269697,38382272,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"4","SETDB1",9869,"1",150926263,150964744,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"5","KMT2E",55904,"7",105014179,105114361,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"6","NSD2",7468,"4",1871424,1982207,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"7","KMT2C",58508,"7",152134922,152436005,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"8","PRDM16",63976,"1",3069168,3438621,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"9","MECOM",2122,"3",169083499,169663618,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"10","DOT1L",84444,"19",2164149,2232578,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"11","RBBP5",5929,"1",205086142,205122015,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"12","PRDM2",7799,"1",13700198,13825079,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"13","EHMT2",10919,"6",31879759,31897687,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"14","ASH1L",55870,"1",155335268,155562807,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"15","DPY30",84661,"2",31867809,32039812,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"16","KMT2B",9757,"19",35718019,35738878,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"17","SETD2",29072,"3",47016429,47163967,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"18","SETMAR",6419,"3",4303304,4317567,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"19","NSD1",64324,"5",177133025,177300215,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"20","PRDM9",56979,"5",23443586,23528597,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"21","SMYD2",56950,"1",214281102,214337131,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"22","KMT2A",4297,"11",118436490,118526832,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"23","MEN1",4221,"11",64803510,64811294,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"24","SETDB2",83852,"13",49444374,49495003,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"25","PRDM7",11105,"16",90056566,90092072,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"26","SETD1A",9739,"16",30957294,30984664,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"27","EZH1",2145,"17",42700275,42745049,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"28","SETD1B",23067,"12",121804180,121832584,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"29","KMT5B",51111,"11",68154863,68213828,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"30","KMT2D",8085,"12",49018975,49059774,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"31","WDR5",11091,"9",134135365,134159968,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"32","SMYD1",150572,"2",88067780,88113387,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"33","KMT5A",387893,"12",123383773,123409358,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"34","SUV39H2",79723,"10",14878820,14904315,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"35","SETD7",80854,"4",139495941,139606699,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"36","PRDM6",93166,"5",123089121,123194266,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"37","EHMT1",79813,"9",137618963,137870016,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"38","SMYD3",64754,"1",245749342,246507312,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"39","KMT5C",84787,"19",55339853,55348120,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"40","EZH2",2146,"7",148807383,148884321,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"41","SETD3",84193,"14",99397746,99480889,"GO:0018024","histone-lysine N-methyltransferase activity",NA
"42","KDM6A",7403,"X",44873177,45112602,"GO:0032452","histone demethylase activity",NA
"43","KDM5A",5927,"12",280129,389454,"GO:0032452","histone demethylase activity",NA
"44","PHF8",23133,"X",53936676,54048958,"GO:0032452","histone demethylase activity",NA
"45","KDM1B",221656,"6",18155329,18223853,"GO:0032452","histone demethylase activity",NA
"46","UTY",7404,"Y",13248379,13480673,"GO:0032452","histone demethylase activity",NA
"47","KDM4C",23081,"9",6720863,7175648,"GO:0032452","histone demethylase activity",NA
"48","KDM8",79831,"16",27203495,27221768,"GO:0032452","histone demethylase activity",NA
"49","PHF2",5253,"9",93576407,93679587,"GO:0032452","histone demethylase activity",NA
"50","KDM5D",8284,"Y",19703865,19744939,"GO:0032452","histone demethylase activity",NA
"51","ARID5B",84159,"10",61901300,62096944,"GO:0032452","histone demethylase activity",NA
"52","KDM2B",84678,"12",121429097,121581015,"GO:0032452","histone demethylase activity",NA
"53","KDM7A",80853,"7",140084746,140177035,"GO:0032452","histone demethylase activity",NA
"54","KDM4A",9682,"1",43650158,43705515,"GO:0032452","histone demethylase activity",NA
"55","RIOX2",84864,"3",97941818,97972457,"GO:0032452","histone demethylase activity",NA
"56","KDM3A",55818,"2",86440647,86492716,"GO:0032452","histone demethylase activity",NA
"57","KDM4B",23030,"19",4969113,5153595,"GO:0032452","histone demethylase activity",NA
"58","KDM5B",10765,"1",202724491,202809470,"GO:0032452","histone demethylase activity",NA
"59","KDM5C",8242,"X",53191321,53225422,"GO:0032452","histone demethylase activity",NA
"60","KDM3B",51780,"5",138352596,138437028,"GO:0032452","histone demethylase activity",NA
"61","KDM1A",23028,"1",23019448,23083689,"GO:0032452","histone demethylase activity",NA
"62","KDM6B",23135,"17",7839904,7854796,"GO:0032452","histone demethylase activity",NA
"63","JMJD6",23210,"17",76712832,76726799,"GO:0032452","histone demethylase activity",NA
"64","KDM4D",55693,"11",94973681,94999518,"GO:0032452","histone demethylase activity",NA
"65","KDM2A",22992,"11",67119269,67258087,"GO:0032452","histone demethylase activity",NA
"66","MIER1",57708,"1",66924895,66988619,"GO:0004407","histone deacetylase activity",NA
"67","REST",5978,"4",56907876,56966678,"GO:0004407","histone deacetylase activity",NA
"68","HDAC4",9759,"2",239048168,239401654,"GO:0004407","histone deacetylase activity",NA
"69","SALL1",6299,"16",51135975,51151367,"GO:0004407","histone deacetylase activity",NA
"70","HDAC6",10013,"X",48801377,48824982,"GO:0004407","histone deacetylase activity",NA
"71","HDAC7",51564,"12",47782722,47833132,"GO:0004407","histone deacetylase activity",NA
"72","SUDS3",64426,"12",118376380,118418031,"GO:0004407","histone deacetylase activity",NA
"73","HDAC11",79885,"3",13479724,13506424,"GO:0004407","histone deacetylase activity",NA
"74","HDAC10",83933,"22",50245183,50251405,"GO:0004407","histone deacetylase activity",NA
"75","SIN3B",23309,"19",16829400,16880353,"GO:0004407","histone deacetylase activity",NA
"76","MTA2",9219,"11",62593214,62601840,"GO:0004407","histone deacetylase activity",NA
"77","RBBP7",5931,"X",16839283,16870414,"GO:0004407","histone deacetylase activity",NA
"78","CHD4",1108,"12",6570083,6607476,"GO:0004407","histone deacetylase activity",NA
"79","PHF21A",51317,"11",45929323,46121178,"GO:0004407","histone deacetylase activity",NA
"80","HDAC1",3065,"1",32292086,32333635,"GO:0004407","histone deacetylase activity",NA
"81","HMG20B",10362,"19",3572777,3579088,"GO:0004407","histone deacetylase activity",NA
"82","SIRT1",23411,"10",67884669,67918390,"GO:0004407","histone deacetylase activity",NA
"83","MBD3",53615,"19",1573596,1592801,"GO:0004407","histone deacetylase activity",NA
"84","SIN3A",25942,"15",75369379,75455842,"GO:0004407","histone deacetylase activity",NA
"85","MTA3",57504,"2",42494569,42756947,"GO:0004407","histone deacetylase activity",NA
"86","RBBP4",5928,"1",32651142,32686211,"GO:0004407","histone deacetylase activity",NA
"87","SAP30",8819,"4",173369969,173377532,"GO:0004407","histone deacetylase activity",NA
"88","HDAC2",3066,"6",113933028,114011308,"GO:0004407","histone deacetylase activity",NA
"89","HDAC9",9734,"7",18086949,19002416,"GO:0004407","histone deacetylase activity",NA
"90","MIER2",54531,"19",301444,344815,"GO:0004407","histone deacetylase activity",NA
"91","SIRT2",22933,"19",38878555,38899862,"GO:0004407","histone deacetylase activity",NA
"92","BRMS1",25855,"11",66337333,66345125,"GO:0004407","histone deacetylase activity",NA
"93","SAP18",10284,"13",21140514,21149084,"GO:0004407","histone deacetylase activity",NA
"94","ARID4A",5926,"14",58298385,58373887,"GO:0004407","histone deacetylase activity",NA
"95","ARID4B",51742,"1",235131634,235328219,"GO:0004407","histone deacetylase activity",NA
"96","MTA1",9112,"14",105419820,105470729,"GO:0004407","histone deacetylase activity",NA
"97","KDM1A",23028,"1",23019448,23083689,"GO:0004407","histone deacetylase activity",NA
"98","HDAC8",55869,"X",72329516,72573103,"GO:0004407","histone deacetylase activity",NA
"99","BRMS1L",84312,"14",35826318,35932325,"GO:0004407","histone deacetylase activity",NA
"100","HDAC3",8841,"5",141620876,141636870,"GO:0004407","histone deacetylase activity",NA
"101","CHD3",1107,"17",7884806,7912760,"GO:0004407","histone deacetylase activity",NA
"102","NACC2",138151,"9",136006537,136095285,"GO:0004407","histone deacetylase activity",NA
"103","RCOR1",23186,"14",102592661,102730576,"GO:0004407","histone deacetylase activity",NA
"104","SAP30L",79685,"5",154445957,154461054,"GO:0004407","histone deacetylase activity",NA
"105","HDAC5",10014,"17",44076746,44123702,"GO:0004407","histone deacetylase activity",NA
"106","KAT6B",23522,"10",74825582,75032622,"GO:0004402","histone acetyltransferase activity",NA
